model,mechanism,direction,target,reachable,n_crossings,multiplier,auc_ratio,auc_se_log,cmax_ratio,cmax_se_log,iter_screen,iter_full,end_multiplier,end_auc_ratio,end_cmax_ratio,n_subjects,within_tol,overall_true_equiv
k2016,Km,down,0.7,FALSE,0,,,,,,,,0.01,0.999249592770263,0.999816867433359,200000,FALSE,FALSE
k2016,Km,down,0.75,FALSE,0,,,,,,,,0.01,0.999249592770263,0.999816867433359,200000,FALSE,FALSE
k2016,Km,down,0.8,FALSE,0,,,,,,,,0.01,0.999249592770263,0.999816867433359,200000,FALSE,FALSE
k2016,Km,down,0.85,FALSE,0,,,,,,,,0.01,0.999249592770263,0.999816867433359,200000,FALSE,FALSE
k2016,Km,down,0.9,FALSE,0,,,,,,,,0.01,0.999249592770263,0.999816867433359,200000,FALSE,FALSE
k2016,Km,down,0.95,FALSE,0,,,,,,,,0.01,0.999249592770263,0.999816867433359,200000,FALSE,FALSE
k2016,Km,down,1.05,FALSE,0,,,,,,,,0.01,0.999249592770263,0.999816867433359,200000,FALSE,FALSE
k2016,Km,down,1.11,FALSE,0,,,,,,,,0.01,0.999249592770263,0.999816867433359,200000,FALSE,FALSE
k2016,Km,down,1.18,FALSE,0,,,,,,,,0.01,0.999249592770263,0.999816867433359,200000,FALSE,FALSE
k2016,Km,down,1.25,FALSE,0,,,,,,,,0.01,0.999249592770263,0.999816867433359,200000,FALSE,FALSE
k2016,Km,down,1.33,FALSE,0,,,,,,,,0.01,0.999249592770263,0.999816867433359,200000,FALSE,FALSE
k2016,Km,down,1.43,FALSE,0,,,,,,,,0.01,0.999249592770263,0.999816867433359,200000,FALSE,FALSE
k2016,Km,up,0.7,FALSE,0,,,,,,,,100,1.05874839727276,1.01024709497178,200000,FALSE,FALSE
k2016,Km,up,0.75,FALSE,0,,,,,,,,100,1.05874839727276,1.01024709497178,200000,FALSE,FALSE
k2016,Km,up,0.8,FALSE,0,,,,,,,,100,1.05874839727276,1.01024709497178,200000,FALSE,FALSE
k2016,Km,up,0.85,FALSE,0,,,,,,,,100,1.05874839727276,1.01024709497178,200000,FALSE,FALSE
k2016,Km,up,0.9,FALSE,0,,,,,,,,100,1.05874839727276,1.01024709497178,200000,FALSE,FALSE
k2016,Km,up,0.95,FALSE,0,,,,,,,,100,1.05874839727276,1.01024709497178,200000,FALSE,FALSE
k2016,Km,up,1.05,TRUE,1,84.0386692344027,1.05014765162093,5.13240398331235e-05,1.0088716513308,2.29473360843432e-05,6,0,100,,,200000,TRUE,TRUE
k2016,Km,up,1.11,FALSE,0,,,,,,,,100,1.05874839727276,1.01024709497178,200000,FALSE,FALSE
k2016,Km,up,1.18,FALSE,0,,,,,,,,100,1.05874839727276,1.01024709497178,200000,FALSE,FALSE
k2016,Km,up,1.25,FALSE,0,,,,,,,,100,1.05874839727276,1.01024709497178,200000,FALSE,FALSE
k2016,Km,up,1.33,FALSE,0,,,,,,,,100,1.05874839727276,1.01024709497178,200000,FALSE,FALSE
k2016,Km,up,1.43,FALSE,0,,,,,,,,100,1.05874839727276,1.01024709497178,200000,FALSE,FALSE
