model,mechanism,direction,target,reachable,n_crossings,multiplier,auc_ratio,auc_se_log,cmax_ratio,cmax_se_log,iter_screen,iter_full,end_multiplier,end_auc_ratio,end_cmax_ratio,n_subjects,within_tol,overall_true_equiv
k2016,ka,down,0.7,TRUE,1,0.34702805275494,0.700016985892441,0.000818003573527096,0.523767519932033,0.000633885426607625,8,6,0.1,,,200000,TRUE,FALSE
k2016,ka,down,0.75,TRUE,1,0.388905199928032,0.750257601010362,0.000651886288230783,0.575478930890891,0.000510545270610373,4,6,0.1,,,200000,TRUE,FALSE
k2016,ka,down,0.8,TRUE,1,0.440433361793372,0.799297411482507,0.000502078630126623,0.631952944916229,0.000400161830750002,7,0,0.1,,,200000,TRUE,FALSE
k2016,ka,down,0.85,TRUE,1,0.50974945583338,0.849560255474036,0.000360360689731125,0.698251617539185,0.000294682161370167,8,0,0.1,,,200000,TRUE,FALSE
k2016,ka,down,0.9,TRUE,1,0.606110884808604,0.899805424112438,0.000229087639015592,0.7766105876189,0.000195243794030376,6,0,0.1,,,200000,TRUE,FALSE
k2016,ka,down,0.95,TRUE,1,0.751019202887681,0.949908155007994,0.000109415880706531,0.873047962827497,9.90022685677017e-05,7,0,0.1,,,200000,TRUE,TRUE
k2016,ka,down,1.05,FALSE,0,,,,,,,,0.1,0.0758915686201634,0.0541425372435693,200000,FALSE,FALSE
k2016,ka,down,1.11,FALSE,0,,,,,,,,0.1,0.0758915686201634,0.0541425372435693,200000,FALSE,FALSE
k2016,ka,down,1.18,FALSE,0,,,,,,,,0.1,0.0758915686201634,0.0541425372435693,200000,FALSE,FALSE
k2016,ka,down,1.25,FALSE,0,,,,,,,,0.1,0.0758915686201634,0.0541425372435693,200000,FALSE,FALSE
k2016,ka,down,1.33,FALSE,0,,,,,,,,0.1,0.0758915686201634,0.0541425372435693,200000,FALSE,FALSE
k2016,ka,down,1.43,FALSE,0,,,,,,,,0.1,0.0758915686201634,0.0541425372435693,200000,FALSE,FALSE
k2016,ka,up,0.7,FALSE,0,,,,,,,,10,1.11787131315097,1.78540192046255,200000,FALSE,FALSE
k2016,ka,up,0.75,FALSE,0,,,,,,,,10,1.11787131315097,1.78540192046255,200000,FALSE,FALSE
k2016,ka,up,0.8,FALSE,0,,,,,,,,10,1.11787131315097,1.78540192046255,200000,FALSE,FALSE
k2016,ka,up,0.85,FALSE,0,,,,,,,,10,1.11787131315097,1.78540192046255,200000,FALSE,FALSE
k2016,ka,up,0.9,FALSE,0,,,,,,,,10,1.11787131315097,1.78540192046255,200000,FALSE,FALSE
k2016,ka,up,0.95,FALSE,0,,,,,,,,10,1.11787131315097,1.78540192046255,200000,FALSE,FALSE
k2016,ka,up,1.05,TRUE,1,1.54918815118162,1.05006636245644,9.7374545872605e-05,1.1868009360223,0.000113395045065024,5,0,10,,,200000,TRUE,TRUE
k2016,ka,up,1.11,TRUE,1,6.04296390238133,1.11032654787836,0.000195017699245047,1.66159034945477,0.000334463162131747,3,0,10,,,200000,TRUE,FALSE
k2016,ka,up,1.18,FALSE,0,,,,,,,,10,1.11787131315097,1.78540192046255,200000,FALSE,FALSE
k2016,ka,up,1.25,FALSE,0,,,,,,,,10,1.11787131315097,1.78540192046255,200000,FALSE,FALSE
k2016,ka,up,1.33,FALSE,0,,,,,,,,10,1.11787131315097,1.78540192046255,200000,FALSE,FALSE
k2016,ka,up,1.43,FALSE,0,,,,,,,,10,1.11787131315097,1.78540192046255,200000,FALSE,FALSE
