model,mechanism,direction,target,reachable,n_crossings,multiplier,auc_ratio,auc_se_log,cmax_ratio,cmax_se_log,iter_screen,iter_full,end_multiplier,end_auc_ratio,end_cmax_ratio,n_subjects,within_tol,overall_true_equiv
k2016,ke,down,0.7,FALSE,0,,,,,,,,0.1,2.02911062481693,1.19554692649904,200000,FALSE,FALSE
k2016,ke,down,0.75,FALSE,0,,,,,,,,0.1,2.02911062481693,1.19554692649904,200000,FALSE,FALSE
k2016,ke,down,0.8,FALSE,0,,,,,,,,0.1,2.02911062481693,1.19554692649904,200000,FALSE,FALSE
k2016,ke,down,0.85,FALSE,0,,,,,,,,0.1,2.02911062481693,1.19554692649904,200000,FALSE,FALSE
k2016,ke,down,0.9,FALSE,0,,,,,,,,0.1,2.02911062481693,1.19554692649904,200000,FALSE,FALSE
k2016,ke,down,0.95,FALSE,0,,,,,,,,0.1,2.02911062481693,1.19554692649904,200000,FALSE,FALSE
k2016,ke,down,1.05,TRUE,1,0.911245541985472,1.05008025202458,2.01093106825101e-05,1.01506501555001,1.17408975873725e-05,6,0,0.1,,,200000,TRUE,TRUE
k2016,ke,down,1.11,TRUE,1,0.816788049644061,1.10959794791165,4.39057198800918e-05,1.03184779137821,2.48971222422588e-05,7,0,0.1,,,200000,TRUE,TRUE
k2016,ke,down,1.18,TRUE,1,0.719069442368983,1.17928173323279,7.16580501390751e-05,1.05010396454253,3.93122072497842e-05,5,0,0.1,,,200000,TRUE,TRUE
k2016,ke,down,1.25,TRUE,1,0.632567348266282,1.24933521039854,9.9475484004347e-05,1.06710162104024,5.28445930368644e-05,8,0,0.1,,,200000,TRUE,TRUE
k2016,ke,down,1.33,TRUE,1,0.546140882173227,1.32896073842499,0.000131038326389655,1.08495408323507,6.71883237679077e-05,8,0,0.1,,,200000,TRUE,FALSE
k2016,ke,down,1.43,TRUE,1,0.452479552570213,1.42880724339599,0.000170603844659936,1.1053943362912,8.38005465110358e-05,7,0,0.1,,,200000,TRUE,FALSE
k2016,ke,up,0.7,TRUE,1,1.81191583652074,0.700620455359482,0.000122959463091548,0.886245464660751,8.72266831835261e-05,8,0,10,,,200000,TRUE,FALSE
k2016,ke,up,0.75,TRUE,1,1.63019509970504,0.750355682962533,0.000102088615805827,0.908598631111101,7.02253986279097e-05,6,0,10,,,200000,TRUE,FALSE
k2016,ke,up,0.8,TRUE,1,1.47110350143772,0.800334236753497,8.13305949793205e-05,0.929468091140586,5.43072796350168e-05,8,0,10,,,200000,TRUE,TRUE
k2016,ke,up,0.85,TRUE,1,1.33152387602738,0.850272484687047,6.07741764747279e-05,0.948898250132683,3.94359526915577e-05,7,0,10,,,200000,TRUE,TRUE
k2016,ke,up,0.9,TRUE,1,1.20790074742528,0.900285812983383,4.03455631544793e-05,0.967079967451048,2.54648559437293e-05,6,0,10,,,200000,TRUE,TRUE
k2016,ke,up,0.95,TRUE,1,1.09822191087231,0.950136838158432,2.01181421784102e-05,0.98405615669767,1.23632781388987e-05,8,0,10,,,200000,TRUE,TRUE
k2016,ke,up,1.05,FALSE,0,,,,,,,,10,0.178646700143362,0.460040713057142,200000,FALSE,FALSE
k2016,ke,up,1.11,FALSE,0,,,,,,,,10,0.178646700143362,0.460040713057142,200000,FALSE,FALSE
k2016,ke,up,1.18,FALSE,0,,,,,,,,10,0.178646700143362,0.460040713057142,200000,FALSE,FALSE
k2016,ke,up,1.25,FALSE,0,,,,,,,,10,0.178646700143362,0.460040713057142,200000,FALSE,FALSE
k2016,ke,up,1.33,FALSE,0,,,,,,,,10,0.178646700143362,0.460040713057142,200000,FALSE,FALSE
k2016,ke,up,1.43,FALSE,0,,,,,,,,10,0.178646700143362,0.460040713057142,200000,FALSE,FALSE
