model,mechanism,direction,target,reachable,n_crossings,multiplier,auc_ratio,auc_se_log,cmax_ratio,cmax_se_log,iter_screen,iter_full,end_multiplier,end_auc_ratio,end_cmax_ratio,n_subjects,within_tol,overall_true_equiv
k2020,F,down,0.7,TRUE,1,0.804333575446786,0.69965847781589,9.34883781867343e-05,0.775278894294739,5.53200995399676e-05,9,0,0.1,,,200000,TRUE,FALSE
k2020,F,down,0.75,TRUE,1,0.83818492132275,0.749753565013548,7.41027438491919e-05,0.814098977327149,4.36264757745908e-05,9,0,0.1,,,200000,TRUE,FALSE
k2020,F,down,0.8,TRUE,1,0.871335777735966,0.799619025640266,5.66415335655385e-05,0.852142118063974,3.31856773065781e-05,10,0,0.1,,,200000,TRUE,FALSE
k2020,F,down,0.85,TRUE,1,0.904102037372205,0.849650500184827,4.06768950673705e-05,0.889767195822651,2.37213792175976e-05,9,0,0.1,,,200000,TRUE,TRUE
k2020,F,down,0.9,TRUE,1,0.936519721022221,0.899842309255108,2.5996995621354e-05,0.92701274636435,1.50924753990176e-05,9,0,0.1,,,200000,TRUE,TRUE
k2020,F,down,0.95,TRUE,1,0.968465121072061,0.949944849803286,1.2493316153473e-05,0.963734069940012,7.22153542521442e-06,10,0,0.1,,,200000,TRUE,TRUE
k2020,F,down,1.05,FALSE,0,,,,,,,,0.1,0.00288740670100277,0.0166027360202393,200000,FALSE,FALSE
k2020,F,down,1.11,FALSE,0,,,,,,,,0.1,0.00288740670100277,0.0166027360202393,200000,FALSE,FALSE
k2020,F,down,1.18,FALSE,0,,,,,,,,0.1,0.00288740670100277,0.0166027360202393,200000,FALSE,FALSE
k2020,F,down,1.25,FALSE,0,,,,,,,,0.1,0.00288740670100277,0.0166027360202393,200000,FALSE,FALSE
k2020,F,down,1.33,FALSE,0,,,,,,,,0.1,0.00288740670100277,0.0166027360202393,200000,FALSE,FALSE
k2020,F,down,1.43,FALSE,0,,,,,,,,0.1,0.00288740670100277,0.0166027360202393,200000,FALSE,FALSE
k2020,F,up,0.7,FALSE,0,,,,,,,,1.55520995178849,1.95635273008702,1.64021057645364,200000,FALSE,FALSE
k2020,F,up,0.75,FALSE,0,,,,,,,,1.55520995178849,1.95635273008702,1.64021057645364,200000,FALSE,FALSE
k2020,F,up,0.8,FALSE,0,,,,,,,,1.55520995178849,1.95635273008702,1.64021057645364,200000,FALSE,FALSE
k2020,F,up,0.85,FALSE,0,,,,,,,,1.55520995178849,1.95635273008702,1.64021057645364,200000,FALSE,FALSE
k2020,F,up,0.9,FALSE,0,,,,,,,,1.55520995178849,1.95635273008702,1.64021057645364,200000,FALSE,FALSE
k2020,F,up,0.95,FALSE,0,,,,,,,,1.55520995178849,1.95635273008702,1.64021057645364,200000,FALSE,FALSE
k2020,F,up,1.05,TRUE,1,1.03124131332539,1.05014776017276,1.16402400576376e-05,1.03594311005938,6.6729224427326e-06,7,0,1.55520995178849,,,200000,TRUE,TRUE
k2020,F,up,1.11,TRUE,1,1.06820837253561,1.11017197506889,2.45631419785621e-05,1.07849114473373,1.40147870690452e-05,8,0,1.55520995178849,,,200000,TRUE,TRUE
k2020,F,up,1.18,TRUE,1,1.11096334216204,1.18047557392408,3.84833982056822e-05,1.12772253970127,2.18404158472008e-05,6,0,1.55520995178849,,,200000,TRUE,TRUE
k2020,F,up,1.25,TRUE,1,1.15294080629446,1.25037238459433,5.12005791687799e-05,1.17607904174935,2.89102518965281e-05,7,0,1.55520995178849,,,200000,TRUE,FALSE
k2020,F,up,1.33,TRUE,1,1.20063954610321,1.33078610246947,6.46417123248063e-05,1.23104834195462,3.62950986946151e-05,5,0,1.55520995178849,,,200000,TRUE,FALSE
k2020,F,up,1.43,TRUE,1,1.25896883831092,1.43046807360462,7.97981621873598e-05,1.29829725138482,4.450818476204e-05,7,0,1.55520995178849,,,200000,TRUE,FALSE
