model,mechanism,direction,target,reachable,n_crossings,multiplier,auc_ratio,auc_se_log,cmax_ratio,cmax_se_log,iter_screen,iter_full,end_multiplier,end_auc_ratio,end_cmax_ratio,n_subjects,within_tol,overall_true_equiv
k2020,V2,down,0.7,FALSE,0,,,,,,,,0.1,1.22309999369728,1.35720002706284,200000,FALSE,FALSE
k2020,V2,down,0.75,FALSE,0,,,,,,,,0.1,1.22309999369728,1.35720002706284,200000,FALSE,FALSE
k2020,V2,down,0.8,FALSE,0,,,,,,,,0.1,1.22309999369728,1.35720002706284,200000,FALSE,FALSE
k2020,V2,down,0.85,FALSE,0,,,,,,,,0.1,1.22309999369728,1.35720002706284,200000,FALSE,FALSE
k2020,V2,down,0.9,FALSE,0,,,,,,,,0.1,1.22309999369728,1.35720002706284,200000,FALSE,FALSE
k2020,V2,down,0.95,FALSE,0,,,,,,,,0.1,1.22309999369728,1.35720002706284,200000,FALSE,FALSE
k2020,V2,down,1.05,TRUE,1,0.76579862694241,1.05022165749121,1.88402274294688e-05,1.05122064045794,2.965876859826e-05,6,0,0.1,,,200000,TRUE,TRUE
k2020,V2,down,1.11,TRUE,1,0.513969680077151,1.11028539721267,4.19132553144805e-05,1.13294478452615,5.80112703924606e-05,5,0,0.1,,,200000,TRUE,TRUE
k2020,V2,down,1.18,TRUE,1,0.250286543117461,1.18021614822259,6.96133727313926e-05,1.26117780305349,7.16845618335063e-05,5,0,0.1,,,200000,TRUE,FALSE
k2020,V2,down,1.25,FALSE,0,,,,,,,,0.1,1.22309999369728,1.35720002706284,200000,FALSE,FALSE
k2020,V2,down,1.33,FALSE,0,,,,,,,,0.1,1.22309999369728,1.35720002706284,200000,FALSE,FALSE
k2020,V2,down,1.43,FALSE,0,,,,,,,,0.1,1.22309999369728,1.35720002706284,200000,FALSE,FALSE
k2020,V2,up,0.7,TRUE,1,3.28303899863467,0.699618657239434,0.000101151217111447,0.865151021643915,0.000130803500459843,7,0,10,,,200000,TRUE,FALSE
k2020,V2,up,0.75,TRUE,1,2.73431760274745,0.749711838114947,8.61703951737529e-05,0.876690049922751,0.000117506226527244,7,0,10,,,200000,TRUE,FALSE
k2020,V2,up,0.8,TRUE,1,2.27730854120339,0.79979742585522,7.02790976185975e-05,0.890882568755657,0.000101262867263022,7,0,10,,,200000,TRUE,FALSE
k2020,V2,up,0.85,TRUE,1,1.8895882838913,0.84979201720798,5.36181496603862e-05,0.908672900227592,8.14715144261247e-05,8,0,10,,,200000,TRUE,TRUE
k2020,V2,up,0.9,TRUE,1,1.55383983127497,0.899912094401934,3.6248895595906e-05,0.9315026094201,5.76336796324857e-05,6,0,10,,,200000,TRUE,TRUE
k2020,V2,up,0.95,TRUE,1,1.25968052954441,0.950063392008423,1.83177236669423e-05,0.961206351944925,2.99805003363769e-05,6,0,10,,,200000,TRUE,TRUE
k2020,V2,up,1.05,FALSE,0,,,,,,,,10,0.456337588824859,0.82877458462142,200000,FALSE,FALSE
k2020,V2,up,1.11,FALSE,0,,,,,,,,10,0.456337588824859,0.82877458462142,200000,FALSE,FALSE
k2020,V2,up,1.18,FALSE,0,,,,,,,,10,0.456337588824859,0.82877458462142,200000,FALSE,FALSE
k2020,V2,up,1.25,FALSE,0,,,,,,,,10,0.456337588824859,0.82877458462142,200000,FALSE,FALSE
k2020,V2,up,1.33,FALSE,0,,,,,,,,10,0.456337588824859,0.82877458462142,200000,FALSE,FALSE
k2020,V2,up,1.43,FALSE,0,,,,,,,,10,0.456337588824859,0.82877458462142,200000,FALSE,FALSE
