model,mechanism,direction,target,reachable,n_crossings,multiplier,auc_ratio,auc_se_log,cmax_ratio,cmax_se_log,iter_screen,iter_full,end_multiplier,end_auc_ratio,end_cmax_ratio,n_subjects,within_tol,overall_true_equiv
k2020,Vmax,down,0.7,FALSE,0,,,,,,,,0.1,2.03815175449732,1.14222108422952,200000,FALSE,FALSE
k2020,Vmax,down,0.75,FALSE,0,,,,,,,,0.1,2.03815175449732,1.14222108422952,200000,FALSE,FALSE
k2020,Vmax,down,0.8,FALSE,0,,,,,,,,0.1,2.03815175449732,1.14222108422952,200000,FALSE,FALSE
k2020,Vmax,down,0.85,FALSE,0,,,,,,,,0.1,2.03815175449732,1.14222108422952,200000,FALSE,FALSE
k2020,Vmax,down,0.9,FALSE,0,,,,,,,,0.1,2.03815175449732,1.14222108422952,200000,FALSE,FALSE
k2020,Vmax,down,0.95,FALSE,0,,,,,,,,0.1,2.03815175449732,1.14222108422952,200000,FALSE,FALSE
k2020,Vmax,down,1.05,TRUE,1,0.919478686318879,1.05001990379714,3.10656516083869e-05,1.01217086359975,1.76786117311334e-05,4,0,0.1,,,200000,TRUE,TRUE
k2020,Vmax,down,1.11,TRUE,1,0.830368437788396,1.11032156549658,6.5752246000855e-05,1.02575418827004,3.68979417109664e-05,5,0,0.1,,,200000,TRUE,TRUE
k2020,Vmax,down,1.18,TRUE,1,0.735973164583606,1.1808257680927,0.000103130228190256,1.040278756686,5.68966811205024e-05,8,0,0.1,,,200000,TRUE,TRUE
k2020,Vmax,down,1.25,TRUE,1,0.651331501646086,1.25092658233271,0.000137505047102082,1.05342570107931,7.45405746569047e-05,6,0,0.1,,,200000,TRUE,FALSE
k2020,Vmax,down,1.33,TRUE,1,0.565723431061283,1.32979650336999,0.000173464207228059,1.06684559148656,9.21312680541033e-05,6,5,0.1,,,200000,TRUE,FALSE
k2020,Vmax,down,1.43,TRUE,1,0.469758881670649,1.42995080505789,0.000215784769167703,1.08204126176088,0.000111570304480361,8,4,0.1,,,200000,TRUE,FALSE
k2020,Vmax,up,0.7,TRUE,1,1.65481709994318,0.700155713034782,0.000259866311036701,0.904259678778729,0.000159357848584345,8,3,10,,,200000,TRUE,FALSE
k2020,Vmax,up,0.75,TRUE,1,1.52156905315377,0.749455160050071,0.000204728742341459,0.923315640421006,0.000124152986296683,8,4,10,,,200000,TRUE,FALSE
k2020,Vmax,up,0.8,TRUE,1,1.3969545986339,0.80009024618209,0.000154431653069483,0.941322121145971,9.26357235078126e-05,2,7,10,,,200000,TRUE,TRUE
k2020,Vmax,up,0.85,TRUE,1,1.28639694493697,0.849254708729738,0.00011073105326695,0.957455687594177,6.57607119792422e-05,4,0,10,,,200000,TRUE,TRUE
k2020,Vmax,up,0.9,TRUE,1,1.18281457301527,0.899492371275158,7.04193724459606e-05,0.97271371320533,4.13966562382758e-05,3,0,10,,,200000,TRUE,TRUE
k2020,Vmax,up,0.95,TRUE,1,1.08757278975491,0.949782982372421,3.36864942608579e-05,0.986870590587944,1.95967059847139e-05,4,0,10,,,200000,TRUE,TRUE
k2020,Vmax,up,1.05,FALSE,0,,,,,,,,10,0.0162786156912694,0.10669919362974,200000,FALSE,FALSE
k2020,Vmax,up,1.11,FALSE,0,,,,,,,,10,0.0162786156912694,0.10669919362974,200000,FALSE,FALSE
k2020,Vmax,up,1.18,FALSE,0,,,,,,,,10,0.0162786156912694,0.10669919362974,200000,FALSE,FALSE
k2020,Vmax,up,1.25,FALSE,0,,,,,,,,10,0.0162786156912694,0.10669919362974,200000,FALSE,FALSE
k2020,Vmax,up,1.33,FALSE,0,,,,,,,,10,0.0162786156912694,0.10669919362974,200000,FALSE,FALSE
k2020,Vmax,up,1.43,FALSE,0,,,,,,,,10,0.0162786156912694,0.10669919362974,200000,FALSE,FALSE
