model,mechanism,direction,multiplier,auc_ratio_screen
k2016,F,down,1,1
k2016,F,down,0.825404185268018,0.729827937258878
k2016,F,down,0.681292069057961,0.524644285549515
k2016,F,down,0.562341325190349,0.370487858490967
k2016,F,down,0.464158883361278,0.256035675277207
k2016,F,down,0.383118684955729,0.172178233070521
k2016,F,down,0.316227766016838,0.111779368991812
k2016,F,down,0.261015721568254,0.0693603111467988
k2016,F,down,0.215443469003188,0.0406921783674702
k2016,F,down,0.177827941003892,0.0223932683623446
k2016,F,down,0.146779926762207,0.0115435620167248
k2016,F,down,0.121152765862859,0.0056132287259277
k2016,F,down,0.1,0.00263160110597308
k2016,F,up,1,1
k2016,F,up,1.04247970538377,1.06874692866507
k2016,F,up,1.08676393613703,1.14153224414925
k2016,F,up,1.13292934796583,1.2185590745749
k2016,F,up,1.18105585288804,1.30003910223209
k2016,F,up,1.2312267575605,1.38619288638218
k2016,F,up,1.28352890748229,1.47725020557183
k2016,F,up,1.33805283732368,1.57345041385962
k2016,F,up,1.39489292764111,1.67504281677203
k2016,F,up,1.4541475682492,1.7822870617674
k2016,F,up,1.51591932853295,1.89545355070722
k2016,F,up,1.58031513499459,2.01482386889764
k2016,F,up,1.64744645634267,2.14069123761885
