model,mechanism,direction,multiplier,auc_ratio_screen
k2016,Vmax,down,1,1
k2016,Vmax,down,0.825404185268018,1.11625854039036
k2016,Vmax,down,0.681292069057961,1.2314548525071
k2016,Vmax,down,0.562341325190349,1.34424392644692
k2016,Vmax,down,0.464158883361278,1.4533951074619
k2016,Vmax,down,0.383118684955729,1.55785450207159
k2016,Vmax,down,0.316227766016838,1.65678077438247
k2016,Vmax,down,0.261015721568254,1.74955740054625
k2016,Vmax,down,0.215443469003188,1.83578664929929
k2016,Vmax,down,0.177827941003892,1.91527089293166
k2016,Vmax,down,0.146779926762207,1.98798621446007
k2016,Vmax,down,0.121152765862859,2.05405239938933
k2016,Vmax,down,0.1,2.11370237996677
k2016,Vmax,up,1,1
k2016,Vmax,up,1.21152765862859,0.884051675399686
k2016,Vmax,up,1.46779926762207,0.769716831507946
k2016,Vmax,up,1.77827941003892,0.658188965481152
k2016,Vmax,up,2.15443469003188,0.550545923230024
k2016,Vmax,up,2.61015721568254,0.447641934806522
k2016,Vmax,up,3.16227766016838,0.350385850227532
k2016,Vmax,up,3.83118684955729,0.260389879552733
k2016,Vmax,up,4.64158883361278,0.180252955345961
k2016,Vmax,up,5.62341325190349,0.113727568773366
k2016,Vmax,up,6.81292069057961,0.0642999399315494
k2016,Vmax,up,8.25404185268019,0.0320638518422574
k2016,Vmax,up,10,0.0140987906119792
