model,mechanism,direction,multiplier,auc_ratio_screen
k2016,ke,down,1,1
k2016,ke,down,0.825404185268018,1.10414172473897
k2016,ke,down,0.681292069057961,1.2094028842859
k2016,ke,down,0.562341325190349,1.31417012324985
k2016,ke,down,0.464158883361278,1.41684653018812
k2016,ke,down,0.383118684955729,1.51594356041
k2016,ke,down,0.316227766016838,1.61016176223862
k2016,ke,down,0.261015721568254,1.69845149252184
k2016,ke,down,0.215443469003188,1.7800483103576
k2016,ke,down,0.177827941003892,1.8544818373564
k2016,ke,down,0.146779926762207,1.92156074470071
k2016,ke,down,0.121152765862859,1.98133939174773
k2016,ke,down,0.1,2.0340728374618
k2016,ke,up,1,1
k2016,ke,up,1.21152765862859,0.898515084841872
k2016,ke,up,1.46779926762207,0.801066048181834
k2016,ke,up,1.77827941003892,0.708809975822268
k2016,ke,up,2.15443469003188,0.622642066288757
k2016,ke,up,2.61015721568254,0.543180704831308
k2016,ke,up,3.16227766016838,0.470775128239262
k2016,ke,up,3.83118684955729,0.405530716771865
k2016,ke,up,4.64158883361278,0.347345695627994
k2016,ke,up,5.62341325190349,0.295953079847578
k2016,ke,up,6.81292069057961,0.250962764640847
k2016,ke,up,8.25404185268019,0.211900279599562
k2016,ke,up,10,0.178240394502704
