model,mechanism,direction,multiplier,auc_ratio_screen
k2020,Km,down,1,1
k2020,Km,down,0.681292069057961,0.999722380026522
k2020,Km,down,0.464158883361278,0.999518709924988
k2020,Km,down,0.316227766016838,0.999368423611003
k2020,Km,down,0.215443469003188,0.999256948128491
k2020,Km,down,0.146779926762207,0.999173873303773
k2020,Km,down,0.1,0.999111705485199
k2020,Km,down,0.0681292069057961,0.999065008071865
k2020,Km,down,0.0464158883361278,0.999029812139408
k2020,Km,down,0.0316227766016838,0.999003203988372
k2020,Km,down,0.0215443469003188,0.998983031740261
k2020,Km,down,0.0146779926762207,0.99896770059655
k2020,Km,down,0.01,0.998956022089066
k2020,Km,up,1,1
k2020,Km,up,1.46779926762207,1.0003808017892
k2020,Km,up,2.15443469003188,1.00090652848416
k2020,Km,up,3.16227766016838,1.00163696823185
k2020,Km,up,4.64158883361278,1.00265775978544
k2020,Km,up,6.81292069057961,1.00409133839772
k2020,Km,up,10,1.00611208625668
k2020,Km,up,14.6779926762207,1.00896703555039
k2020,Km,up,21.5443469003188,1.01300368732372
k2020,Km,up,31.6227766016838,1.01870657234729
k2020,Km,up,46.4158883361278,1.02674380679658
k2020,Km,up,68.1292069057962,1.03802355596608
k2020,Km,up,100,1.05375696326947
