model,mechanism,direction,multiplier,auc_ratio_screen
k2020,V2,down,1,1
k2020,V2,down,0.825404185268018,1.03687994017917
k2020,V2,down,0.681292069057961,1.06953030878482
k2020,V2,down,0.562341325190349,1.09806071666004
k2020,V2,down,0.464158883361278,1.12271381306782
k2020,V2,down,0.383118684955729,1.14381790562762
k2020,V2,down,0.316227766016838,1.16174539836947
k2020,V2,down,0.261015721568254,1.17688008545079
k2020,V2,down,0.215443469003188,1.18959400877429
k2020,V2,down,0.177827941003892,1.20023289488447
k2020,V2,down,0.146779926762207,1.20910844527188
k2020,V2,down,0.121152765862859,1.21649552440509
k2020,V2,down,0.1,1.22263258838309
k2020,V2,up,1,1
k2020,V2,up,1.21152765862859,0.958961521283403
k2020,V2,up,1.46779926762207,0.914056457401478
k2020,V2,up,1.77827941003892,0.865822786756005
k2020,V2,up,2.15443469003188,0.81504789828072
k2020,V2,up,2.61015721568254,0.762746749672765
k2020,V2,up,3.16227766016838,0.71011474028695
k2020,V2,up,3.83118684955729,0.658458333162944
k2020,V2,up,4.64158883361278,0.609108218291958
k2020,V2,up,5.62341325190349,0.563320123599069
k2020,V2,up,6.81292069057961,0.522168237818738
k2020,V2,up,8.25404185268019,0.486437878043819
k2020,V2,up,10,0.456530608273286
