model,mechanism,direction,multiplier,auc_ratio_screen
k2020,ka,down,1,1
k2020,ka,down,0.825404185268018,0.971123654981312
k2020,ka,down,0.681292069057961,0.934873936042383
k2020,ka,down,0.562341325190349,0.889563746798096
k2020,ka,down,0.464158883361278,0.833336080225566
k2020,ka,down,0.383118684955729,0.764504632352671
k2020,ka,down,0.316227766016838,0.681755037116535
k2020,ka,down,0.261015721568254,0.584739558433548
k2020,ka,down,0.215443469003188,0.476013938881754
k2020,ka,down,0.177827941003892,0.361955427891425
k2020,ka,down,0.146779926762207,0.252956870328617
k2020,ka,down,0.121152765862859,0.16066419695609
k2020,ka,down,0.1,0.0925946923642117
k2020,ka,up,1,1
k2020,ka,up,1.21152765862859,1.02295988093422
k2020,ka,up,1.46779926762207,1.04122460926135
k2020,ka,up,1.77827941003892,1.05578916303803
k2020,ka,up,2.15443469003188,1.06744520050737
k2020,ka,up,2.61015721568254,1.07681224634441
k2020,ka,up,3.16227766016838,1.08437077995236
k2020,ka,up,3.83118684955729,1.09049269404735
k2020,ka,up,4.64158883361278,1.0954667559631
k2020,ka,up,5.62341325190349,1.09951865522668
k2020,ka,up,6.81292069057961,1.10282613917167
k2020,ka,up,8.25404185268019,1.10553028911969
k2020,ka,up,10,1.10774383963823
