scenario,config,n_trials,pass_pct,lo,hi,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,model
F_down_070,P2,2000,0,1.0842021724855e-17,0.191704728125293,F,down,0.7,0.805238403585119,0.699807988054843,0.774767560437703,k2016
F_down_070,F3A,2000,0,1.0842021724855e-17,0.191704728125293,F,down,0.7,0.805238403585119,0.699807988054843,0.774767560437703,k2016
F_down_070,F3B,2000,0,1.0842021724855e-17,0.191704728125293,F,down,0.7,0.805238403585119,0.699807988054843,0.774767560437703,k2016
F_down_070,F3C,2000,0,1.0842021724855e-17,0.191704728125293,F,down,0.7,0.805238403585119,0.699807988054843,0.774767560437703,k2016
F_down_070,G2,2000,0,1.0842021724855e-17,0.191704728125293,F,down,0.7,0.805238403585119,0.699807988054843,0.774767560437703,k2016
F_down_070,AUClast_only,2000,0,1.0842021724855e-17,0.191704728125293,F,down,0.7,0.805238403585119,0.699807988054843,0.774767560437703,k2016
F_down_070,AUCinf_only,2000,0,1.0842021724855e-17,0.191704728125293,F,down,0.7,0.805238403585119,0.699807988054843,0.774767560437703,k2016
F_down_075,P2,2000,0.2,0.0778027307051057,0.513135178507686,F,down,0.75,0.838970605126325,0.749826891958083,0.813731535043091,k2016
F_down_075,F3A,2000,0.15,0.0510263583638482,0.440103255577069,F,down,0.75,0.838970605126325,0.749826891958083,0.813731535043091,k2016
F_down_075,F3B,2000,0.2,0.0778027307051057,0.513135178507686,F,down,0.75,0.838970605126325,0.749826891958083,0.813731535043091,k2016
F_down_075,F3C,2000,0.2,0.0778027307051057,0.513135178507686,F,down,0.75,0.838970605126325,0.749826891958083,0.813731535043091,k2016
F_down_075,G2,2000,0.7,0.41743460559211,1.17158625633943,F,down,0.75,0.838970605126325,0.749826891958083,0.813731535043091,k2016
F_down_075,AUClast_only,2000,0.2,0.0778027307051057,0.513135178507686,F,down,0.75,0.838970605126325,0.749826891958083,0.813731535043091,k2016
F_down_075,AUCinf_only,2000,1.3,0.888689553473731,1.8980308517203,F,down,0.75,0.838970605126325,0.749826891958083,0.813731535043091,k2016
F_down_080,P2,10000,3.71,3.35697349886415,4.09857707029309,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,k2016
F_down_080,F3A,10000,2.69,2.39060287545787,3.02573105037555,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,k2016
F_down_080,F3B,10000,3.48,3.13828027939255,3.8574469290152,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,k2016
F_down_080,F3C,10000,3.51,3.16678252489739,3.88892164360812,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,k2016
F_down_080,G2,10000,7.35,6.85475025018411,7.8780048108346,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,k2016
F_down_080,AUClast_only,10000,3.8,3.44265516422164,4.19282628522888,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,k2016
F_down_080,AUCinf_only,10000,9.49,8.93103553569833,10.0800760122939,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,k2016
F_down_085,P2,2000,26.95,25.0509847173131,28.9373911623526,F,down,0.85,0.904779951517323,0.849895789156433,0.889807878836767,k2016
F_down_085,F3A,2000,22.9,21.1114578852514,24.7924460773925,F,down,0.85,0.904779951517323,0.849895789156433,0.889807878836767,k2016
F_down_085,F3B,2000,26.3,24.4172493390712,28.2736187020602,F,down,0.85,0.904779951517323,0.849895789156433,0.889807878836767,k2016
F_down_085,F3C,2000,26.3,24.4172493390712,28.2736187020602,F,down,0.85,0.904779951517323,0.849895789156433,0.889807878836767,k2016
F_down_085,G2,2000,36.8,34.7136155987727,38.9369944494524,F,down,0.85,0.904779951517323,0.849895789156433,0.889807878836767,k2016
F_down_085,AUClast_only,2000,27.5,25.5876352842773,29.4986318433791,F,down,0.85,0.904779951517323,0.849895789156433,0.889807878836767,k2016
F_down_085,AUCinf_only,2000,39.8,37.6762967912266,41.962810973311,F,down,0.85,0.904779951517323,0.849895789156433,0.889807878836767,k2016
F_down_090,P2,2000,73.25,71.2667897113162,75.1440675901056,F,down,0.9,0.936870766022085,0.899812601831346,0.926930552456146,k2016
F_down_090,F3A,2000,67.05,64.9590636016049,69.0755650861044,F,down,0.9,0.936870766022085,0.899812601831346,0.926930552456146,k2016
F_down_090,F3B,2000,72.3,70.2973729779813,74.2171267132748,F,down,0.9,0.936870766022085,0.899812601831346,0.926930552456146,k2016
F_down_090,F3C,2000,72.05,70.0424474862231,73.9730107286737,F,down,0.9,0.936870766022085,0.899812601831346,0.926930552456146,k2016
F_down_090,G2,2000,75.95,74.0283155052957,77.7721897408072,F,down,0.9,0.936870766022085,0.899812601831346,0.926930552456146,k2016
F_down_090,AUClast_only,2000,73.65,71.6753028515514,75.5340208120453,F,down,0.9,0.936870766022085,0.899812601831346,0.926930552456146,k2016
F_down_090,AUCinf_only,2000,77.35,75.4641640720026,79.1309734417129,F,down,0.9,0.936870766022085,0.899812601831346,0.926930552456146,k2016
F_down_095,P2,2000,96.4,95.4905586845781,97.1315393277216,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,k2016
F_down_095,F3A,2000,94.05,92.9263688183628,95.0047393161588,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,k2016
F_down_095,F3B,2000,95.95,94.9943176862932,96.7295056685597,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,k2016
F_down_095,F3C,2000,96.2,95.2696248240864,96.9532400071258,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,k2016
F_down_095,G2,2000,95.45,94.4462675371543,96.2794728649799,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,k2016
F_down_095,AUClast_only,2000,96.45,95.545893930598,97.1760123769736,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,k2016
F_down_095,AUCinf_only,2000,95.6,94.6103473295914,96.4148179583583,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,k2016
F_up_105,P2,2000,96.55,95.6566923128875,97.2648305852278,F,up,1.05,1.03102311106189,1.05014915104572,1.03592599365433,k2016
F_up_105,F3A,2000,94.6,93.5212148700943,95.507784512418,F,up,1.05,1.03102311106189,1.05014915104572,1.03592599365433,k2016
F_up_105,F3B,2000,96.4,95.4905586845781,97.1315393277216,F,up,1.05,1.03102311106189,1.05014915104572,1.03592599365433,k2016
F_up_105,F3C,2000,96.55,95.6566923128875,97.2648305852278,F,up,1.05,1.03102311106189,1.05014915104572,1.03592599365433,k2016
F_up_105,G2,2000,95.8,94.8295599432427,96.5948385257945,F,up,1.05,1.03102311106189,1.05014915104572,1.03592599365433,k2016
F_up_105,AUClast_only,2000,96.65,95.767667135723,97.3534723529362,F,up,1.05,1.03102311106189,1.05014915104572,1.03592599365433,k2016
F_up_105,AUCinf_only,2000,95.9,94.9393641345084,96.6846509250725,F,up,1.05,1.03102311106189,1.05014915104572,1.03592599365433,k2016
F_up_111,P2,2000,76.1,74.1820223689543,77.9179077629644,F,up,1.11,1.06768310109284,1.11014483266865,1.07839339714921,k2016
F_up_111,F3A,2000,71.65,69.6347234985025,73.5822683542192,F,up,1.11,1.06768310109284,1.11014483266865,1.07839339714921,k2016
F_up_111,F3B,2000,75.6,73.6697881370213,77.4320590421786,F,up,1.11,1.06768310109284,1.11014483266865,1.07839339714921,k2016
F_up_111,F3C,2000,75.7,73.7722072000444,77.5292565696992,F,up,1.11,1.06768310109284,1.11014483266865,1.07839339714921,k2016
F_up_111,G2,2000,79.2,77.3660456950297,80.9219987437451,F,up,1.11,1.06768310109284,1.11014483266865,1.07839339714921,k2016
F_up_111,AUClast_only,2000,76.15,74.2332650149518,77.9664734122387,F,up,1.11,1.06768310109284,1.11014483266865,1.07839339714921,k2016
F_up_111,AUCinf_only,2000,80.1,78.2932731930989,81.7913205605697,F,up,1.11,1.06768310109284,1.11014483266865,1.07839339714921,k2016
F_up_118,P2,2000,27.7,25.7828732867252,29.7026270220187,F,up,1.18,1.10996727771422,1.18028837690496,1.12739272277036,k2016
F_up_118,F3A,2000,23.45,21.6451289375717,25.3566662730628,F,up,1.18,1.10996727771422,1.18028837690496,1.12739272277036,k2016
F_up_118,F3B,2000,26.65,24.7584251127388,28.6311009952957,F,up,1.18,1.10996727771422,1.18028837690496,1.12739272277036,k2016
F_up_118,F3C,2000,27.2,25.2948703591725,29.1925469968526,F,up,1.18,1.10996727771422,1.18028837690496,1.12739272277036,k2016
F_up_118,G2,2000,36.75,34.6643106855224,38.8864910674308,F,up,1.18,1.10996727771422,1.18028837690496,1.12739272277036,k2016
F_up_118,AUClast_only,2000,28.4,26.4665879093529,30.4162285331972,F,up,1.18,1.10996727771422,1.18028837690496,1.12739272277036,k2016
F_up_118,AUCinf_only,2000,39.55,37.4290816793745,41.7109846088036,F,up,1.18,1.10996727771422,1.18028837690496,1.12739272277036,k2016
F_up_125,P2,10000,3.24,2.91052689302443,3.60538463460124,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,k2016
F_up_125,F3A,10000,2.63,2.33407796968369,2.96230203595421,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,k2016
F_up_125,F3B,10000,3.11,2.78736859331087,3.46864277389118,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,k2016
F_up_125,F3C,10000,3.14,2.81577609284945,3.50021223445036,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,k2016
F_up_125,G2,10000,7.4,6.90313456019223,7.92958210098942,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,k2016
F_up_125,AUClast_only,10000,3.34,3.00536558690763,3.71046914104391,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,k2016
F_up_125,AUCinf_only,10000,9.1,8.55189148953229,9.67951957718906,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,k2016
F_up_133,P2,2000,0,1.0842021724855e-17,0.191704728125293,F,up,1.33,1.19845665111804,1.33013677489962,1.22998601511917,k2016
F_up_133,F3A,2000,0,1.0842021724855e-17,0.191704728125293,F,up,1.33,1.19845665111804,1.33013677489962,1.22998601511917,k2016
F_up_133,F3B,2000,0,1.0842021724855e-17,0.191704728125293,F,up,1.33,1.19845665111804,1.33013677489962,1.22998601511917,k2016
F_up_133,F3C,2000,0,1.0842021724855e-17,0.191704728125293,F,up,1.33,1.19845665111804,1.33013677489962,1.22998601511917,k2016
F_up_133,G2,2000,0.4,0.202824660696517,0.787346429603774,F,up,1.33,1.19845665111804,1.33013677489962,1.22998601511917,k2016
F_up_133,AUClast_only,2000,0,1.0842021724855e-17,0.191704728125293,F,up,1.33,1.19845665111804,1.33013677489962,1.22998601511917,k2016
F_up_133,AUCinf_only,2000,0.65,0.380259649407415,1.10895291725225,F,up,1.33,1.19845665111804,1.33013677489962,1.22998601511917,k2016
F_up_143,P2,2000,0,1.0842021724855e-17,0.191704728125293,F,up,1.43,1.25649313446745,1.43050167410425,1.29730502517664,k2016
F_up_143,F3A,2000,0,1.0842021724855e-17,0.191704728125293,F,up,1.43,1.25649313446745,1.43050167410425,1.29730502517664,k2016
F_up_143,F3B,2000,0,1.0842021724855e-17,0.191704728125293,F,up,1.43,1.25649313446745,1.43050167410425,1.29730502517664,k2016
