model,mechanism,direction,target,reachable,n_crossings,multiplier,auc_ratio,auc_se_log,cmax_ratio,cmax_se_log,iter_screen,iter_full,end_multiplier,end_auc_ratio,end_cmax_ratio,n_subjects,within_tol,overall_true_equiv,code
k2020,F,down,0.7,TRUE,1,0.804333575446786,0.69965847781589,9.34883781867343e-05,0.775278894294739,5.53200995399676e-05,9,0,0.1,,,200000,TRUE,FALSE,F_down_070
k2020,F,down,0.75,TRUE,1,0.83818492132275,0.749753565013548,7.41027438491919e-05,0.814098977327149,4.36264757745908e-05,9,0,0.1,,,200000,TRUE,FALSE,F_down_075
k2020,F,down,0.8,TRUE,1,0.871335777735966,0.799619025640266,5.66415335655385e-05,0.852142118063974,3.31856773065781e-05,10,0,0.1,,,200000,TRUE,FALSE,F_down_080
k2020,F,down,0.85,TRUE,1,0.904102037372205,0.849650500184827,4.06768950673705e-05,0.889767195822651,2.37213792175976e-05,9,0,0.1,,,200000,TRUE,TRUE,F_down_085
k2020,F,down,0.9,TRUE,1,0.936519721022221,0.899842309255108,2.5996995621354e-05,0.92701274636435,1.50924753990176e-05,9,0,0.1,,,200000,TRUE,TRUE,F_down_090
k2020,F,down,0.95,TRUE,1,0.968465121072061,0.949944849803286,1.2493316153473e-05,0.963734069940012,7.22153542521442e-06,10,0,0.1,,,200000,TRUE,TRUE,F_down_095
k2020,F,up,1.05,TRUE,1,1.03124131332539,1.05014776017276,1.16402400576376e-05,1.03594311005938,6.6729224427326e-06,7,0,1.55520995178849,,,200000,TRUE,TRUE,F_up_105
k2020,F,up,1.11,TRUE,1,1.06820837253561,1.11017197506889,2.45631419785621e-05,1.07849114473373,1.40147870690452e-05,8,0,1.55520995178849,,,200000,TRUE,TRUE,F_up_111
k2020,F,up,1.18,TRUE,1,1.11096334216204,1.18047557392408,3.84833982056822e-05,1.12772253970127,2.18404158472008e-05,6,0,1.55520995178849,,,200000,TRUE,TRUE,F_up_118
k2020,F,up,1.25,TRUE,1,1.15294080629446,1.25037238459433,5.12005791687799e-05,1.17607904174935,2.89102518965281e-05,7,0,1.55520995178849,,,200000,TRUE,FALSE,F_up_125
k2020,F,up,1.33,TRUE,1,1.20063954610321,1.33078610246947,6.46417123248063e-05,1.23104834195462,3.62950986946151e-05,5,0,1.55520995178849,,,200000,TRUE,FALSE,F_up_133
k2020,F,up,1.43,TRUE,1,1.25896883831092,1.43046807360462,7.97981621873598e-05,1.29829725138482,4.450818476204e-05,7,0,1.55520995178849,,,200000,TRUE,FALSE,F_up_143
k2020,ka,down,0.7,TRUE,1,0.331767112784286,0.700552060312564,0.0008173812545261,0.525880777076938,0.000616480837538474,8,2,0.1,,,200000,TRUE,FALSE,ka_down_070
k2020,ka,down,0.75,TRUE,1,0.371802666391447,0.74981686337192,0.000653225684750625,0.575457851090309,0.000493150702315288,4,5,0.1,,,200000,TRUE,FALSE,ka_down_075
k2020,ka,down,0.8,TRUE,1,0.424232725036545,0.800570249731887,0.000496213900277846,0.632507704543837,0.000376869737986611,7,5,0.1,,,200000,TRUE,FALSE,ka_down_080
k2020,ka,down,0.85,TRUE,1,0.492842705875321,0.850521201585854,0.000353940158803882,0.696946296833461,0.000272606747820989,7,4,0.1,,,200000,TRUE,FALSE,ka_down_085
k2020,ka,down,0.9,TRUE,1,0.589974625592356,0.900683300135716,0.000223526390810986,0.773924982179518,0.00017613949183397,7,2,0.1,,,200000,TRUE,FALSE,ka_down_090
k2020,ka,down,0.95,TRUE,1,0.73432010114147,0.949415940898201,0.000108063599127161,0.867451625298813,8.83113726270586e-05,6,0,0.1,,,200000,TRUE,TRUE,ka_down_095
k2020,ka,up,1.05,TRUE,1,1.6350900158505,1.05040473267516,9.59446030097581e-05,1.2139493066922,9.47536520544442e-05,4,0,10,,,200000,TRUE,TRUE,ka_up_105
k2020,ke,down,1.05,TRUE,1,0.91398169946549,1.04999149514318,1.81392384288047e-05,1.01419709970028,1.07393318953485e-05,5,0,0.1,,,200000,TRUE,TRUE,ke_down_105
k2020,ke,down,1.11,TRUE,1,0.821700481888082,1.10985160054726,3.97821241676896e-05,1.03014681071801,2.28941915247996e-05,7,0,0.1,,,200000,TRUE,TRUE,ke_down_111
k2020,ke,down,1.18,TRUE,1,0.726654763727681,1.1795949331385,6.49185049804957e-05,1.04743304615673,3.6184005804643e-05,7,0,0.1,,,200000,TRUE,TRUE,ke_down_118
k2020,ke,down,1.25,TRUE,1,0.642602940228105,1.2495748835008,9.00825365804702e-05,1.06352537123811,4.86753146587031e-05,7,0,0.1,,,200000,TRUE,TRUE,ke_down_125
k2020,ke,down,1.33,TRUE,1,0.558142112330146,1.32951528017153,0.000118793233995222,1.08054500915374,6.20230031616608e-05,7,0,0.1,,,200000,TRUE,FALSE,ke_down_133
k2020,ke,down,1.43,TRUE,1,0.467300616700441,1.42888208108213,0.000154484598868855,1.09991641922697,7.74036308208465e-05,8,0,0.1,,,200000,TRUE,FALSE,ke_down_143
k2020,ke,up,0.7,TRUE,1,1.7869643377153,0.700335003873731,0.00011082971553351,0.892683454564335,7.92413644544744e-05,9,0,10,,,200000,TRUE,FALSE,ke_up_070
k2020,ke,up,0.75,TRUE,1,1.61076153461771,0.750217685353932,9.20401943498294e-05,0.913812693974581,6.38647049764432e-05,6,0,10,,,200000,TRUE,FALSE,ke_up_075
k2020,ke,up,0.8,TRUE,1,1.45683866187482,0.800201954152666,7.33768402498735e-05,0.933475925199342,4.946823686538e-05,7,0,10,,,200000,TRUE,TRUE,ke_up_080
k2020,ke,up,0.85,TRUE,1,1.32158088956451,0.850186052409823,5.48553042410405e-05,0.951797338861368,3.59693919603436e-05,6,0,10,,,200000,TRUE,TRUE,ke_up_085
k2020,ke,up,0.9,TRUE,1,1.20157975976386,0.900299954696658,3.64076622046586e-05,0.968963230311483,2.32406419434629e-05,8,0,10,,,200000,TRUE,TRUE,ke_up_090
k2020,ke,up,0.95,TRUE,1,1.09575520341669,0.949904907376391,1.82498663776288e-05,0.984888718038693,1.13536850737803e-05,7,0,10,,,200000,TRUE,TRUE,ke_up_095
k2020,Km,up,1.05,TRUE,1,91.947868631888,1.05009893346047,5.29515448982034e-05,1.00969253810531,2.26203293226887e-05,5,0,100,,,200000,TRUE,TRUE,Km_up_105
k2020,V2,down,1.05,TRUE,1,0.76579862694241,1.05022165749121,1.88402274294688e-05,1.05122064045794,2.965876859826e-05,6,0,0.1,,,200000,TRUE,TRUE,V2_down_105
k2020,V2,down,1.11,TRUE,1,0.513969680077151,1.11028539721267,4.19132553144805e-05,1.13294478452615,5.80112703924606e-05,5,0,0.1,,,200000,TRUE,TRUE,V2_down_111
k2020,V2,down,1.18,TRUE,1,0.250286543117461,1.18021614822259,6.96133727313926e-05,1.26117780305349,7.16845618335063e-05,5,0,0.1,,,200000,TRUE,FALSE,V2_down_118
k2020,V2,up,0.7,TRUE,1,3.28303899863467,0.699618657239434,0.000101151217111447,0.865151021643915,0.000130803500459843,7,0,10,,,200000,TRUE,FALSE,V2_up_070
k2020,V2,up,0.75,TRUE,1,2.73431760274745,0.749711838114947,8.61703951737529e-05,0.876690049922751,0.000117506226527244,7,0,10,,,200000,TRUE,FALSE,V2_up_075
k2020,V2,up,0.8,TRUE,1,2.27730854120339,0.79979742585522,7.02790976185975e-05,0.890882568755657,0.000101262867263022,7,0,10,,,200000,TRUE,FALSE,V2_up_080
k2020,V2,up,0.85,TRUE,1,1.8895882838913,0.84979201720798,5.36181496603862e-05,0.908672900227592,8.14715144261247e-05,8,0,10,,,200000,TRUE,TRUE,V2_up_085
k2020,V2,up,0.9,TRUE,1,1.55383983127497,0.899912094401934,3.6248895595906e-05,0.9315026094201,5.76336796324857e-05,6,0,10,,,200000,TRUE,TRUE,V2_up_090
k2020,V2,up,0.95,TRUE,1,1.25968052954441,0.950063392008423,1.83177236669423e-05,0.961206351944925,2.99805003363769e-05,6,0,10,,,200000,TRUE,TRUE,V2_up_095
k2020,Vmax,down,1.05,TRUE,1,0.919478686318879,1.05001990379714,3.10656516083869e-05,1.01217086359975,1.76786117311334e-05,4,0,0.1,,,200000,TRUE,TRUE,Vmax_down_105
k2020,Vmax,down,1.11,TRUE,1,0.830368437788396,1.11032156549658,6.5752246000855e-05,1.02575418827004,3.68979417109664e-05,5,0,0.1,,,200000,TRUE,TRUE,Vmax_down_111
k2020,Vmax,down,1.18,TRUE,1,0.735973164583606,1.1808257680927,0.000103130228190256,1.040278756686,5.68966811205024e-05,8,0,0.1,,,200000,TRUE,TRUE,Vmax_down_118
k2020,Vmax,down,1.25,TRUE,1,0.651331501646086,1.25092658233271,0.000137505047102082,1.05342570107931,7.45405746569047e-05,6,0,0.1,,,200000,TRUE,FALSE,Vmax_down_125
k2020,Vmax,down,1.33,TRUE,1,0.565723431061283,1.32979650336999,0.000173464207228059,1.06684559148656,9.21312680541033e-05,6,5,0.1,,,200000,TRUE,FALSE,Vmax_down_133
k2020,Vmax,down,1.43,TRUE,1,0.469758881670649,1.42995080505789,0.000215784769167703,1.08204126176088,0.000111570304480361,8,4,0.1,,,200000,TRUE,FALSE,Vmax_down_143
k2020,Vmax,up,0.7,TRUE,1,1.65481709994318,0.700155713034782,0.000259866311036701,0.904259678778729,0.000159357848584345,8,3,10,,,200000,TRUE,FALSE,Vmax_up_070
k2020,Vmax,up,0.75,TRUE,1,1.52156905315377,0.749455160050071,0.000204728742341459,0.923315640421006,0.000124152986296683,8,4,10,,,200000,TRUE,FALSE,Vmax_up_075
k2020,Vmax,up,0.8,TRUE,1,1.3969545986339,0.80009024618209,0.000154431653069483,0.941322121145971,9.26357235078126e-05,2,7,10,,,200000,TRUE,TRUE,Vmax_up_080
k2020,Vmax,up,0.85,TRUE,1,1.28639694493697,0.849254708729738,0.00011073105326695,0.957455687594177,6.57607119792422e-05,4,0,10,,,200000,TRUE,TRUE,Vmax_up_085
k2020,Vmax,up,0.9,TRUE,1,1.18281457301527,0.899492371275158,7.04193724459606e-05,0.97271371320533,4.13966562382758e-05,3,0,10,,,200000,TRUE,TRUE,Vmax_up_090
k2020,Vmax,up,0.95,TRUE,1,1.08757278975491,0.949782982372421,3.36864942608579e-05,0.986870590587944,1.95967059847139e-05,4,0,10,,,200000,TRUE,TRUE,Vmax_up_095
