model,scenario,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,config,auc_endpoint,n_trials,n_pass,pass_pct,lo,hi,class,gap_pp,n_trials_prereg,pass_pct_prereg,lo_prereg,hi_prereg,class_prereg,se_median,df_median,df232_share,theory_boundary_pct,theory_far_prob,theory_at_truth_pct,sd_log_gmr,sd_se_ratio,cor_se_log_gmr,pred_unbiased_pct,pred_pct,bias_log,bias_mc_se,bias_lo,bias_hi,bias_pct,bias_dir,ref_pct,ref_lo,ref_hi,ref_class,ref_minus_5_pp,al_pct,auclast_minus_ref_pp,auclast_minus_ref_lo,auclast_minus_ref_hi,p2_pct,p2_minus_auclast_pp,p2_minus_auclast_lo,p2_minus_auclast_hi,n_auclast_pass_cmax_fail,cmax_pass_pct,cmax_bias_log,cmax_bias_mc_se,cmax_bias_pct,cmax_bias_dir,bias_pct_Cmax,bias_pct_AUClast,bias_pct_AUCinf_A,bias_pct_AUCinf_B,bias_pct_AUCinf_C,bias_pct_AUCinf_true,bias_mc_se_pct_Cmax,bias_mc_se_pct_AUClast,bias_mc_se_pct_AUCinf_A,bias_mc_se_pct_AUCinf_B,bias_mc_se_pct_AUCinf_C,bias_mc_se_pct_AUCinf_true,cause_primary,auclast_bias_consistent,cmax_dominant,cause_ko,cause_en,bias41_status,bias41_n_trials,bias41_check
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,P2,AUClast,10000,371,3.71,3.35697349886415,4.09857707029309,conservative,-1.29,10000,3.71,3.35697349886415,4.09857707029309,conservative,0.051068473403862,232,1,4.9999999991865,8.13512987282873e-12,4.9713804761014,0.0493941429639262,0.967214010360271,-0.0326063204493867,4.36022658797485,3.49152561082821,-0.00507162624338534,0.000493941429639262,-0.00603973365595051,-0.00410351883082016,-0.505878726101916,away_from_1,4.48,4.09173361905776,4.90322559260863,conservative,-0.52,3.8,-0.68,-0.933703203888636,-0.426296796111364,3.71,-0.09,-0.148775392909458,-0.0312246070905424,9,39.75,-0.00169999736064433,0.000428617023885275,-0.169855318361289,away_from_1,-0.169855318361289,-0.505878726101916,1.95380266152647,1.07884958593814,-0.374901506624092,0.0146594349589524,0.0428617023885275,0.0493941429639262,0.0516828094011629,0.0470472182147228,0.049398152355554,0.0462875633698154,last,TRUE,FALSE,"AUClast 편향이 1에서 멀어지는 방향(편향 -0.51%; AUClast 단독 − AUCinf_true -0.68%p) + 편향 없는 기준도 5% 아래(AUCinf_true 4.48%, -0.52%p) + Cmax 불통과(Cmax 통과 39.75%; P2 − AUClast 단독 -0.09%p) → P2 3.71%: 보수적","AUClast bias away from 1 (bias -0.51%; AUClast only minus AUCinf_true -0.68 points) + the unbiased reference is itself below 5% (AUCinf_true 4.48%, -0.52 points) + Cmax failures (Cmax pass 39.75%; P2 minus AUClast only -0.09 points); hence P2 3.71%: conservative",equal,10000,"equal (10,000 trials)"
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,AUClast_only,AUClast,10000,380,3.8,3.44265516422164,4.19282628522888,conservative,-1.2,10000,3.8,3.44265516422164,4.19282628522888,conservative,0.051068473403862,232,1,4.9999999991865,8.13512987282873e-12,4.9713804761014,0.0493941429639262,0.967214010360271,-0.0326063204493867,4.36022658797485,3.49152561082821,-0.00507162624338534,0.000493941429639262,-0.00603973365595051,-0.00410351883082016,-0.505878726101916,away_from_1,4.48,4.09173361905776,4.90322559260863,conservative,-0.52,3.8,-0.68,-0.933703203888636,-0.426296796111364,3.71,-0.09,-0.148775392909458,-0.0312246070905424,9,39.75,-0.00169999736064433,0.000428617023885275,-0.169855318361289,away_from_1,-0.169855318361289,-0.505878726101916,1.95380266152647,1.07884958593814,-0.374901506624092,0.0146594349589524,0.0428617023885275,0.0493941429639262,0.0516828094011629,0.0470472182147228,0.049398152355554,0.0462875633698154,last,TRUE,FALSE,"AUClast 편향이 1에서 멀어지는 방향(편향 -0.51%; AUClast 단독 − AUCinf_true -0.68%p) + 편향 없는 기준도 5% 아래(AUCinf_true 4.48%, -0.52%p) → AUClast 단독 3.80%: 보수적","AUClast bias away from 1 (bias -0.51%; AUClast only minus AUCinf_true -0.68 points) + the unbiased reference is itself below 5% (AUCinf_true 4.48%, -0.52 points); hence AUClast only 3.80%: conservative",equal,10000,"equal (10,000 trials)"
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,AUCinf_true_only,AUCinf_true,10000,448,4.48,4.09173361905776,4.90322559260863,conservative,-0.52,10000,4.48,4.09173361905776,4.90322559260863,conservative,0.0480605142381586,232,1,4.99999999997063,2.93832891636062e-13,4.96959365242583,0.0462875633698154,0.963110031250236,-0.0370876993868661,4.29163349408511,4.32060321960163,0.000146583605687867,0.000462875633698154,-0.000760635965681669,0.0010538031770574,0.0146594349589524,none,4.48,4.09173361905776,4.90322559260863,conservative,-0.52,3.8,-0.68,-0.933703203888636,-0.426296796111364,3.71,-0.09,-0.148775392909458,-0.0312246070905424,9,39.75,-0.00169999736064433,0.000428617023885275,-0.169855318361289,away_from_1,-0.169855318361289,-0.505878726101916,1.95380266152647,1.07884958593814,-0.374901506624092,0.0146594349589524,0.0428617023885275,0.0493941429639262,0.0516828094011629,0.0470472182147228,0.049398152355554,0.0462875633698154,,,,"편향 없는 기준: 편향 +0.01% [-0.08, +0.11](0 포함), 시험 간 SD / 시험 안 SE 0.963, 정규 근사 4.32%(관측 4.48%)","unbiased reference: bias +0.01% (95% CI -0.08 to +0.11, includes 0), between-trial SD / within-trial SE 0.963, normal approximation 4.32% (observed 4.48%)",equal,10000,"equal (10,000 trials)"
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,P2,AUClast,10000,397,3.97,3.60465114473627,4.37069974526822,conservative,-1.03,10000,3.97,3.60465114473627,4.37069974526822,conservative,0.0486178424155366,232,1,4.9999999999433,5.67134308106019e-13,4.92633148302836,0.046916439946935,0.965004566552756,0.0125664338052183,4.28202307686178,3.72352524828549,-0.00304276949174656,0.000469164399469351,-0.00396231481753485,-0.00212322416595827,-0.303814496030674,away_from_1,4.39,4.00566646353162,4.8093618678415,conservative,-0.609999999999999,3.97,-0.42,-0.663097947680167,-0.176902052319833,3.97,0,0,0,0,99.16,-0.0106733907663958,0.000426801514129359,-1.06166322459423,away_from_1,-1.06166322459423,-0.303814496030674,-0.205120496453948,-0.586221096493511,-0.650755345214671,0.0168403773800563,0.0426801514129359,0.046916439946935,0.0476050399765611,0.0447334841520959,0.0466803995752474,0.0437387984379197,ref,TRUE,FALSE,"편향 없는 기준도 5% 아래(AUCinf_true 4.39%, -0.61%p) + AUClast 편향이 1에서 멀어지는 방향(편향 -0.30%; AUClast 단독 − AUCinf_true -0.42%p) → P2 3.97%: 보수적","the unbiased reference is itself below 5% (AUCinf_true 4.39%, -0.61 points) + AUClast bias away from 1 (bias -0.30%; AUClast only minus AUCinf_true -0.42 points); hence P2 3.97%: conservative",equal,10000,"equal (10,000 trials)"
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,AUClast_only,AUClast,10000,397,3.97,3.60465114473627,4.37069974526822,conservative,-1.03,10000,3.97,3.60465114473627,4.37069974526822,conservative,0.0486178424155366,232,1,4.9999999999433,5.67134308106019e-13,4.92633148302836,0.046916439946935,0.965004566552756,0.0125664338052183,4.28202307686178,3.72352524828549,-0.00304276949174656,0.000469164399469351,-0.00396231481753485,-0.00212322416595827,-0.303814496030674,away_from_1,4.39,4.00566646353162,4.8093618678415,conservative,-0.609999999999999,3.97,-0.42,-0.663097947680167,-0.176902052319833,3.97,0,0,0,0,99.16,-0.0106733907663958,0.000426801514129359,-1.06166322459423,away_from_1,-1.06166322459423,-0.303814496030674,-0.205120496453948,-0.586221096493511,-0.650755345214671,0.0168403773800563,0.0426801514129359,0.046916439946935,0.0476050399765611,0.0447334841520959,0.0466803995752474,0.0437387984379197,ref,TRUE,FALSE,"편향 없는 기준도 5% 아래(AUCinf_true 4.39%, -0.61%p) + AUClast 편향이 1에서 멀어지는 방향(편향 -0.30%; AUClast 단독 − AUCinf_true -0.42%p) → AUClast 단독 3.97%: 보수적","the unbiased reference is itself below 5% (AUCinf_true 4.39%, -0.61 points) + AUClast bias away from 1 (bias -0.30%; AUClast only minus AUCinf_true -0.42 points); hence AUClast only 3.97%: conservative",equal,10000,"equal (10,000 trials)"
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,AUCinf_true_only,AUCinf_true,10000,439,4.39,4.00566646353162,4.8093618678415,conservative,-0.609999999999999,10000,4.39,4.00566646353162,4.8093618678415,conservative,0.0455094783322483,232,1,4.99999999999892,1.09606131157104e-14,4.92133180894589,0.0437387984379197,0.961092063472988,0.00905627198440781,4.2140460256095,4.24876973635088,0.000168389595476798,0.000437387984379197,-0.000688875101176996,0.00102565429213059,0.0168403773800563,none,4.39,4.00566646353162,4.8093618678415,conservative,-0.609999999999999,3.97,-0.42,-0.663097947680167,-0.176902052319833,3.97,0,0,0,0,99.16,-0.0106733907663958,0.000426801514129359,-1.06166322459423,away_from_1,-1.06166322459423,-0.303814496030674,-0.205120496453948,-0.586221096493511,-0.650755345214671,0.0168403773800563,0.0426801514129359,0.046916439946935,0.0476050399765611,0.0447334841520959,0.0466803995752474,0.0437387984379197,,,,"편향 없는 기준: 편향 +0.02% [-0.07, +0.10](0 포함), 시험 간 SD / 시험 안 SE 0.961, 정규 근사 4.25%(관측 4.39%)","unbiased reference: bias +0.02% (95% CI -0.07 to +0.10, includes 0), between-trial SD / within-trial SE 0.961, normal approximation 4.25% (observed 4.39%)",equal,10000,"equal (10,000 trials)"
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,P2,AUClast,10000,225,2.25,1.97714552453257,2.55952631986704,conservative,-2.75,10000,2.25,1.97714552453257,2.55952631986704,conservative,0.0526273817462021,232,1,4.99999999628217,3.71784749901606e-11,4.86018969237681,0.0510033583800528,0.969141095143566,-0.103707554054959,4.2869142126487,2.1949942528713,-0.0151340013147996,0.000510033583800528,-0.0161336487699545,-0.0141343538596447,-1.50200578479555,away_from_1,4.64,4.24485143793626,5.06998489425152,nominal,-0.359999999999999,2.25,-2.39,-2.70071026066977,-2.07928973933023,2.25,0,0,0,0,95.99,-0.00570439621490952,0.000443096931561291,-0.568815703972392,away_from_1,-0.568815703972392,-1.50200578479555,5.22563794564837,3.34755936060958,-1.38253398998469,0.0204252156315254,0.0443096931561291,0.0510033583800528,0.0541743356181414,0.0481065455328021,0.0512190821559601,0.0476929415694227,last,TRUE,FALSE,AUClast 편향이 1에서 멀어지는 방향(편향 -1.50%; AUClast 단독 − AUCinf_true -2.39%p) → P2 2.25%: 보수적,AUClast bias away from 1 (bias -1.50%; AUClast only minus AUCinf_true -2.39 points); hence P2 2.25%: conservative,equal,10000,"equal (10,000 trials)"
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,AUClast_only,AUClast,10000,225,2.25,1.97714552453257,2.55952631986704,conservative,-2.75,10000,2.25,1.97714552453257,2.55952631986704,conservative,0.0526273817462021,232,1,4.99999999628217,3.71784749901606e-11,4.86018969237681,0.0510033583800528,0.969141095143566,-0.103707554054959,4.2869142126487,2.1949942528713,-0.0151340013147996,0.000510033583800528,-0.0161336487699545,-0.0141343538596447,-1.50200578479555,away_from_1,4.64,4.24485143793626,5.06998489425152,nominal,-0.359999999999999,2.25,-2.39,-2.70071026066977,-2.07928973933023,2.25,0,0,0,0,95.99,-0.00570439621490952,0.000443096931561291,-0.568815703972392,away_from_1,-0.568815703972392,-1.50200578479555,5.22563794564837,3.34755936060958,-1.38253398998469,0.0204252156315254,0.0443096931561291,0.0510033583800528,0.0541743356181414,0.0481065455328021,0.0512190821559601,0.0476929415694227,last,TRUE,FALSE,AUClast 편향이 1에서 멀어지는 방향(편향 -1.50%; AUClast 단독 − AUCinf_true -2.39%p) → AUClast 단독 2.25%: 보수적,AUClast bias away from 1 (bias -1.50%; AUClast only minus AUCinf_true -2.39 points); hence AUClast only 2.25%: conservative,equal,10000,"equal (10,000 trials)"
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,AUCinf_true_only,AUCinf_true,10000,464,4.64,4.24485143793626,5.06998489425152,nominal,-0.359999999999999,10000,4.64,4.24485143793626,5.06998489425152,nominal,0.0493583246737591,232,1,4.99999999986828,1.31737022009309e-12,4.8510420998264,0.0476929415694227,0.966259326763135,-0.113017381773585,4.23183990016791,4.27060909391598,0.000204231299683472,0.000476929415694227,-0.000730533178244946,0.00113899577761189,0.0204252156315254,none,4.64,4.24485143793626,5.06998489425152,nominal,-0.359999999999999,2.25,-2.39,-2.70071026066977,-2.07928973933023,2.25,0,0,0,0,95.99,-0.00570439621490952,0.000443096931561291,-0.568815703972392,away_from_1,-0.568815703972392,-1.50200578479555,5.22563794564837,3.34755936060958,-1.38253398998469,0.0204252156315254,0.0443096931561291,0.0510033583800528,0.0541743356181414,0.0481065455328021,0.0512190821559601,0.0476929415694227,,,,"편향 없는 기준: 편향 +0.02% [-0.07, +0.11](0 포함), 시험 간 SD / 시험 안 SE 0.966, 정규 근사 4.27%(관측 4.64%)","unbiased reference: bias +0.02% (95% CI -0.07 to +0.11, includes 0), between-trial SD / within-trial SE 0.966, normal approximation 4.27% (observed 4.64%)",equal,10000,"equal (10,000 trials)"
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,P2,AUClast,10000,0,0,0,0.0383998370676596,conservative,-5,10000,0,0,0.0383998370676596,conservative,0.0594972034709739,232,0.9938,4.99999916695847,8.33041543416197e-09,4.85100116185209,0.0595519730007517,1.00092053956459,-0.373406214179597,4.79879960703176,4.42889079939171,-0.00227874418928034,0.000595519730007517,-0.00344594141217809,-0.00111154696638259,-0.227614982274693,away_from_1,5.11,4.69538898487127,5.55908638884807,nominal,0.110000000000001,4.74,-0.37,-0.618598225153912,-0.121401774846088,0,-4.74,-5.15649929081193,-4.32350070918807,474,0,0.0121200381569889,0.000530061700634621,1.21937834502199,toward_1,1.21937834502199,-0.227614982274693,7.96308730656805,3.7344813849618,-0.687451570927544,0.0150117225886648,0.0530061700634621,0.0595519730007517,0.0601264311180716,0.0543153533233147,0.0596796777630196,0.0564842313148204,cmax,TRUE,TRUE,Cmax 불통과가 대부분(Cmax 통과 0.00%; P2 − AUClast 단독 -4.74%p) + AUClast 편향이 1에서 멀어지는 방향(편향 -0.23%; AUClast 단독 − AUCinf_true -0.37%p) → P2 0.00%: 보수적,Cmax failures dominate (Cmax pass 0.00%; P2 minus AUClast only -4.74 points) + AUClast bias away from 1 (bias -0.23%; AUClast only minus AUCinf_true -0.37 points); hence P2 0.00%: conservative,equal,10000,"equal (10,000 trials)"
