scenario,config,n_trials,pass_pct,lo,hi,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,model
F_down_095,P2,2000,96.4,95.4905586845781,97.1315393277216,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,k2016
F_down_095,F3A,2000,94.05,92.9263688183628,95.0047393161588,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,k2016
F_down_095,F3B,2000,95.95,94.9943176862932,96.7295056685597,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,k2016
F_down_095,F3C,2000,96.2,95.2696248240864,96.9532400071258,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,k2016
F_down_095,G2,2000,95.45,94.4462675371543,96.2794728649799,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,k2016
F_down_095,AUClast_only,2000,96.45,95.545893930598,97.1760123769736,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,k2016
F_down_095,AUCinf_only,2000,95.6,94.6103473295914,96.4148179583583,F,down,0.95,0.968646613771892,0.949920923227653,0.96370327443162,k2016
F_up_105,P2,2000,96.55,95.6566923128875,97.2648305852278,F,up,1.05,1.03102311106189,1.05014915104572,1.03592599365433,k2016
F_up_105,F3A,2000,94.6,93.5212148700943,95.507784512418,F,up,1.05,1.03102311106189,1.05014915104572,1.03592599365433,k2016
F_up_105,F3B,2000,96.4,95.4905586845781,97.1315393277216,F,up,1.05,1.03102311106189,1.05014915104572,1.03592599365433,k2016
F_up_105,F3C,2000,96.55,95.6566923128875,97.2648305852278,F,up,1.05,1.03102311106189,1.05014915104572,1.03592599365433,k2016
F_up_105,G2,2000,95.8,94.8295599432427,96.5948385257945,F,up,1.05,1.03102311106189,1.05014915104572,1.03592599365433,k2016
F_up_105,AUClast_only,2000,96.65,95.767667135723,97.3534723529362,F,up,1.05,1.03102311106189,1.05014915104572,1.03592599365433,k2016
F_up_105,AUCinf_only,2000,95.9,94.9393641345084,96.6846509250725,F,up,1.05,1.03102311106189,1.05014915104572,1.03592599365433,k2016
Km_up_105,P2,2000,95.3,94.2824557528353,96.1438597634831,Km,up,1.05,84.0386692344027,1.05014765162093,1.0088716513308,k2016
Km_up_105,F3A,2000,94.8,93.7382045845555,95.6900279790442,Km,up,1.05,84.0386692344027,1.05014765162093,1.0088716513308,k2016
Km_up_105,F3B,2000,95.3,94.2824557528353,96.1438597634831,Km,up,1.05,84.0386692344027,1.05014765162093,1.0088716513308,k2016
Km_up_105,F3C,2000,95.3,94.2824557528353,96.1438597634831,Km,up,1.05,84.0386692344027,1.05014765162093,1.0088716513308,k2016
Km_up_105,G2,2000,99.15,98.6429310262214,99.4686232260315,Km,up,1.05,84.0386692344027,1.05014765162093,1.0088716513308,k2016
