bin,n,pass_pct,lo,hi,config,model,ratio
0.03,538,82.8996282527881,79.4875810333338,85.8451826814386,P2,k2016,1.03045453395352
0.39,218,0,0,1.73162349414544,P2,k2016,1.47698079388264
0.01,547,84.6435100548446,81.3814651831787,87.4223610232597,P2,k2016,1.01005016708417
0.13,540,41.8518518518519,37.7629317338926,46.0558818977812,P2,k2016,1.13882838332462
-0.29,362,0,0,1.05003375863338,P2,k2016,0.748263567578565
-0.31,344,0,8.67361737988404e-17,1.10437060427415,P2,k2016,0.733446956224289
-0.23,399,1.2531328320802,0.536419021109328,2.8995378591022,P2,k2016,0.794533602503334
-0.11,544,52.5735294117647,48.3741132832994,56.7368544153253,P2,k2016,0.895834135296528
0.27,358,0.279329608938548,0.0493255642690617,1.56504412120935,P2,k2016,1.30996445073325
0.29,337,0,0,1.12705151362323,P2,k2016,1.33642748802547
0.33,293,0,0,1.29411128619151,P2,k2016,1.39096812846378
-0.01,572,83.2167832167832,79.9347725201255,86.0556132326177,P2,k2016,0.990049833749168
-0.07,512,72.65625,68.6374215213773,76.3376373911796,P2,k2016,0.932393819905948
-0.13,476,41.3865546218487,37.0481297838836,45.8628924938639,P2,k2016,0.878095430920561
-0.33,319,0,0,1.18989018161625,P2,k2016,0.718923733431926
0.19,460,8.69565217391304,6.45076327749069,11.6246927272095,P2,k2016,1.20924959765725
0.23,428,1.86915887850467,0.950107795946335,3.64450868086872,P2,k2016,1.25860000992948
0.63,11,0,0,25.8832966968032,P2,k2016,1.87761057926434
0.17,554,17.1480144404332,14.2381851690904,20.5103004007138,P2,k2016,1.18530485132037
-0.27,357,0.280112044817927,0.0494637789843685,1.56937980949497,P2,k2016,0.763379494336853
0.09,549,67.7595628415301,63.738074450756,71.5342440211561,P2,k2016,1.09417428370521
-0.19,457,8.53391684901532,6.30545431220235,11.4536811245547,P2,k2016,0.826959133943362
-0.05,562,78.4697508896797,74.8842637232594,81.668679687238,P2,k2016,0.951229424500714
0.11,516,56.5891472868217,52.2795028113567,60.8014084638356,P2,k2016,1.11627807045887
0.35,299,0,0,1.26847190462405,P2,k2016,1.41906754859326
-0.15,464,28.6637931034483,24.7377265317622,32.9402440142629,P2,k2016,0.860707976425058
-0.03,562,79.1814946619217,75.6322051170392,82.3345618787207,P2,k2016,0.970445533548508
-0.25,419,0,0,0.908486795833115,P2,k2016,0.778800783071405
-0.09,544,64.8897058823529,60.7870130238636,68.7835858038936,P2,k2016,0.913931185271228
0.07,525,73.9047619047619,69.9842460756978,77.4779934695385,P2,k2016,1.07250818125422
0.21,434,6.45161290322581,4.50105192503079,9.16632872500503,P2,k2016,1.23367805995674
-0.67,25,0,0,13.3192250939048,P2,k2016,0.511708577786543
-0.17,451,14.6341463414634,11.6709237244326,18.1947484095241,P2,k2016,0.843664816596384
0.05,555,78.9189189189189,75.3325491324632,82.1077132055166,P2,k2016,1.05127109637602
-0.61,65,0,0,5.58015313228569,P2,k2016,0.5433508690745
-0.41,224,0,0,1.68602274606978,P2,k2016,0.663650250136319
-0.37,267,0,0,1.41834224251365,P2,k2016,0.690734330637355
-0.35,296,0,0,1.28116333071583,P2,k2016,0.704688089718713
0.31,336,0,0,1.13036791744734,P2,k2016,1.36342511413218
0.47,141,0,0,2.65218180759256,P2,k2016,1.59999419321736
-0.21,476,4.83193277310924,3.24106517564866,7.14600286619779,P2,k2016,0.810584245970187
-0.53,121,0,0,3.07706979474783,P2,k2016,0.588604969678355
0.49,95,0,0,3.8864853539473,P2,k2016,1.63231621995538
0.43,156,0,0,2.40329314374149,P2,k2016,1.53725752354828
0.15,491,31.1608961303462,27.2237966484059,35.3904918873825,P2,k2016,1.16183424272828
0.25,415,0.481927710843374,0.132261602392285,1.73991667785075,P2,k2016,1.28402541668774
-0.43,196,0,0,1.92225319178681,P2,k2016,0.650509094723317
-0.49,161,0,0,2.3303960351823,P2,k2016,0.612626394184416
-0.45,199,0,0,1.89382330566349,P2,k2016,0.637628151621773
-0.59,89,0,0,4.13765452362525,P2,k2016,0.554327284734507
0.41,202,0,0,1.86622211225211,P2,k2016,1.50681778511285
0.61,15,0,0,20.3883301035849,P2,k2016,1.84043139878164
0.53,73,0,0,4.99920079557311,P2,k2016,1.69893230861855
0.45,133,0,0,2.80723316880717,P2,k2016,1.56831218549017
-0.47,143,0,1.73472347597681e-16,2.61605874222815,P2,k2016,0.625002268282701
-0.55,111,0,0,3.34501046933923,P2,k2016,0.576949810380487
0.51,81,0,0,4.52780854324152,P2,k2016,1.66529119494589
-0.39,228,0,0,1.65693350975034,P2,k2016,0.677056874498165
0.55,29,0,0,11.6969798499741,P2,k2016,1.7332530178674
-0.65,45,0,6.93889390390723e-16,7.86515987328883,P2,k2016,0.522045776761016
0.57,31,0,0,11.0255395460436,P2,k2016,1.76826705143374
0.37,246,0,0,1.53755859368843,P2,k2016,1.44773461466332
-0.51,133,0,0,2.80723316880717,P2,k2016,0.600495578812266
-0.69,29,0,0,11.6969798499741,P2,k2016,0.501576069066056
-0.77,7,0,0,35.4330435066687,P2,k2016,0.463013068311228
-0.57,94,0,3.46944695195361e-16,3.92620762915447,P2,k2016,0.565525438699537
-0.63,42,0,0,8.37987908657039,P2,k2016,0.532591801006897
-0.79,7,0,0,35.4330435066687,P2,k2016,0.453844795282356
0.59,37,0,0,9.40578258372025,P2,k2016,1.80398841539786
-0.71,11,0,0,25.8832966968032,P2,k2016,0.491644197460965
-0.73,13,0,0,22.8095372354198,P2,k2016,0.481908990090202
-0.75,13,0,0,22.8095372354198,P2,k2016,0.472366552741015
0.65,1,0,0,79.3450685622763,P2,k2016,1.9155408290139
0.67,2,0,0,65.7619772493347,P2,k2016,1.95423732063594
-0.83,7,0,0,35.4330435066687,P2,k2016,0.436049286321536
-0.81,7,0,0,35.4330435066687,P2,k2016,0.444858066222941
-0.89,1,0,0,79.3450685622763,P2,k2016,0.410655752752345
0.03,538,81.0408921933086,77.5130457578548,84.1286013628627,F3A,k2016,1.03045453395352
0.39,218,0,0,1.73162349414544,F3A,k2016,1.47698079388264
