model,config,truth,metric,scope,pct,lo,hi,n_products
k2016,P2,AUC0-inf,소비자 위험(범위 밖 통과),전체,0.140515222482436,0.080401202780935,0.245464614777635,8540
k2016,P2,AUC0-inf,소비자 위험(범위 밖 통과),경계 근처,0.483286347160693,0.276678849196851,0.842872166889918,2483
k2016,P2,AUC0-inf,생산자 위험(범위 안 불통과),전체,49.5898778359511,48.6747680746835,50.5052624557661,11460
k2016,P2,AUC0-inf,생산자 위험(범위 안 불통과),경계 근처,90.7347086500181,89.5963043812757,91.7600014823585,2763
k2016,P2,AUC0-inf·Cmax 모두,소비자 위험(범위 밖 통과),전체,0.301486641022975,0.210003702218757,0.432649084749979,9619
k2016,P2,AUC0-inf·Cmax 모두,생산자 위험(범위 안 불통과),전체,44.5140159907523,43.5601965780501,45.4718940463807,10381
k2016,F3A,AUC0-inf,소비자 위험(범위 밖 통과),전체,0.117096018735363,0.0636183760083043,0.215430093413844,8540
k2016,F3A,AUC0-inf,소비자 위험(범위 밖 통과),경계 근처,0.402738622633911,0.218908949828039,0.739795463600881,2483
k2016,F3A,AUC0-inf,생산자 위험(범위 안 불통과),전체,52.565445026178,51.6505125631015,53.4786581613207,11460
k2016,F3A,AUC0-inf,생산자 위험(범위 안 불통과),경계 근처,92.4719507781397,91.4281060429879,93.3978601329113,2763
k2016,F3A,AUC0-inf·Cmax 모두,소비자 위험(범위 밖 통과),전체,0.249506185674187,0.167730435303039,0.371002942385254,9619
k2016,F3A,AUC0-inf·Cmax 모두,생산자 위험(범위 안 불통과),전체,47.7699643579617,46.8100933748014,48.7314851669997,10381
k2016,F3B,AUC0-inf,소비자 위험(범위 밖 통과),전체,0.128805620608899,0.0719401579531469,0.230516985537213,8540
k2016,F3B,AUC0-inf,소비자 위험(범위 밖 통과),경계 근처,0.443012484897302,0.247553369005915,0.791574345751929,2483
k2016,F3B,AUC0-inf,생산자 위험(범위 안 불통과),전체,50.0959860383944,49.1806775893555,51.0112301588372,11460
k2016,F3B,AUC0-inf,생산자 위험(범위 안 불통과),경계 근처,91.1328266377126,90.0149602587571,92.1364760931045,2763
k2016,F3B,AUC0-inf·Cmax 모두,소비자 위험(범위 밖 통과),전체,0.28069445888346,0.19298845574899,0.408096567507568,9619
k2016,F3B,AUC0-inf·Cmax 모두,생산자 위험(범위 안 불통과),전체,45.0630960408439,44.1079671770047,46.0218773269826,10381
k2016,F3C,AUC0-inf,소비자 위험(범위 밖 통과),전체,0.140515222482436,0.080401202780935,0.245464614777635,8540
k2016,F3C,AUC0-inf,소비자 위험(범위 밖 통과),경계 근처,0.483286347160693,0.276678849196851,0.842872166889918,2483
k2016,F3C,AUC0-inf,생산자 위험(범위 안 불통과),전체,49.8429319371728,48.9277111134819,50.7582580258393,11460
k2016,F3C,AUC0-inf,생산자 위험(범위 안 불통과),경계 근처,90.8432862830257,89.7104220119454,91.8627376212053,2763
k2016,F3C,AUC0-inf·Cmax 모두,소비자 위험(범위 밖 통과),전체,0.301486641022975,0.210003702218757,0.432649084749979,9619
k2016,F3C,AUC0-inf·Cmax 모두,생산자 위험(범위 안 불통과),전체,44.7933725074656,43.8388721570347,45.7517248271704,10381
k2016,G2,AUC0-inf,소비자 위험(범위 밖 통과),전체,1.07728337236534,0.879283121229276,1.31927662178616,8540
k2016,G2,AUC0-inf,소비자 위험(범위 밖 통과),경계 근처,3.42327829238824,2.77698313878544,4.21346887431285,2483
k2016,G2,AUC0-inf,생산자 위험(범위 안 불통과),전체,45.4188481675393,44.5089538939793,46.3318126695526,11460
k2016,G2,AUC0-inf,생산자 위험(범위 안 불통과),경계 근처,81.5418023887079,80.0517714375802,82.9442486069841,2763
k2016,G2,AUC0-inf·Cmax 모두,소비자 위험(범위 밖 통과),전체,1.11238174446408,0.921437760627989,1.34235781111565,9619
k2016,G2,AUC0-inf·Cmax 모두,생산자 위험(범위 안 불통과),전체,39.8901839899817,38.9521267229513,40.8357207052139,10381
k2016,AUClast_only,AUC0-inf,소비자 위험(범위 밖 통과),전체,0.187353629976581,0.115359739387401,0.304140774444012,8540
k2016,AUClast_only,AUC0-inf,소비자 위험(범위 밖 통과),경계 근처,0.604107933950866,0.366442729095333,0.994378190978212,2483
k2016,AUClast_only,AUC0-inf,생산자 위험(범위 안 불통과),전체,37.478184991274,36.5962601552919,38.3685017850285,11460
k2016,AUClast_only,AUC0-inf,생산자 위험(범위 안 불통과),경계 근처,87.1516467607673,85.8521398611265,88.3479916084608,2763
k2016,AUClast_only,AUC0-inf·Cmax 모두,소비자 위험(범위 밖 통과),전체,4.8757667117164,4.4631113098356,5.32444949381209,9619
k2016,AUClast_only,AUC0-inf·Cmax 모두,생산자 위험(범위 안 불통과),전체,35.3434158558906,34.4294123982857,36.2682625535516,10381
k2016,AUCinf_only,AUC0-inf,소비자 위험(범위 밖 통과),전체,1.61592505854801,1.36943697057825,1.90592177957487,8540
k2016,AUCinf_only,AUC0-inf,소비자 위험(범위 밖 통과),경계 근처,5.11478050745067,4.31550529934893,6.05272536956421,2483
k2016,AUCinf_only,AUC0-inf,생산자 위험(범위 안 불통과),전체,31.7801047120419,30.9338416960771,32.6385784651697,11460
k2016,AUCinf_only,AUC0-inf,생산자 위험(범위 안 불통과),경계 근처,74.2309084328628,72.5672559018536,75.8272769952615,2763
k2016,AUCinf_only,AUC0-inf·Cmax 모두,소비자 위험(범위 밖 통과),전체,6.36240773469176,5.89183989939559,6.86781600967277,9619
k2016,AUCinf_only,AUC0-inf·Cmax 모두,생산자 위험(범위 안 불통과),전체,29.2553703882092,28.3880312590655,30.1380568176888,10381
k2020,P2,AUC0-inf,소비자 위험(범위 밖 통과),전체,0.177304964539007,0.107482124396577,0.292353564697361,8460
