pk_model,scenario,analysis_model,n_before,n_pass,pass_pct,lo,hi,triggers,selected,n_after,rule
k2016,F_down_080,M0,10000,371,3.71,3.35697349886415,4.09857707029309,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2016,F_down_080,M1,10000,403,4.03,3.66187206390807,4.43343274629193,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2016,F_up_125,M0,10000,324,3.24,2.91052689302443,3.60538463460124,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2016,F_up_125,M1,10000,360,3.6,3.25233119259569,3.9833038562031,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2016,V2_up_080,M0,10000,397,3.97,3.60465114473627,4.37069974526822,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2016,V2_up_080,M1,10000,433,4.33,3.94831383323837,4.74676057793923,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2016,Vmax_down_125,M0,10000,267,2.67,2.37175657034417,3.00459271542408,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2016,Vmax_down_125,M1,10000,293,2.93,2.61710405911661,3.27904554749888,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2016,Vmax_up_080,M0,10000,225,2.25,1.97714552453257,2.55952631986704,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2016,Vmax_up_080,M1,10000,254,2.54,2.24937133385934,2.86707779148528,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2016,ka_down_080,M0,10000,0,0,0,0.0383998370676596,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2016,ka_down_080,M1,10000,0,0,0,0.0383998370676596,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2016,ke_down_125,M0,10000,337,3.37,3.03383376227813,3.74197792577116,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2016,ke_down_125,M1,10000,379,3.79,3.43313215024983,4.1823569791681,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2016,ke_up_080,M0,10000,367,3.67,3.31891143201197,4.05666985701492,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2016,ke_up_080,M1,10000,406,4.06,3.69049121928224,4.46479055101552,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2020,F_down_080,M0,10000,370,3.7,3.34745689092521,4.08810135819944,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2020,F_down_080,M1,10000,410,4.1,3.72865897330322,4.50659207712489,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2020,F_up_125,M0,10000,341,3.41,3.07180293534988,3.78397803282977,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2020,F_up_125,M1,10000,379,3.79,3.43313215024983,4.1823569791681,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2020,V2_up_080,M0,10000,532,5.32,4.89702817745753,5.77728591694613,TRUE,TRUE,20000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2020,V2_up_080,M1,10000,574,5.74,5.30086848721034,6.21312304856195,FALSE,TRUE,20000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2020,Vmax_down_125,M0,10000,272,2.72,2.4188809476051,3.05742993832608,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2020,Vmax_down_125,M1,10000,301,3.01,2.69273820087322,3.36334996600297,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2020,Vmax_up_080,M0,10000,276,2.76,2.4566008678009,3.09967929826063,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2020,Vmax_up_080,M1,10000,296,2.96,2.64545937507927,3.31066719163399,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2020,ka_down_080,M0,10000,0,0,0,0.0383998370676596,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2020,ka_down_080,M1,10000,0,0,0,0.0383998370676596,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2020,ke_down_125,M0,10000,368,3.68,3.32842585465914,4.06714775440034,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2020,ke_down_125,M1,10000,405,4.05,3.68095086278926,4.45433858747592,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2020,ke_up_080,M0,10000,377,3.77,3.41408822781961,4.16141626153315,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
k2020,ke_up_080,M1,10000,410,4.1,3.72865897330322,4.50659207712489,FALSE,FALSE,10000,"D-048 rule applied per analysis model: if the Wilson 95% interval of the P2 boundary type I error at the pre-fixed 10,000 trials includes 5% (lo <= 5 <= hi) under M0 or under M1, the boundary cell is extended to trials 10,001-20,000 (single-cell scenario list, same seeds); all three analysis models are then reported at 20,000 trials, with the 10,000-trial values alongside"
