pk_model,model,endpoint,n_trials,n_not_estimable
k2016,M0,AUCinf_A,10000,0
k2016,M1,AUCinf_A,10000,0
k2016,M2,AUCinf_A,10000,0
k2016,M0,AUCinf_Ai,10000,0
k2016,M1,AUCinf_Ai,10000,0
k2016,M2,AUCinf_Ai,10000,0
k2016,M0,AUCinf_B,10000,0
k2016,M1,AUCinf_B,10000,0
k2016,M2,AUCinf_B,10000,0
k2016,M0,AUCinf_C,10000,0
k2016,M1,AUCinf_C,10000,0
k2016,M2,AUCinf_C,10000,0
k2016,M0,AUCinf_Ci,10000,0
k2016,M1,AUCinf_Ci,10000,0
k2016,M2,AUCinf_Ci,10000,0
k2016,M0,AUCinf_true,10000,0
k2016,M1,AUCinf_true,10000,0
k2016,M2,AUCinf_true,10000,0
k2016,M0,AUClast,10000,0
k2016,M1,AUClast,10000,0
k2016,M2,AUClast,10000,0
k2016,M0,Cmax,10000,0
k2016,M1,Cmax,10000,0
k2016,M2,Cmax,10000,0
k2020,M0,AUCinf_A,20000,0
k2020,M1,AUCinf_A,20000,0
k2020,M2,AUCinf_A,20000,0
k2020,M0,AUCinf_Ai,20000,0
k2020,M1,AUCinf_Ai,20000,0
k2020,M2,AUCinf_Ai,20000,0
k2020,M0,AUCinf_B,20000,0
k2020,M1,AUCinf_B,20000,0
k2020,M2,AUCinf_B,20000,0
k2020,M0,AUCinf_C,20000,0
k2020,M1,AUCinf_C,20000,0
k2020,M2,AUCinf_C,20000,0
k2020,M0,AUCinf_Ci,20000,0
k2020,M1,AUCinf_Ci,20000,0
k2020,M2,AUCinf_Ci,20000,0
k2020,M0,AUCinf_true,20000,0
k2020,M1,AUCinf_true,20000,0
k2020,M2,AUCinf_true,20000,0
k2020,M0,AUClast,20000,0
k2020,M1,AUClast,20000,0
k2020,M2,AUClast,20000,0
k2020,M0,Cmax,20000,0
k2020,M1,Cmax,20000,0
k2020,M2,Cmax,20000,0
