pk_model,scenario,auc_ratio,cmax_ratio,config,analysis_model,n_trials,n_pass,pass_pct,lo,hi,diff_vs_M0_pp,diff_lo,diff_hi
k2016,F097,0.952069739554753,0.965269785236406,AUCinf_true_only,M0,10000,9806,98.06,97.7706372066456,98.3124528699649,,,
k2016,F097,0.952069739554753,0.965269785236406,AUCinf_true_only,M1,10000,9836,98.36,98.0918546363793,98.5910050412089,0.3,0.192804139874998,0.407195860125002
k2016,F097,0.952069739554753,0.965269785236406,AUCinf_true_only,M2,10000,9861,98.61,98.361155048191,98.8215126302118,0.55,0.378343437679891,0.721656562320109
k2016,F097,0.952069739554753,0.965269785236406,AUClast_only,M0,10000,9686,96.86,96.4997877655497,97.1842239071506,,,
k2016,F097,0.952069739554753,0.965269785236406,AUClast_only,M1,10000,9712,97.12,96.7736775890728,97.4301344044746,0.26,0.156408544969813,0.363591455030187
k2016,F097,0.952069739554753,0.965269785236406,AUClast_only,M2,10000,9735,97.35,97.0165502723387,97.6470850819583,0.49,0.297195346275309,0.682804653724691
k2016,F097,0.952069739554753,0.965269785236406,F3A,M0,10000,9476,94.76,94.3058146449389,95.1798098209181,,,
k2016,F097,0.952069739554753,0.965269785236406,F3A,M1,10000,9541,95.41,94.9821126397121,95.8030126282631,0.65,0.461408319166807,0.838591680833193
k2016,F097,0.952069739554753,0.965269785236406,F3A,M2,10000,9574,95.74,95.326300641954,96.1185711870965,0.98,0.725162089785077,1.23483791021492
k2016,F097,0.952069739554753,0.965269785236406,F3B,M0,10000,9663,96.63,96.2580220742288,96.9661662377219,,,
k2016,F097,0.952069739554753,0.965269785236406,F3B,M1,10000,9695,96.95,96.5945214386181,97.2694211143754,0.32,0.205881965734549,0.434118034265451
k2016,F097,0.952069739554753,0.965269785236406,F3B,M2,10000,9726,97.26,96.9214431411579,97.5622613328458,0.63,0.423864184076197,0.836135815923803
k2016,F097,0.952069739554753,0.965269785236406,F3C,M0,10000,9664,96.64,96.2685241675512,96.9756564644321,,,
k2016,F097,0.952069739554753,0.965269785236406,F3C,M1,10000,9697,96.97,96.6155837999841,97.2883433930746,0.33,0.217588949626125,0.442411050373875
k2016,F097,0.952069739554753,0.965269785236406,F3C,M2,10000,9717,97.17,96.8264267801423,97.477346813568,0.53,0.331346871201498,0.728653128798502
k2016,F097,0.952069739554753,0.965269785236406,G2_Ai,M0,10000,9662,96.62,96.2475208110593,96.9566751808588,,,
k2016,F097,0.952069739554753,0.965269785236406,G2_Ai,M1,10000,9720,97.2,96.8580890786951,97.5056614751131,0.58,0.414072214390497,0.745927785609503
k2016,F097,0.952069739554753,0.965269785236406,G2_Ai,M2,10000,9749,97.49,97.1646858855765,97.7788419491766,0.87,0.65506858939795,1.08493141060205
k2016,F097,0.952069739554753,0.965269785236406,G2_Aii,M0,10000,9624,96.24,95.8490551553918,96.595432675288,,,
k2016,F097,0.952069739554753,0.965269785236406,G2_Aii,M1,10000,9677,96.77,96.4051285853702,97.0989522070368,0.53,0.339239440194157,0.720760559805843
k2016,F097,0.952069739554753,0.965269785236406,G2_Aii,M2,10000,9693,96.93,96.5734629131752,97.2504949997532,0.69,0.467790943886252,0.912209056113748
k2016,F097,0.952069739554753,0.965269785236406,G2_B,M0,10000,9805,98.05,97.7599610060085,98.3031367505695,,,
k2016,F097,0.952069739554753,0.965269785236406,G2_B,M1,10000,9820,98.2,97.9203052820268,98.44267727504,0.15,0.0741440815708445,0.225855918429156
k2016,F097,0.952069739554753,0.965269785236406,G2_B,M2,10000,9843,98.43,98.1670935719626,98.6557123458537,0.38,0.228357058136636,0.531642941863364
k2016,F097,0.952069739554753,0.965269785236406,G2_Ci,M0,10000,9708,97.08,96.7314970266826,97.3923456867345,,,
k2016,F097,0.952069739554753,0.965269785236406,G2_Ci,M1,10000,9740,97.4,97.0694284357386,97.6941685187212,0.32,0.20929969673207,0.43070030326793
k2016,F097,0.952069739554753,0.965269785236406,G2_Ci,M2,10000,9756,97.56,97.2388460248391,97.8446280501421,0.48,0.288184524125103,0.671815475874897
k2016,F097,0.952069739554753,0.965269785236406,G2_Cii,M0,10000,9685,96.85,96.4892664565968,97.1747528960708,,,
k2016,F097,0.952069739554753,0.965269785236406,G2_Cii,M1,10000,9719,97.19,96.8475339010603,97.4962243327153,0.34,0.225904187141491,0.454095812858509
k2016,F097,0.952069739554753,0.965269785236406,G2_Cii,M2,10000,9738,97.38,97.0482735901209,97.6753387242738,0.53,0.331346871201498,0.728653128798502
k2016,F097,0.952069739554753,0.965269785236406,P2,M0,10000,9678,96.78,96.415642687966,97.1084304244735,,,
k2016,F097,0.952069739554753,0.965269785236406,P2,M1,10000,9706,97.06,96.7104128947197,97.3734451786323,0.28,0.172783354996415,0.387216645003585
k2016,F097,0.952069739554753,0.965269785236406,P2,M2,10000,9731,97.31,96.9742689496245,97.6093971245421,0.53,0.335253168499622,0.724746831500378
k2016,S00,1,1,AUCinf_true_only,M0,10000,9980,99.8,99.6912649335349,99.8704888287457,,,
k2016,S00,1,1,AUCinf_true_only,M1,10000,9983,99.83,99.7279014584904,99.893829263888,0.03,-0.00394417675578445,0.0639441767557844
k2016,S00,1,1,AUCinf_true_only,M2,10000,9990,99.9,99.8160055612562,99.9456714013503,0.1,0.0380483966148605,0.16195160338514
k2016,S00,1,1,AUClast_only,M0,10000,9958,99.58,99.4328104183776,99.6891123031862,,,
k2016,S00,1,1,AUClast_only,M1,10000,9967,99.67,99.5369359428188,99.7649176590382,0.09,0.0312246070905424,0.148775392909458
k2016,S00,1,1,AUClast_only,M2,10000,9968,99.68,99.5486173072687,99.7732286146208,0.1,0.0123652799001204,0.18763472009988
k2016,S00,1,1,F3A,M0,10000,9907,99.07,98.8621207500376,99.2401936498642,,,
k2016,S00,1,1,F3A,M1,10000,9922,99.22,99.0276767833088,99.3745224170818,0.15,0.0602268070985137,0.239773192901486
k2016,S00,1,1,F3A,M2,10000,9924,99.24,99.0498622668579,99.3923215735978,0.17,0.0574523257006267,0.282547674299373
