pk_model,scenario,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,analysis_model,config,n_trials,n_pass,pass_pct,lo,hi,n_trials_10k,n_pass_10k,pass_pct_10k,lo_10k,hi_10k,class,class_10k
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,AUCinf_true_only,10000,448,4.48,4.09173361905776,4.90322559260863,10000,448,4.48,4.09173361905776,4.90322559260863,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,AUClast_only,10000,380,3.8,3.44265516422164,4.19282628522888,10000,380,3.8,3.44265516422164,4.19282628522888,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,F3A,10000,269,2.69,2.39060287545787,3.02573105037555,10000,269,2.69,2.39060287545787,3.02573105037555,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,F3B,10000,348,3.48,3.13828027939255,3.8574469290152,10000,348,3.48,3.13828027939255,3.8574469290152,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,F3C,10000,351,3.51,3.16678252489739,3.88892164360812,10000,351,3.51,3.16678252489739,3.88892164360812,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,G2_Ai,10000,704,7.04,6.55492362802065,7.55806951198789,10000,704,7.04,6.55492362802065,7.55806951198789,exceeding,exceeding
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,G2_Aii,10000,735,7.35,6.85475025018411,7.8780048108346,10000,735,7.35,6.85475025018411,7.8780048108346,exceeding,exceeding
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,G2_B,10000,645,6.45,5.98507666127297,6.94836959681297,10000,645,6.45,5.98507666127297,6.94836959681297,exceeding,exceeding
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,G2_Ci,10000,413,4.13,3.75729137145592,4.53793663906995,10000,413,4.13,3.75729137145592,4.53793663906995,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,G2_Cii,10000,382,3.82,3.46170328443217,4.21376280508352,10000,382,3.82,3.46170328443217,4.21376280508352,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M0,P2,10000,371,3.71,3.35697349886415,4.09857707029309,10000,371,3.71,3.35697349886415,4.09857707029309,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,AUCinf_true_only,10000,503,5.03,4.61862651196792,5.47591030149073,10000,503,5.03,4.61862651196792,5.47591030149073,nominal,nominal
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,AUClast_only,10000,414,4.14,3.76683674639403,4.54838358416442,10000,414,4.14,3.76683674639403,4.54838358416442,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,F3A,10000,305,3.05,2.73057888562466,3.40547856138188,10000,305,3.05,2.73057888562466,3.40547856138188,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,F3B,10000,383,3.83,3.47122838542385,4.22423002412443,10000,383,3.83,3.47122838542385,4.22423002412443,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,F3C,10000,389,3.89,3.52839340114946,4.28701892859433,10000,389,3.89,3.52839340114946,4.28701892859433,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,G2_Ai,10000,759,7.59,7.08705655803354,8.12551418376725,10000,759,7.59,7.08705655803354,8.12551418376725,exceeding,exceeding
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,G2_Aii,10000,801,8.01,7.4939537171942,8.55829446597522,10000,801,8.01,7.4939537171942,8.55829446597522,exceeding,exceeding
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,G2_B,10000,696,6.96,6.47759390571475,7.47546067403309,10000,696,6.96,6.47759390571475,7.47546067403309,exceeding,exceeding
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,G2_Ci,10000,455,4.55,4.15870570145422,4.97619975044028,10000,455,4.55,4.15870570145422,4.97619975044028,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,G2_Cii,10000,425,4.25,3.87187616540763,4.66325968550928,10000,425,4.25,3.87187616540763,4.66325968550928,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M1,P2,10000,403,4.03,3.66187206390807,4.43343274629193,10000,403,4.03,3.66187206390807,4.43343274629193,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M2,AUCinf_true_only,10000,499,4.99,4.58025646340587,5.43431106992243,10000,499,4.99,4.58025646340587,5.43431106992243,nominal,nominal
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M2,AUClast_only,10000,410,4.1,3.72865897330322,4.50659207712489,10000,410,4.1,3.72865897330322,4.50659207712489,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M2,F3A,10000,312,3.12,2.79683683327012,3.47916685396452,10000,312,3.12,2.79683683327012,3.47916685396452,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M2,F3B,10000,386,3.86,3.49980782081717,4.25562754882887,10000,386,3.86,3.49980782081717,4.25562754882887,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M2,F3C,10000,383,3.83,3.47122838542385,4.22423002412443,10000,383,3.83,3.47122838542385,4.22423002412443,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M2,G2_Ai,10000,750,7.5,6.99992356186964,8.03271629963787,10000,750,7.5,6.99992356186964,8.03271629963787,exceeding,exceeding
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M2,G2_Aii,10000,805,8.05,7.53272882462839,8.59948863867138,10000,805,8.05,7.53272882462839,8.59948863867138,exceeding,exceeding
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M2,G2_B,10000,710,7.1,6.6129332015199,7.62001385868416,10000,710,7.1,6.6129332015199,7.62001385868416,exceeding,exceeding
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M2,G2_Ci,10000,472,4.72,4.32146114873359,5.15331374371488,10000,472,4.72,4.32146114873359,5.15331374371488,nominal,nominal
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M2,G2_Cii,10000,423,4.23,3.8527726567849,4.64237855406684,10000,423,4.23,3.8527726567849,4.64237855406684,conservative,conservative
k2016,F_down_080,F,down,0.8,0.872152535936487,0.79988525403249,0.852080931927538,M2,P2,10000,401,4.01,3.64279583231641,4.41252433781842,10000,401,4.01,3.64279583231641,4.41252433781842,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,AUCinf_true_only,10000,433,4.33,3.94831383323837,4.74676057793923,10000,433,4.33,3.94831383323837,4.74676057793923,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,AUClast_only,10000,334,3.34,3.00536558690763,3.71046914104391,10000,334,3.34,3.00536558690763,3.71046914104391,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,F3A,10000,263,2.63,2.33407796968369,2.96230203595421,10000,263,2.63,2.33407796968369,2.96230203595421,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,F3B,10000,311,3.11,2.78736859331087,3.46864277389118,10000,311,3.11,2.78736859331087,3.46864277389118,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,F3C,10000,314,3.14,2.81577609284945,3.50021223445036,10000,314,3.14,2.81577609284945,3.50021223445036,conservative,conservative
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,G2_Ai,10000,637,6.37,5.90789458974844,6.8656131080768,10000,637,6.37,5.90789458974844,6.8656131080768,exceeding,exceeding
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,G2_Aii,10000,740,7.4,6.90313456019223,7.92958210098942,10000,740,7.4,6.90313456019223,7.92958210098942,exceeding,exceeding
k2016,F_up_125,F,up,1.25,1.15149083830699,1.25010656509896,1.17552651005478,M0,G2_B,10000,532,5.32,4.89702817745753,5.77728591694613,10000,532,5.32,4.89702817745753,5.77728591694613,nominal,nominal
