pk_model,scenario,config,comparison,diff_pp,lo,hi,n_trials,n_gain,n_loss
k2016,F_down_080,AUCinf_true_only,M1 minus M0,0.55,0.40241175731933,0.69758824268067,10000,56,1
k2016,F_down_080,AUClast_only,M1 minus M0,0.34,0.225904187141491,0.454095812858509,10000,34,0
k2016,F_down_080,F3A,M1 minus M0,0.36,0.236235781686976,0.483764218313024,10000,38,2
k2016,F_down_080,F3B,M1 minus M0,0.35,0.234244274695936,0.465755725304064,10000,35,0
k2016,F_down_080,F3C,M1 minus M0,0.38,0.259403452760921,0.500596547239079,10000,38,0
k2016,F_down_080,G2_Ai,M1 minus M0,0.55,0.357257525704512,0.742742474295488,10000,76,21
k2016,F_down_080,G2_Aii,M1 minus M0,0.66,0.449291603924665,0.870708396075335,10000,91,25
k2016,F_down_080,G2_B,M1 minus M0,0.51,0.357240987192548,0.662759012807452,10000,56,5
k2016,F_down_080,G2_Ci,M1 minus M0,0.42,0.293240501301207,0.546759498698793,10000,42,0
k2016,F_down_080,G2_Cii,M1 minus M0,0.43,0.301746776865786,0.558253223134214,10000,43,0
k2016,F_down_080,P2,M1 minus M0,0.32,0.20929969673207,0.43070030326793,10000,32,0
k2016,F_up_125,AUCinf_true_only,M1 minus M0,0.49,0.353132224121513,0.626867775878487,10000,49,0
k2016,F_up_125,AUClast_only,M1 minus M0,0.37,0.250994856045036,0.489005143954964,10000,37,0
k2016,F_up_125,F3A,M1 minus M0,0.32,0.196193572268612,0.443806427731388,10000,36,4
k2016,F_up_125,F3B,M1 minus M0,0.36,0.242608158151276,0.477391841848724,10000,36,0
k2016,F_up_125,F3C,M1 minus M0,0.36,0.242608158151276,0.477391841848724,10000,36,0
k2016,F_up_125,G2_Ai,M1 minus M0,0.34,0.173816794077068,0.506183205922932,10000,53,19
k2016,F_up_125,G2_Aii,M1 minus M0,0.3,0.0800621786143018,0.519937821385698,10000,78,48
k2016,F_up_125,G2_B,M1 minus M0,0.57,0.417322493957902,0.722677506042098,10000,59,2
k2016,F_up_125,G2_Ci,M1 minus M0,0.44,0.307342170444415,0.572657829555585,10000,45,1
k2016,F_up_125,G2_Cii,M1 minus M0,0.42,0.293240501301207,0.546759498698793,10000,42,0
k2016,F_up_125,P2,M1 minus M0,0.36,0.242608158151276,0.477391841848724,10000,36,0
k2016,V2_up_080,AUCinf_true_only,M1 minus M0,0.57,0.42244091471808,0.717559085281921,10000,57,0
k2016,V2_up_080,AUClast_only,M1 minus M0,0.36,0.242608158151276,0.477391841848724,10000,36,0
k2016,V2_up_080,F3A,M1 minus M0,0.4,0.267293525648161,0.532706474351839,10000,43,3
k2016,V2_up_080,F3B,M1 minus M0,0.35,0.234244274695936,0.465755725304064,10000,35,0
k2016,V2_up_080,F3C,M1 minus M0,0.34,0.222585251723461,0.457414748276539,10000,35,1
k2016,V2_up_080,G2_Ai,M1 minus M0,0.29,0.12494008531509,0.45505991468491,10000,50,21
k2016,V2_up_080,G2_Aii,M1 minus M0,0.28,0.116101308773367,0.443898691226633,10000,49,21
k2016,V2_up_080,G2_B,M1 minus M0,0.29,0.174180568910872,0.405819431089128,10000,32,3
k2016,V2_up_080,G2_Ci,M1 minus M0,0.4,0.276282973961146,0.523717026038854,10000,40,0
k2016,V2_up_080,G2_Cii,M1 minus M0,0.32,0.205881965734549,0.434118034265451,10000,33,1
k2016,V2_up_080,P2,M1 minus M0,0.36,0.242608158151276,0.477391841848724,10000,36,0
k2016,Vmax_down_125,AUCinf_true_only,M1 minus M0,0.41,0.284752345572606,0.535247654427394,10000,41,0
