model,scenario,source,n_trials,GMR_mean_AUCinf_reliable,GMR_mean_AUCinf_true,GMR_mean_AUClast,GMR_mean_Cmax,pass_rate_AUCinf_reliable,pass_rate_AUCinf_true,pass_rate_AUClast,pass_rate_Cmax,pass_lo_AUCinf_reliable,pass_lo_AUCinf_true,pass_lo_AUClast,pass_lo_Cmax,pass_hi_AUCinf_reliable,pass_hi_AUCinf_true,pass_hi_AUClast,pass_hi_Cmax,agree,agree_lo,agree_hi,last_pass_inf_fail,last_pass_inf_fail_lo,last_pass_inf_fail_hi,cor_logGMR_last_infrel,joint_last_cmax,joint_last_cmax_lo,joint_last_cmax_hi
k2016,F085,"5,000회 이상",5000,0.784928614080334,0.767193547976117,0.762263942144259,0.825181654898184,2.24,0.38,0.34,16.32,1.86501320177961,0.243413885088568,0.212393679582944,15.3216069452449,2.68831768801224,0.592772855938902,0.543854477600129,17.3701054577741,97.86,97.4206134768852,98.2259020929339,0.12,0.0550083167759156,0.261577629262983,0.798015681602806,0.32,0.197072782190237,0.519206083070639
k2016,F090,"5,000회 이상",5000,0.856029252707132,0.843405312330572,0.840115120564653,0.883818504510878,34.3,28.16,23.32,73.24,32.9966939265365,26.9304306970981,22.1686431582586,71.9953989726739,35.6274119145383,29.423102523862,24.5123214175297,74.4489182409199,80.9,79.7868707851662,81.9656852346293,4.06,3.54729345989626,4.64324299481559,0.805349699009308,22.98,21.8348955445035,24.1665910686074
k2016,F097,"5,000회 이상",5000,0.956617007762522,0.953046300823498,0.952236670058543,0.966001733214349,96.32,98.06,96.86,99.72,95.7615803139543,97.6391691574641,96.3394810180527,99.5305274261626,96.8072997778556,98.4070393315771,97.3085699556565,99.8331322924209,96.34,95.7829261911352,96.8259231925969,2.1,1.73779411325143,2.53575173308504,0.820673544582708,96.82,96.2965545369848,97.2715578528801
k2016,F110,"5,000회 이상",20000,1.15124900808504,1.16503147777823,1.16886023104217,1.11876084830744,49.205,44.48,38.4,83.685,48.5123548684509,43.7924092940941,37.7282433967477,83.1664446892978,49.8979504688783,45.1697107839653,39.076211839754,84.1906178416024,79.985,79.4247477629203,80.5337358347951,4.605,4.32313826754724,4.9042966859865,0.836970119731556,37.86,37.1901755484462,38.5344870869961
k2016,KE110,"5,000회 이상",5000,0.951460185553031,0.950246254696442,0.949241491780672,0.983007311516432,95.72,97.86,96.46,99.96,95.1229884636575,97.4206134768852,95.9110898174771,99.8542613498577,96.2468128704865,98.2259020929339,96.9375753177882,99.9890298717922,96.02,95.4418694243293,96.5274712886477,2.36,1.97438914987378,2.81875749145126,0.822199194778803,96.46,95.9110898174771,96.9375753177882
k2016,KE120,"5,000회 이상",5000,0.906750525162602,0.904609074222584,0.902447711505497,0.965605961906369,76.46,82.32,76.64,99.7,75.2640271722243,81.2378598426599,75.4470114086344,99.5055834044251,77.6153460408433,83.3525159036116,77.792085431733,99.8181070222362,85.58,84.5789608063307,86.5264095232591,7.3,6.61126429744546,8.05429744866242,0.822409980412691,76.64,75.4470114086344,77.792085431733
k2016,S00,"5,000회 이상",20000,1.00123556246446,1.00120398300937,1.00135369789729,1.00117199981782,99.31,99.775,99.54,99.965,99.185427586963,99.699090398009,99.4362340548166,99.927765154673,99.4156338171839,99.8317924126058,99.6247390127445,99.9830446822405,99.18,99.0452279883063,99.2958833452153,0.525,0.433906591874349,0.635095375877203,0.824721818560769,99.515,99.4087494525631,99.6022332168009
k2016,VM125,"5,000회 이상",5000,0.893991195308522,0.865915949614798,0.857852170795752,0.958205040055473,64.44,48.04,36.6,99.18,63.1025277671097,46.6571969543906,35.2755542260273,98.8895373930081,65.7553010007171,49.4258124372341,37.9450201861002,99.3949514436761,68.56,67.2592815412431,69.8322213625564,1.8,1.46677595880245,2.20723050870105,0.783417968053589,36.6,35.2755542260273,37.9450201861002
k2016,VM150,"5,000회 이상",20000,0.807964709852984,0.757501318389217,0.742552144543257,0.916116138329593,6.495,0.23,0.075,89.73,6.16174631624772,0.172490362609337,0.0454580190853952,89.3016274449124,6.84496274099395,0.306624906415318,0.123716781116652,90.1431133700695,93.57,93.2216190490099,93.9016469290611,0.005,0.000882628227297485,0.028319057022604,0.7395454424114,0.075,0.0454580190853952,0.123716781116652
k2016,KA075,500회,500,0.96831387096528,0.949235520841511,0.94944735264748,0.877545840621131,97,95.8,94.8,64.2,95.1096333164054,93.664841424567,92.4898856062154,59.9042290710208,98.1736786802087,97.2367689891548,96.4269734884295,68.2792396598711,96.2,94.1415227469356,97.553988194417,0.8,0.311531518006224,2.03870358341052,0.824147171483363,64,59.7006617075836,68.085856759493
k2016,KM05,500회,500,1.00145763852362,0.999435787114927,1.00011810081145,0.9997271580258,99,100,100,100,97.6806900244269,99.2375659538448,99.2375659538448,99.2375659538448,99.572124610341,100,100,100,99,97.6806900244269,99.572124610341,1,0.42787538965905,2.31930997557307,0.841895945742148,100,99.2375659538448,100
k2016,KM10,500회,500,0.986425506991741,1.00601494802732,1.0096391777656,1.00120418432201,99.2,100,99.6,100,97.9612964165895,99.2375659538448,98.5534284784823,99.2375659538448,99.6884684819938,100,99.8902369477317,100,98.8,97.4069638883553,99.4489004825972,0.8,0.311531518006224,2.03870358341052,0.855105464321241,99.6,98.5534284784823,99.8902369477317
k2016,KM2,500회,500,0.999852300011622,1.00052960339317,1.00154751147297,0.999995779278206,99,100,100,100,97.6806900244269,99.2375659538448,99.2375659538448,99.2375659538448,99.572124610341,100,100,100,99,97.6806900244269,99.572124610341,1,0.42787538965905,2.31930997557307,0.845408349281379,100,99.2375659538448,100
k2016,KM5,500회,500,0.994779293321956,1.00263210696013,1.00450180079873,1.00047566890587,99,100,99.8,100,97.6806900244269,99.2375659538448,98.8759293294853,99.2375659538448,99.572124610341,100,99.9646863605441,100,98.8,97.4069638883553,99.4489004825972,1,0.42787538965905,2.31930997557307,0.851612557473352,99.8,98.8759293294853,99.9646863605441
k2016,VM080,500회,500,1.10674712552732,1.13529708384911,1.14340819754534,1.03507550376047,77.2,66.4,57.4,99.6,73.3234127903916,62.148722415566,53.0254175978442,98.5534284784823,80.6618230884999,70.4011992172951,61.6617421633248,99.8902369477317,78.2,74.3733598415673,81.5966273564012,1,0.42787538965905,2.31930997557307,0.865386775452221,57.4,53.0254175978442,61.6617421633248
k2020,F085,500회,500,0.787592504676371,0.767826266118908,0.763587194171921,0.825569876056134,3,0.6,0.4,15.6,1.82632131979134,0.204259627196024,0.109763052268279,12.6830791403845,4.89036668359457,1.74902521040534,1.4465715215177,19.0414754833703,97.4,95.6028509165776,98.4743616076673,0,4.33680868994202e-17,0.762434046155224,0.832788671348642,0.4,0.109763052268279,1.4465715215177
k2020,F090,500회,500,0.858047705201394,0.843770598013933,0.841035482436198,0.883571183540216,35.4,25.8,22.4,74.6,31.3342305196902,22.1596200222813,18.9638971259908,70.6069079408103,39.6884002217872,29.8093980560578,26.2569664674869,78.2179745084814,82.2,78.6054811450096,85.3035113292665,2.4,1.3781314655497,4.14770574639008,0.847758190839089,22,18.5900932571624,25.8368698086846
