variant,schedule,lambda_fail,rsq,extrap,span,n,pct
base,B0,FALSE,FALSE,FALSE,FALSE,16147,80.735
base,B0,FALSE,TRUE,FALSE,FALSE,1911,9.555
base,B0,FALSE,FALSE,FALSE,TRUE,1166,5.83
base,B0,TRUE,FALSE,FALSE,FALSE,292,1.46
base,B0,FALSE,TRUE,FALSE,TRUE,268,1.34
base,B0,FALSE,FALSE,TRUE,TRUE,121,0.605
base,B0,FALSE,TRUE,TRUE,TRUE,95,0.475
base,Bminus,FALSE,FALSE,FALSE,FALSE,15784,78.92
base,Bminus,FALSE,TRUE,FALSE,FALSE,1803,9.015
base,Bminus,FALSE,FALSE,FALSE,TRUE,1520,7.6
base,Bminus,FALSE,TRUE,FALSE,TRUE,321,1.605
base,Bminus,TRUE,FALSE,FALSE,FALSE,294,1.47
base,Bminus,FALSE,FALSE,TRUE,TRUE,163,0.815
base,Bminus,FALSE,TRUE,TRUE,TRUE,114,0.57
base,Bminus,FALSE,TRUE,TRUE,FALSE,1,0.005
base,D1,FALSE,FALSE,FALSE,FALSE,16028,80.14
base,D1,FALSE,TRUE,FALSE,FALSE,1931,9.655
base,D1,FALSE,FALSE,FALSE,TRUE,1360,6.8
base,D1,TRUE,FALSE,FALSE,FALSE,284,1.42
base,D1,FALSE,TRUE,FALSE,TRUE,198,0.99
base,D1,FALSE,FALSE,TRUE,TRUE,110,0.55
base,D1,FALSE,TRUE,TRUE,TRUE,89,0.445
base,D2,FALSE,FALSE,FALSE,FALSE,16093,80.465
base,D2,FALSE,TRUE,FALSE,FALSE,1955,9.775
base,D2,FALSE,FALSE,FALSE,TRUE,1265,6.325
base,D2,TRUE,FALSE,FALSE,FALSE,284,1.42
base,D2,FALSE,TRUE,FALSE,TRUE,202,1.01
base,D2,FALSE,FALSE,TRUE,TRUE,113,0.565
base,D2,FALSE,TRUE,TRUE,TRUE,88,0.44
base,D3,FALSE,FALSE,FALSE,FALSE,16485,82.425
base,D3,FALSE,TRUE,FALSE,FALSE,1704,8.52
base,D3,FALSE,FALSE,FALSE,TRUE,1379,6.895
base,D3,TRUE,FALSE,FALSE,FALSE,189,0.945
base,D3,FALSE,TRUE,FALSE,TRUE,113,0.565
base,D3,FALSE,FALSE,TRUE,TRUE,71,0.355
base,D3,FALSE,TRUE,TRUE,TRUE,59,0.295
base,D4,FALSE,FALSE,FALSE,FALSE,15981,79.905
base,D4,FALSE,TRUE,FALSE,FALSE,2050,10.25
base,D4,FALSE,FALSE,FALSE,TRUE,1280,6.4
base,D4,TRUE,FALSE,FALSE,FALSE,286,1.43
base,D4,FALSE,TRUE,FALSE,TRUE,203,1.015
base,D4,FALSE,FALSE,TRUE,TRUE,112,0.56
base,D4,FALSE,TRUE,TRUE,TRUE,88,0.44
struct2020,B0,FALSE,FALSE,FALSE,FALSE,16783,83.915
struct2020,B0,FALSE,FALSE,FALSE,TRUE,1584,7.92
struct2020,B0,FALSE,TRUE,FALSE,FALSE,1249,6.245
struct2020,B0,TRUE,FALSE,FALSE,FALSE,123,0.615
struct2020,B0,FALSE,FALSE,TRUE,TRUE,118,0.59
struct2020,B0,FALSE,TRUE,FALSE,TRUE,101,0.505
struct2020,B0,FALSE,TRUE,TRUE,TRUE,41,0.205
struct2020,B0,FALSE,FALSE,TRUE,FALSE,1,0.005
struct2020,Bminus,FALSE,FALSE,FALSE,FALSE,16147,80.735
struct2020,Bminus,FALSE,FALSE,FALSE,TRUE,2372,11.86
struct2020,Bminus,FALSE,TRUE,FALSE,FALSE,1019,5.095
struct2020,Bminus,FALSE,FALSE,TRUE,TRUE,156,0.78
struct2020,Bminus,FALSE,TRUE,FALSE,TRUE,129,0.645
struct2020,Bminus,TRUE,FALSE,FALSE,FALSE,126,0.63
struct2020,Bminus,FALSE,TRUE,TRUE,TRUE,49,0.245
struct2020,Bminus,FALSE,FALSE,TRUE,FALSE,2,0.01
struct2020,D1,FALSE,FALSE,FALSE,FALSE,16161,80.805
struct2020,D1,FALSE,FALSE,FALSE,TRUE,2154,10.77
struct2020,D1,FALSE,TRUE,FALSE,FALSE,1329,6.645
struct2020,D1,TRUE,FALSE,FALSE,FALSE,120,0.6
struct2020,D1,FALSE,FALSE,TRUE,TRUE,115,0.575
struct2020,D1,FALSE,TRUE,FALSE,TRUE,81,0.405
struct2020,D1,FALSE,TRUE,TRUE,TRUE,39,0.195
struct2020,D1,FALSE,FALSE,TRUE,FALSE,1,0.005
struct2020,D2,FALSE,FALSE,FALSE,FALSE,16325,81.625
struct2020,D2,FALSE,FALSE,FALSE,TRUE,1923,9.615
struct2020,D2,FALSE,TRUE,FALSE,FALSE,1396,6.98
struct2020,D2,TRUE,FALSE,FALSE,FALSE,120,0.6
struct2020,D2,FALSE,FALSE,TRUE,TRUE,116,0.58
struct2020,D2,FALSE,TRUE,FALSE,TRUE,80,0.4
struct2020,D2,FALSE,TRUE,TRUE,TRUE,39,0.195
struct2020,D2,FALSE,FALSE,TRUE,FALSE,1,0.005
struct2020,D3,FALSE,FALSE,FALSE,FALSE,16396,81.98
struct2020,D3,FALSE,FALSE,FALSE,TRUE,2218,11.09
struct2020,D3,FALSE,TRUE,FALSE,FALSE,1165,5.825
struct2020,D3,FALSE,FALSE,TRUE,TRUE,84,0.42
struct2020,D3,TRUE,FALSE,FALSE,FALSE,67,0.335
struct2020,D3,FALSE,TRUE,FALSE,TRUE,44,0.22
struct2020,D3,FALSE,TRUE,TRUE,TRUE,25,0.125
struct2020,D3,FALSE,FALSE,TRUE,FALSE,1,0.005
struct2020,D4,FALSE,FALSE,FALSE,FALSE,16083,80.415
struct2020,D4,FALSE,FALSE,FALSE,TRUE,2081,10.405
struct2020,D4,FALSE,TRUE,FALSE,FALSE,1479,7.395
struct2020,D4,TRUE,FALSE,FALSE,FALSE,120,0.6
struct2020,D4,FALSE,FALSE,TRUE,TRUE,116,0.58
struct2020,D4,FALSE,TRUE,FALSE,TRUE,81,0.405
struct2020,D4,FALSE,TRUE,TRUE,TRUE,39,0.195
struct2020,D4,FALSE,FALSE,TRUE,FALSE,1,0.005
vmax080_both,B0,FALSE,FALSE,FALSE,FALSE,16965,84.825
vmax080_both,B0,FALSE,TRUE,FALSE,FALSE,1600,8
vmax080_both,B0,FALSE,FALSE,FALSE,TRUE,1161,5.805
vmax080_both,B0,FALSE,TRUE,FALSE,TRUE,134,0.67
vmax080_both,B0,TRUE,FALSE,FALSE,FALSE,54,0.27
vmax080_both,B0,FALSE,FALSE,TRUE,TRUE,48,0.24
vmax080_both,B0,FALSE,TRUE,TRUE,TRUE,37,0.185
vmax080_both,B0,FALSE,TRUE,TRUE,FALSE,1,0.005
vmax080_both,Bminus,FALSE,FALSE,FALSE,FALSE,16290,81.45
vmax080_both,Bminus,FALSE,FALSE,FALSE,TRUE,1815,9.075
vmax080_both,Bminus,FALSE,TRUE,FALSE,FALSE,1392,6.96
vmax080_both,Bminus,FALSE,TRUE,FALSE,TRUE,234,1.17
vmax080_both,Bminus,FALSE,FALSE,TRUE,TRUE,123,0.615
vmax080_both,Bminus,FALSE,TRUE,TRUE,TRUE,79,0.395
vmax080_both,Bminus,TRUE,FALSE,FALSE,FALSE,58,0.29
vmax080_both,Bminus,FALSE,TRUE,TRUE,FALSE,5,0.025
vmax080_both,Bminus,FALSE,FALSE,TRUE,FALSE,4,0.02
vmax080_both,D1,FALSE,FALSE,FALSE,FALSE,16753,83.765
vmax080_both,D1,FALSE,FALSE,FALSE,TRUE,1684,8.42
vmax080_both,D1,FALSE,TRUE,FALSE,FALSE,1338,6.69
vmax080_both,D1,FALSE,TRUE,FALSE,TRUE,95,0.475
vmax080_both,D1,TRUE,FALSE,FALSE,FALSE,52,0.26
vmax080_both,D1,FALSE,FALSE,TRUE,TRUE,42,0.21
vmax080_both,D1,FALSE,TRUE,TRUE,TRUE,34,0.17
vmax080_both,D1,FALSE,FALSE,TRUE,FALSE,2,0.01
vmax080_both,D2,FALSE,FALSE,FALSE,FALSE,16816,84.08
vmax080_both,D2,FALSE,FALSE,FALSE,TRUE,1579,7.895
vmax080_both,D2,FALSE,TRUE,FALSE,FALSE,1396,6.98
vmax080_both,D2,FALSE,TRUE,FALSE,TRUE,88,0.44
vmax080_both,D2,TRUE,FALSE,FALSE,FALSE,52,0.26
vmax080_both,D2,FALSE,FALSE,TRUE,TRUE,37,0.185
vmax080_both,D2,FALSE,TRUE,TRUE,TRUE,32,0.16
vmax080_both,D3,FALSE,FALSE,FALSE,FALSE,16789,83.945
vmax080_both,D3,FALSE,FALSE,FALSE,TRUE,1853,9.265
vmax080_both,D3,FALSE,TRUE,FALSE,FALSE,1235,6.175
vmax080_both,D3,FALSE,TRUE,FALSE,TRUE,59,0.295
vmax080_both,D3,TRUE,FALSE,FALSE,FALSE,22,0.11
vmax080_both,D3,FALSE,TRUE,TRUE,TRUE,22,0.11
vmax080_both,D3,FALSE,FALSE,TRUE,TRUE,20,0.1
vmax080_both,D4,FALSE,FALSE,FALSE,FALSE,16646,83.23
vmax080_both,D4,FALSE,FALSE,FALSE,TRUE,1639,8.195
vmax080_both,D4,FALSE,TRUE,FALSE,FALSE,1500,7.5
vmax080_both,D4,FALSE,TRUE,FALSE,TRUE,93,0.465
vmax080_both,D4,TRUE,FALSE,FALSE,FALSE,52,0.26
vmax080_both,D4,FALSE,FALSE,TRUE,TRUE,35,0.175
vmax080_both,D4,FALSE,TRUE,TRUE,TRUE,34,0.17
vmax080_both,D4,FALSE,FALSE,TRUE,FALSE,1,0.005
vmax125_both,B0,FALSE,FALSE,FALSE,FALSE,14461,72.305
vmax125_both,B0,FALSE,TRUE,FALSE,FALSE,2196,10.98
vmax125_both,B0,FALSE,FALSE,FALSE,TRUE,1421,7.105
vmax125_both,B0,TRUE,FALSE,FALSE,FALSE,812,4.06
vmax125_both,B0,FALSE,TRUE,FALSE,TRUE,500,2.5
vmax125_both,B0,FALSE,FALSE,TRUE,TRUE,305,1.525
vmax125_both,B0,FALSE,TRUE,TRUE,TRUE,305,1.525
vmax125_both,Bminus,FALSE,FALSE,FALSE,FALSE,14333,71.665
vmax125_both,Bminus,FALSE,TRUE,FALSE,FALSE,2154,10.77
vmax125_both,Bminus,FALSE,FALSE,FALSE,TRUE,1537,7.685
vmax125_both,Bminus,TRUE,FALSE,FALSE,FALSE,813,4.065
vmax125_both,Bminus,FALSE,TRUE,FALSE,TRUE,527,2.635
vmax125_both,Bminus,FALSE,FALSE,TRUE,TRUE,323,1.615
vmax125_both,Bminus,FALSE,TRUE,TRUE,TRUE,312,1.56
vmax125_both,Bminus,FALSE,FALSE,TRUE,FALSE,1,0.005
vmax125_both,D1,FALSE,FALSE,FALSE,FALSE,14428,72.14
vmax125_both,D1,FALSE,TRUE,FALSE,FALSE,2301,11.505
vmax125_both,D1,FALSE,FALSE,FALSE,TRUE,1416,7.08
vmax125_both,D1,TRUE,FALSE,FALSE,FALSE,799,3.995
vmax125_both,D1,FALSE,TRUE,FALSE,TRUE,457,2.285
vmax125_both,D1,FALSE,TRUE,TRUE,TRUE,303,1.515
vmax125_both,D1,FALSE,FALSE,TRUE,TRUE,296,1.48
vmax125_both,D2,FALSE,FALSE,FALSE,FALSE,14458,72.29
vmax125_both,D2,FALSE,TRUE,FALSE,FALSE,2308,11.54
vmax125_both,D2,FALSE,FALSE,FALSE,TRUE,1381,6.905
vmax125_both,D2,TRUE,FALSE,FALSE,FALSE,799,3.995
vmax125_both,D2,FALSE,TRUE,FALSE,TRUE,455,2.275
vmax125_both,D2,FALSE,TRUE,TRUE,TRUE,303,1.515
vmax125_both,D2,FALSE,FALSE,TRUE,TRUE,296,1.48
vmax125_both,D3,FALSE,FALSE,FALSE,FALSE,15050,75.25
vmax125_both,D3,FALSE,TRUE,FALSE,FALSE,2174,10.87
vmax125_both,D3,FALSE,FALSE,FALSE,TRUE,1333,6.665
vmax125_both,D3,TRUE,FALSE,FALSE,FALSE,645,3.225
vmax125_both,D3,FALSE,TRUE,FALSE,TRUE,309,1.545
vmax125_both,D3,FALSE,TRUE,TRUE,TRUE,252,1.26
vmax125_both,D3,FALSE,FALSE,TRUE,TRUE,237,1.185
vmax125_both,D4,FALSE,FALSE,FALSE,FALSE,14400,72
vmax125_both,D4,FALSE,TRUE,FALSE,FALSE,2363,11.815
vmax125_both,D4,FALSE,FALSE,FALSE,TRUE,1379,6.895
vmax125_both,D4,TRUE,FALSE,FALSE,FALSE,801,4.005
vmax125_both,D4,FALSE,TRUE,FALSE,TRUE,457,2.285
vmax125_both,D4,FALSE,TRUE,TRUE,TRUE,303,1.515
vmax125_both,D4,FALSE,FALSE,TRUE,TRUE,297,1.485
iiv150,B0,FALSE,FALSE,FALSE,FALSE,15633,78.165
iiv150,B0,FALSE,TRUE,FALSE,FALSE,1903,9.515
iiv150,B0,FALSE,FALSE,FALSE,TRUE,1322,6.61
iiv150,B0,TRUE,FALSE,FALSE,FALSE,438,2.19
iiv150,B0,FALSE,TRUE,FALSE,TRUE,331,1.655
iiv150,B0,FALSE,TRUE,TRUE,TRUE,193,0.965
iiv150,B0,FALSE,FALSE,TRUE,TRUE,180,0.9
iiv150,Bminus,FALSE,FALSE,FALSE,FALSE,15185,75.925
iiv150,Bminus,FALSE,FALSE,FALSE,TRUE,1757,8.785
iiv150,Bminus,FALSE,TRUE,FALSE,FALSE,1747,8.735
iiv150,Bminus,TRUE,FALSE,FALSE,FALSE,447,2.235
iiv150,Bminus,FALSE,TRUE,FALSE,TRUE,400,2
iiv150,Bminus,FALSE,FALSE,TRUE,TRUE,233,1.165
iiv150,Bminus,FALSE,TRUE,TRUE,TRUE,230,1.15
iiv150,Bminus,FALSE,TRUE,TRUE,FALSE,1,0.005
iiv150,D1,FALSE,FALSE,FALSE,FALSE,15590,77.95
iiv150,D1,FALSE,TRUE,FALSE,FALSE,1779,8.895
iiv150,D1,FALSE,FALSE,FALSE,TRUE,1582,7.91
iiv150,D1,TRUE,FALSE,FALSE,FALSE,427,2.135
iiv150,D1,FALSE,TRUE,FALSE,TRUE,274,1.37
iiv150,D1,FALSE,TRUE,TRUE,TRUE,177,0.885
iiv150,D1,FALSE,FALSE,TRUE,TRUE,170,0.85
iiv150,D1,FALSE,TRUE,TRUE,FALSE,1,0.005
iiv150,D2,FALSE,FALSE,FALSE,FALSE,15653,78.265
iiv150,D2,FALSE,TRUE,FALSE,FALSE,1842,9.21
iiv150,D2,FALSE,FALSE,FALSE,TRUE,1456,7.28
