variant,model_label,model_label_en,schedule,n,n_quant0,lambda_fail_pct,flag_rsq_pct,flag_extrap_pct,flag_span_pct,any_flag_or_fail_pct,excl_reliable_pct,excl_lambda_fail_pct,excl_rsq_pct,excl_extrap_pct,excl_span_pct,excl_rsq_extrap_pct,excl_rsq_span_pct,excl_extrap_span_pct,excl_rsq_extrap_span_pct
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),B0,20000,0,1.46,11.37,1.08,8.25,19.265,80.735,1.46,9.555,0,5.83,0,1.34,0.605,0.475
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),Bminus,20000,0,1.47,11.195,1.39,10.59,21.08,78.92,1.47,9.015,0,7.6,0.005,1.605,0.815,0.57
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D1,20000,0,1.42,11.09,0.995,8.785,19.86,80.14,1.42,9.655,0,6.8,0,0.99,0.55,0.445
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D2,20000,0,1.42,11.225,1.005,8.34,19.535,80.465,1.42,9.775,0,6.325,0,1.01,0.565,0.44
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D3,20000,0,0.945,9.38,0.65,8.11,17.575,82.425,0.945,8.52,0,6.895,0,0.565,0.355,0.295
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D4,20000,0,1.43,11.705,1,8.415,20.095,79.905,1.43,10.25,0,6.4,0,1.015,0.56,0.44
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,B0,20000,0,0.615,6.955,0.8,9.22,16.085,83.915,0.615,6.245,0.005,7.92,0,0.505,0.59,0.205
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,Bminus,20000,0,0.63,5.985,1.035,13.53,19.265,80.735,0.63,5.095,0.01,11.86,0,0.645,0.78,0.245
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D1,20000,0,0.6,7.245,0.775,11.945,19.195,80.805,0.6,6.645,0.005,10.77,0,0.405,0.575,0.195
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D2,20000,0,0.6,7.575,0.78,10.79,18.375,81.625,0.6,6.98,0.005,9.615,0,0.4,0.58,0.195
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D3,20000,0,0.335,6.17,0.55,11.855,18.02,81.98,0.335,5.825,0.005,11.09,0,0.22,0.42,0.125
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D4,20000,0,0.6,7.995,0.78,11.585,19.585,80.415,0.6,7.395,0.005,10.405,0,0.405,0.58,0.195
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),B0,20000,0,0.27,8.86,0.43,6.9,15.175,84.825,0.27,8,0,5.805,0.005,0.67,0.24,0.185
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),Bminus,20000,0,0.29,8.55,1.055,11.255,18.55,81.45,0.29,6.96,0.02,9.075,0.025,1.17,0.615,0.395
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D1,20000,0,0.26,7.335,0.39,9.275,16.235,83.765,0.26,6.69,0.01,8.42,0,0.475,0.21,0.17
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D2,20000,0,0.26,7.58,0.345,8.68,15.92,84.08,0.26,6.98,0,7.895,0,0.44,0.185,0.16
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D3,20000,0,0.11,6.58,0.21,9.77,16.055,83.945,0.11,6.175,0,9.265,0,0.295,0.1,0.11
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D4,20000,0,0.26,8.135,0.35,9.005,16.77,83.23,0.26,7.5,0.005,8.195,0,0.465,0.175,0.17
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),B0,20000,0,4.06,15.005,3.05,12.655,27.695,72.305,4.06,10.98,0,7.105,0,2.5,1.525,1.525
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),Bminus,20000,0,4.065,14.965,3.18,13.495,28.335,71.665,4.065,10.77,0.005,7.685,0,2.635,1.615,1.56
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D1,20000,0,3.995,15.305,2.995,12.36,27.86,72.14,3.995,11.505,0,7.08,0,2.285,1.48,1.515
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D2,20000,0,3.995,15.33,2.995,12.175,27.71,72.29,3.995,11.54,0,6.905,0,2.275,1.48,1.515
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D3,20000,0,3.225,13.675,2.445,10.655,24.75,75.25,3.225,10.87,0,6.665,0,1.545,1.185,1.26
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D4,20000,0,4.005,15.615,3,12.18,28,72,4.005,11.815,0,6.895,0,2.285,1.485,1.515
iiv150,변동: ω² ×1.5,IIV omega2 x1.5,B0,20000,0,2.19,12.135,1.865,10.13,21.835,78.165,2.19,9.515,0,6.61,0,1.655,0.9,0.965
iiv150,변동: ω² ×1.5,IIV omega2 x1.5,Bminus,20000,0,2.235,11.89,2.32,13.1,24.075,75.925,2.235,8.735,0,8.785,0.005,2,1.165,1.15
iiv150,변동: ω² ×1.5,IIV omega2 x1.5,D1,20000,0,2.135,11.155,1.74,11.015,22.05,77.95,2.135,8.895,0,7.91,0.005,1.37,0.85,0.885
iiv150,변동: ω² ×1.5,IIV omega2 x1.5,D2,20000,0,2.135,11.48,1.745,10.385,21.735,78.265,2.135,9.21,0,7.28,0.005,1.365,0.84,0.9
iiv150,변동: ω² ×1.5,IIV omega2 x1.5,D3,20000,0,1.595,9.935,1.28,10.17,20.13,79.87,1.595,8.355,0.01,7.975,0,0.925,0.615,0.655
iiv150,변동: ω² ×1.5,IIV omega2 x1.5,D4,20000,0,2.145,11.71,1.74,10.45,21.985,78.015,2.145,9.38,0,7.29,0.01,1.43,0.84,0.89
resid12,잔차: 비례 12%,Proportional residual 12%,B0,20000,0,0.52,4.815,0.54,7.155,12.14,87.86,0.52,4.465,0,6.385,0,0.23,0.42,0.12
resid12,잔차: 비례 12%,Proportional residual 12%,Bminus,20000,0,0.525,3.86,0.61,10.165,14.185,85.815,0.525,3.495,0,9.315,0,0.24,0.485,0.125
resid12,잔차: 비례 12%,Proportional residual 12%,D1,20000,0,0.51,5.165,0.535,9.715,15.095,84.905,0.51,4.87,0,8.995,0,0.185,0.425,0.11
resid12,잔차: 비례 12%,Proportional residual 12%,D2,20000,0,0.51,5.38,0.535,8.875,14.47,85.53,0.51,5.085,0,8.155,0,0.185,0.425,0.11
resid12,잔차: 비례 12%,Proportional residual 12%,D3,20000,0,0.395,4.585,0.405,10.985,15.795,84.205,0.395,4.415,0,10.48,0,0.1,0.335,0.07
resid12,잔차: 비례 12%,Proportional residual 12%,D4,20000,0,0.51,5.845,0.535,9.415,15.475,84.525,0.51,5.55,0,8.695,0,0.185,0.425,0.11
weight_alt,"체중: 평균 72, SD 10, 절단 50–90","Weight mean 72, SD 10, 50 to 90 kg",B0,20000,0,1.205,11.19,0.845,7.48,18.175,81.825,1.205,9.485,0,5.345,0.005,1.295,0.435,0.405
weight_alt,"체중: 평균 72, SD 10, 절단 50–90","Weight mean 72, SD 10, 50 to 90 kg",Bminus,20000,0,1.225,10.995,1.23,10.43,20.465,79.535,1.225,8.795,0.005,7.57,0.01,1.645,0.67,0.545
weight_alt,"체중: 평균 72, SD 10, 절단 50–90","Weight mean 72, SD 10, 50 to 90 kg",D1,20000,0,1.14,10.785,0.73,8.425,19.01,80.99,1.14,9.44,0,6.695,0.005,1.005,0.39,0.335
