variant,model_label,model_label_en,schedule,n,n_points,lambda_ok_pct,reliable_i_pct,reliable_i_lo,reliable_i_hi,reliable_ii_pct,reliable_ii_lo,reliable_ii_hi,span_only_loss_pct,flag_span_pct
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),B0,20000,13,98.54,86.565,86.0853394518955,87.0306169513215,80.735,80.182544944257,81.2756505993743,5.83,8.25
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),Bminus,20000,12,98.53,86.52,86.0396805582234,86.9862931282387,78.92,78.3491955067856,79.4796971277294,7.59999999999999,10.59
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D1,20000,15,98.58,86.94,86.4658997102084,87.3999126659666,80.14,79.5813338156222,80.6870902509158,6.8,8.785
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D2,20000,16,98.58,86.79,86.3136605905151,87.2522093964768,80.465,79.909702091996,81.0085971511056,6.325,8.34
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D3,20000,17,99.055,89.32,88.8843750483062,89.7405232362417,82.425,81.8913019764741,82.9462444852876,6.895,8.11
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D4,20000,15,98.57,86.305,85.821556681092,86.7744995808743,79.905,79.3439342445552,80.4545800789292,6.39999999999999,8.415
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,B0,20000,13,99.385,91.835,91.4474145002122,92.2065178429735,83.915,83.399323608431,84.4176505858834,7.92,9.22
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,Bminus,20000,12,99.37,92.595,92.2238608623101,92.9497795860704,80.735,80.182544944257,81.2756505993743,11.86,13.53
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D1,20000,15,99.4,91.575,91.1820183339258,91.9520138680091,80.805,80.2532886722439,81.3448799863395,10.77,11.945
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D2,20000,16,99.4,91.24,90.8402259720158,91.6239348940767,81.625,81.082210955248,82.1556427642034,9.61499999999999,10.79
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D3,20000,17,99.665,93.07,92.7096965031469,93.4137615109802,81.98,81.4411968205658,82.5065205532857,11.09,11.855
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D4,20000,15,99.4,90.82,90.4119521318833,91.2123700444963,80.415,79.8591801026295,80.9591383440777,10.405,11.585
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),B0,20000,13,99.73,90.63,90.2182935121851,91.0261016378958,84.825,84.3210827627095,85.3155419259828,5.80500000000001,6.9
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),Bminus,20000,12,99.71,90.525,90.1112933988457,90.9231420788071,81.45,80.9052738474447,81.9826470846264,9.075,11.255
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D1,20000,15,99.74,92.185,91.8048595102412,92.5489384077053,83.765,83.2474419021415,84.2695899029897,8.41999999999999,9.275
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D2,20000,16,99.74,91.975,91.5903670251002,92.3435115479898,84.08,83.566411640049,84.5804991823669,7.895,8.68
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D3,20000,17,99.89,93.21,92.8529791842272,93.5504250598042,83.945,83.4297018294867,84.4472608426643,9.265,9.77
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D4,20000,15,99.74,91.425,91.0289551353224,91.8051346774294,83.23,82.7058558285363,83.741381455175,8.19499999999999,9.005
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),B0,20000,13,95.94,79.41,78.8439766171358,79.9647278220442,72.305,71.6805811277633,72.9208521437739,7.105,12.655
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),Bminus,20000,12,95.935,79.35,78.783384483555,79.9053429999517,71.665,71.0363629109676,72.2853161667214,7.68499999999999,13.495
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D1,20000,15,96.005,79.22,78.6521079677771,79.7766694451041,72.14,71.5144786058433,72.7570180375924,7.08,12.36
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D2,20000,16,96.005,79.195,78.626863490479,79.7519235242051,72.29,71.6654804645404,72.9059585680785,6.90500000000002,12.175
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D3,20000,17,96.775,81.915,81.3754613174095,82.4422810211294,75.25,74.6470886646028,75.8432135145639,6.66500000000001,10.655
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D4,20000,15,95.995,78.895,78.3239548851463,79.4549473511714,72,71.373551341919,72.6179990716124,6.89500000000001,12.18
iiv150,변동: ω² ×1.5,IIV omega2 x1.5,B0,20000,13,97.81,84.775,84.2704209379205,85.2662229543775,78.165,77.5870675190152,78.7321150899444,6.61000000000001,10.13
iiv150,변동: ω² ×1.5,IIV omega2 x1.5,Bminus,20000,12,97.765,84.71,84.2045633556711,85.2021055013141,75.925,75.3275297669415,76.5125131635495,8.785,13.1
iiv150,변동: ω² ×1.5,IIV omega2 x1.5,D1,20000,15,97.865,85.86,85.3702152604909,86.3360119135653,77.95,77.3700893804465,78.5191758040172,7.91,11.015
iiv150,변동: ω² ×1.5,IIV omega2 x1.5,D2,20000,16,97.865,85.545,85.0508247686609,86.0255233881107,78.265,77.6879953050192,78.8311488967292,7.28,10.385
iiv150,변동: ω² ×1.5,IIV omega2 x1.5,D3,20000,17,98.405,87.845,87.3848522077724,88.290612583141,79.87,79.3085794144126,80.4199483515957,7.97500000000001,10.17
iiv150,변동: ω² ×1.5,IIV omega2 x1.5,D4,20000,15,97.855,85.305,84.8075327882364,85.7889075458421,78.015,77.4356850421341,78.5835551776424,7.28999999999999,10.45
resid12,잔차: 비례 12%,Proportional residual 12%,B0,20000,13,99.48,94.245,93.9136586588086,94.5593480705867,87.86,87.400090105529,88.3053689243028,6.38500000000001,7.155
resid12,잔차: 비례 12%,Proportional residual 12%,Bminus,20000,12,99.475,95.13,94.8229340677521,95.4197327578239,85.815,85.324583126693,86.2916613306082,9.31500000000001,10.165
resid12,잔차: 비례 12%,Proportional residual 12%,D1,20000,15,99.49,93.9,93.5598055384133,94.2233336958607,84.905,84.4021455845689,85.3944483783544,8.99499999999999,9.715
resid12,잔차: 비례 12%,Proportional residual 12%,D2,20000,16,99.49,93.685,93.339441960208,94.0137798495701,85.53,85.0356176857985,86.0107362320547,8.155,8.875
resid12,잔차: 비례 12%,Proportional residual 12%,D3,20000,17,99.605,94.685,94.3654270202666,94.9874107173993,84.205,83.6930062857531,84.7038565276488,10.48,10.985
resid12,잔차: 비례 12%,Proportional residual 12%,D4,20000,15,99.49,93.22,92.8632152773757,93.5601851259346,84.525,84.0171396690088,85.0196002413172,8.69500000000001,9.415
weight_alt,"체중: 평균 72, SD 10, 절단 50–90","Weight mean 72, SD 10, 50 to 90 kg",B0,20000,13,98.795,87.17,86.6993726814189,87.6263513581703,81.825,81.2844471624299,82.353329742599,5.345,7.48
weight_alt,"체중: 평균 72, SD 10, 절단 50–90","Weight mean 72, SD 10, 50 to 90 kg",Bminus,20000,12,98.775,87.105,86.6333862732016,87.5623627310749,79.535,78.9702162925839,80.0884401375821,7.57000000000001,10.43
weight_alt,"체중: 평균 72, SD 10, 절단 50–90","Weight mean 72, SD 10, 50 to 90 kg",D1,20000,15,98.86,87.685,87.222328454049,88.1331977884024,80.99,80.440267642368,81.5278299628746,6.69500000000001,8.425
weight_alt,"체중: 평균 72, SD 10, 절단 50–90","Weight mean 72, SD 10, 50 to 90 kg",D2,20000,16,98.86,87.52,87.0547519922881,87.9708376220618,81.295,80.7485732109291,81.8294072523194,6.22499999999999,7.955
weight_alt,"체중: 평균 72, SD 10, 절단 50–90","Weight mean 72, SD 10, 50 to 90 kg",D3,20000,17,99.285,90.27,89.8514987978102,90.6730346182311,83.255,82.7311592978085,83.7660683841,7.015,8.005
