variant,model_label,model_label_en,schedule,n,n_lambda_ok,span_flag_pct_of_lambda_ok,min_3pt_nominal_window_days,lower_median,lower_p05,lower_p95,lower_mean,upper_median,upper_p05,upper_p95,upper_mean,window_median,window_p05,window_p95,window_mean,npts_median,npts_p05,npts_p95,npts_mean,npts3_pct,npts4_pct,npts5_pct,npts6plus_pct,HL_median,HL_p05,HL_p95,HL_mean,span_median,span_p05,span_p95,span_mean,rsq_median,rsq_p05,rsq_p95,rsq_mean
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),B0,20000,19708,8.37223462553278,14,14.0463319373666,6.8326625080721,34.332773292833,16.6298838341715,34.7816931805573,21.0849775237963,49.4823829784524,34.9890307641681,15.0163809077349,11.6614250455867,31.6558375868073,18.3591469299966,3,3,6,3.87659833570124,51.9332250862594,24.0207022528922,13.4260198903998,10.6200527704485,5.33701567403744,2.70434821940822,9.8036841491164,5.74778601093048,3.28805182513995,1.79346924244299,6.07722451641557,3.51403037457031,0.929840166324454,0.735610008405775,0.998754487074265,0.904042712316037
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),Bminus,20000,19706,10.747995534355,14,14.0258145257249,6.82973951820168,28.5442515772302,15.9982487675488,34.7821962872986,21.084843964316,42.8837557776133,34.4697260190199,15.2667154592928,11.6613090662868,31.4628841598169,18.4714772514711,3,3,6,3.8598396427484,51.8623769410332,24.2768699888359,13.6912615447072,10.1694915254237,5.53279997441755,2.79139546138422,10.9441769388117,6.09249863640618,3.18215150462978,1.68389752339481,6.01451388874107,3.40305494531229,0.933167829383855,0.734959788266174,0.998872741117169,0.905606216982218
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D1,20000,19716,8.91154392371678,7,14.142055938195,6.84261871330091,41.4004122295883,19.5388225485764,35.7127307297196,21.0855117617175,49.4591718791053,35.7443350315395,14.3028634752263,6.61087462317664,31.1619635169918,16.2055124829632,3,3,7,4.04093122337188,50.70501115845,22.3371880706026,12.5786163522013,14.3791844187462,4.51973749483484,1.93472185659944,8.6517463873116,4.85394378144007,3.41989972436678,1.75485554800515,6.0029287687036,3.59065919351701,0.92817746103262,0.741102708546274,0.998644623953407,0.904419442106557
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D2,20000,19716,8.46013390139988,7,14.1476867999882,6.84233198271249,42.0056399314199,19.7932601960114,35.7127307297196,21.0855117617175,51.8520831580972,35.842180055451,14.2593075428158,6.51757574093062,30.9994504477363,16.0489198594396,3,3,7,4.04879285859201,50.6999391357273,22.555285047677,12.492391965916,14.2523838506797,4.45333576423754,1.871977874668,8.43797471038654,4.76115410849167,3.44995989040038,1.77870699035462,5.99779873811136,3.61457059038446,0.927150964244071,0.740232636014817,0.99864822682584,0.903584246401914
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D3,20000,19811,8.18737065266771,7,21.4287628969178,6.87836411054013,41.9283356461674,22.2750235755504,35.6567002679221,21.0909096118994,51.8312288045418,36.3241722987318,11.3398711383343,6.04092196375132,28.7151625393308,14.0491487231814,4,3,8,4.2220483569734,48.0944929584574,21.2861541567816,12.5182979152996,18.1010549694614,3.72809396455377,1.61149426608132,7.60626108208864,4.08751805379459,3.4685493304731,1.7902173499482,5.81085684579647,3.59232871411333,0.92949559332875,0.75852808058663,0.998583213849709,0.909712548316802
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D4,20000,19714,8.53708024753982,7,14.116814082081,6.83203248748905,39.9752197066555,19.1484428586038,35.243101085769,21.0853782022372,49.4561699527083,35.7106319436209,14.3910345933982,6.70762665185612,31.6197360963638,16.5621890850171,3,3,7,4.03677589530283,50.6949376077914,22.430759866085,12.6407629096074,14.2335396165162,4.61625046564404,1.98746922709267,8.665359443815,4.93599350114072,3.44057873701726,1.76849797814525,6.02064035045338,3.60716923516817,0.925972070622746,0.736316172200148,0.99864334705833,0.902563115623154
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,B0,20000,19877,9.27705388137043,14,20.1855167448521,6.88210241738707,35.417997492291,18.8783216229481,35.4006988522597,27.0135634136386,55.2034104699269,37.235569665756,14.8962690127082,12.4964378206059,31.837648526812,18.3572480428079,3,3,6,3.83221814157066,55.0887960959904,22.6945716154349,11.827740604719,10.3888916838557,5.77051227598795,2.75188145888468,9.76455691195285,5.96862780364799,3.07381503609787,1.80575893842724,5.83071575685213,3.32872114546377,0.935303397256877,0.78152508234532,0.998540970031355,0.91889390076189
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,Bminus,20000,19874,13.6157794102848,14,20.0447648479603,6.88478005478391,28.8702631171327,17.8865165831171,35.4007600012701,27.013399648713,55.2490528840805,36.4575707322902,15.2535360481124,12.5338464035653,31.5716684124432,18.571054149173,3,3,6,3.80713495018617,54.8505585186676,23.3672134447016,12.0408574016303,9.7413706350005,6.11309107939525,2.92025589056245,11.3204618077397,6.47530863720926,2.90224573793722,1.65022132625218,5.70516424537065,3.16740685561347,0.942832470968582,0.791040838501228,0.998840525217577,0.924888362372517
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D1,20000,19880,12.0171026156942,7,21.1686539168004,6.89873942327104,42.4357740332838,22.9049977323934,37.9243059321307,27.0137271785643,55.1916730910074,38.1058134544195,13.7708905440522,6.36077404881362,30.836303311761,15.2008157220261,3,3,7,3.97449698189135,53.2293762575453,22.5503018108652,11.0010060362173,13.2193158953722,4.54843268606244,1.84495778280591,8.64491231407263,4.83695250405781,3.15137119511732,1.67223768760482,5.72105892873895,3.34301437855669,0.934342362640301,0.778814361557971,0.998522741772335,0.917520166100241
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D2,20000,19880,10.8551307847082,7,21.2204856204335,6.90008433120092,44.204082480818,23.2738752930855,37.9243059321307,27.0137271785643,55.1850374922622,38.2487358042079,13.7163665078115,6.25542654199526,30.6323094902502,14.9748605111224,3,3,7,3.99260563380282,52.9024144869215,22.625754527163,10.9255533199195,13.546277665996,4.39900616058909,1.78006552817367,8.42411998092913,4.70068515619728,3.18458584752871,1.7236147259517,5.71300763889998,3.37644801019333,0.931606298519655,0.776618291385157,0.998394777527843,0.915332185611798
