variant,model_label,model_label_en,schedule,n,added_points,reliable_i_B0_pct,reliable_i_pct,gain_i_pp,gain_i_lo,gain_i_hi,n_i_gained,n_i_lost,reliable_ii_B0_pct,reliable_ii_pct,gain_ii_pp,gain_ii_lo,gain_ii_hi,n_ii_gained,n_ii_lost,span_only_loss_B0_pct,span_only_loss_pct,flag_span_B0_pct,flag_span_pct,flag_span_change_pp,n_reliable_to_span,n_span_to_reliable,crit_c_threshold_pp,crit_c_i,crit_c_ii,d_extrap20_B0,d_extrap20,d_extrap20_ratio,crit_d,decision_c_reliable_gain_pp,decision_match_0.01pp,crit_a,crit_b,recommend_decision,recommend_ii,recommend_i
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),Bminus,20000,-1,86.565,86.52,-0.045,-0.235785883495185,0.145785883495185,185,194,80.735,78.92,-1.815,-2.08022016762496,-1.54977983237504,188,551,5.83,7.6,8.25,10.59,2.34,459,65,5,FALSE,FALSE,1.09600162370611,1.41073784634122,1.2871676609117,FALSE,-1.815,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D1,20000,2,86.565,86.94,0.375,-0.000576380798299669,0.7505763807983,772,697,80.735,80.14,-0.595,-1.0699030925038,-0.120096907496197,1115,1234,5.83,6.8,8.25,8.785,0.534999999999999,623,432,5,FALSE,FALSE,1.09600162370611,1.0093325218097,0.920922469436367,FALSE,-0.595,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D2,20000,3,86.565,86.79,0.225,-0.158444212555927,0.608444212555927,788,743,80.735,80.465,-0.27,-0.745465196242679,0.205465196242679,1150,1204,5.83,6.325,8.25,8.34,0.0899999999999998,552,451,5,FALSE,FALSE,1.09600162370611,1.01947656725502,0.930177971641757,FALSE,-0.27,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D3,20000,4,86.565,89.32,2.755,2.24900717349969,3.26099282650031,1616,1065,80.735,82.425,1.69,1.06939292323727,2.31060707676274,2177,1839,5.83,6.895,8.25,8.11,-0.14,919,829,5,FALSE,FALSE,1.09600162370611,0.656201100398768,0.598722744752728,FALSE,1.69,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D4,20000,2,86.565,86.305,-0.26,-0.616305455433965,0.0963054554339653,635,687,80.735,79.905,-0.83,-1.28150784854379,-0.378492151456208,979,1145,5.83,6.4,8.25,8.415,0.165,552,423,5,FALSE,FALSE,1.09600162370611,1.01450745662981,0.925644118299084,FALSE,-0.83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,Bminus,20000,-1,91.835,92.595,0.76,0.584459853899483,0.935540146100517,237,85,83.915,80.735,-3.18,-3.51604009653189,-2.84395990346812,280,916,7.92000000000001,11.86,9.22,13.53,4.31,900,135,5,FALSE,FALSE,0.804950445238215,1.04156183958941,1.29394529284492,FALSE,-3.18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D1,20000,2,91.835,91.575,-0.26,-0.610599264294157,0.090599264294157,614,666,83.915,80.805,-3.11,-3.64718801801588,-2.57281198198412,1201,1823,7.92000000000001,10.77,9.22,11.945,2.725,1192,616,5,FALSE,FALSE,0.804950445238215,0.779678068410463,0.968603810362173,FALSE,-3.11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D2,20000,3,91.835,91.24,-0.595,-0.954849516727053,-0.235150483272946,615,734,83.915,81.625,-2.29,-2.82403716370328,-1.75596283629672,1261,1719,7.92000000000001,9.61499999999999,9.22,10.79,1.57,1025,677,5,FALSE,FALSE,0.804950445238215,0.784708249496982,0.974852867203219,FALSE,-2.29,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D3,20000,4,91.835,93.07,1.235,0.80358008740933,1.66641991259067,1094,847,83.915,81.98,-1.935,-2.58487891599249,-1.28512108400752,2009,2396,7.92000000000001,11.09,9.22,11.855,2.635,1606,1046,5,FALSE,FALSE,0.804950445238215,0.551848693121959,0.685568529574073,FALSE,-1.935,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D4,20000,2,91.835,90.82,-1.015,-1.3554644038814,-0.674535596118599,503,706,83.915,80.415,-3.5,-4.02368488030016,-2.97631511969984,1090,1790,7.92000000000001,10.405,9.22,11.585,2.365,1148,614,5,FALSE,FALSE,0.804950445238215,0.784708249496982,0.974852867203219,FALSE,-3.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
