variant,model_label,model_label_en,schedule,min3_window_days,n_B0_reliable,n_short,short_pct_of_B0_reliable,span_flag_pct,HL_B0_median,HL_median,npts3_pct,n_lost,lost_in_short_pct
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D1,7,16147,2096,12.9807394562457,20.0381679389313,5.38088609928727,2.49025309719448,100,623,67.4157303370787
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D2,7,16147,2306,14.2812906422246,17.172593235039,5.40410364418615,2.4239581354381,100,552,71.7391304347826
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D3,7,16147,4675,28.9527466402428,16.2566844919786,5.27355017295625,2.45117130019158,100,919,82.6985854189336
base,기본(Kovalenko 2016),Kovalenko 2016 (primary),D4,7,16147,1940,12.01461571809,21.9587628865979,5.81213446421558,2.59842162242676,100,552,77.1739130434783
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D1,7,16783,3319,19.7759637728654,25.7005122024706,5.50425668384418,2.72350982054695,100,1192,71.5604026845638
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D2,7,16783,3697,22.0282428648037,21.8014606437652,5.51607160941415,2.63007338772449,100,1025,78.6341463414634
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D3,7,16783,6391,38.080200202586,21.4051009231732,5.56609593996791,2.64947374269332,100,1606,85.1805728518057
struct2020,구조: Kovalenko 2020 Model 1 (transit),Kovalenko 2020 Model 1,D4,7,16783,3097,18.4531966871239,28.9312237649338,6.05894998088927,2.80458485038797,100,1148,78.0487804878049
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D1,7,16965,3139,18.5027998821102,23.3513857916534,5.64773342148923,2.62289858293031,100,1136,64.5246478873239
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D2,7,16965,3842,22.6466254052461,21.8115564809995,5.7360213375682,2.57085625242869,100,1068,78.4644194756554
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D3,7,16965,5794,34.1526672561155,21.0217466344494,5.57172280165305,2.53814713338338,100,1443,84.4074844074844
vmax080_both,곡률: Vmax ×0.8 (양 군),Vmax x0.8 (both arms),D4,7,16965,2946,17.3651635720601,25.5261371350984,6.04471178425491,2.69236754934989,100,1102,68.2395644283122
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D1,7,14461,819,5.66350874766614,19.1697191697192,5.10792215520175,2.48118176720428,100,249,63.0522088353414
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D2,7,14461,854,5.90553903602794,15.9250585480094,5.04748648580643,2.37609036084955,100,215,63.2558139534884
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D3,7,14461,2555,17.6682110504115,14.3639921722114,5.02591124043849,2.42000110191455,100,479,76.6179540709812
vmax125_both,곡률: Vmax ×1.25 (양 군),Vmax x1.25 (both arms),D4,7,14461,770,5.32466634395962,21.9480519480519,5.6669239849879,2.60800312451552,100,205,82.4390243902439
