variant,schedule,window_B0,npts_B0,window_sched,npts_sched,n,pct_of_lost
base,Bminus,Day 29-50,4,Day 29-43,3,127,27.6688453159041
base,Bminus,Day 36-50,3,Day 29-43,3,103,22.4400871459695
base,Bminus,Day 22-50,5,Day 29-43,3,41,8.93246187363834
base,Bminus,Day 36-50,3,Day 22-43,4,33,7.18954248366013
base,Bminus,Day 22-50,5,Day 22-43,4,28,6.10021786492375
base,D1,Day 36-50,3,Day 43-50,3,61,9.79133226324238
base,D1,Day 29-43,3,Day 36-43,3,50,8.02568218298555
base,D1,Day 29-50,4,Day 43-50,3,45,7.223113964687
base,D1,Day 29-43,3,Day 39-46,3,44,7.06260032102729
base,D1,Day 22-43,4,Day 39-46,3,38,6.09951845906902
base,D2,Day 29-43,3,Day 36-43,3,50,9.05797101449275
base,D2,Day 29-43,3,Day 39-46,3,43,7.78985507246377
base,D2,Day 22-43,4,Day 39-46,3,38,6.88405797101449
base,D2,Day 22-36,3,Day 29-39,3,36,6.52173913043478
base,D2,Day 15-36,4,Day 29-39,3,34,6.15942028985507
base,D3,Day 22-36,3,Day 32-39,3,90,9.79325353645267
base,D3,Day 15-36,4,Day 32-39,3,65,7.07290533188248
base,D3,Day 22-36,3,Day 29-36,3,61,6.63764961915125
base,D3,Day 15-36,4,Day 29-36,3,51,5.54951033732318
base,D3,Day 29-43,3,Day 36-43,3,50,5.44069640914037
base,D4,Day 29-43,3,Day 36-43,3,81,14.6739130434783
base,D4,Day 36-50,3,Day 43-50,3,57,10.3260869565217
base,D4,Day 29-50,4,Day 43-50,3,48,8.69565217391304
base,D4,Day 22-43,4,Day 36-43,3,42,7.60869565217391
base,D4,Day 15-43,5,Day 36-43,3,35,6.34057971014493
struct2020,Bminus,Day 29-50,4,Day 29-43,3,269,29.8888888888889
struct2020,Bminus,Day 36-50,3,Day 29-43,3,234,26
struct2020,Bminus,Day 36-50,3,Day 22-43,4,97,10.7777777777778
struct2020,Bminus,Day 22-50,5,Day 29-43,3,71,7.88888888888889
struct2020,Bminus,Day 22-50,5,Day 22-43,4,57,6.33333333333333
struct2020,D1,Day 36-50,3,Day 43-50,3,154,12.9194630872483
struct2020,D1,Day 29-43,3,Day 36-43,3,101,8.47315436241611
struct2020,D1,Day 29-43,3,Day 39-46,3,101,8.47315436241611
struct2020,D1,Day 29-50,4,Day 43-50,3,90,7.5503355704698
struct2020,D1,Day 22-50,5,Day 43-50,3,84,7.04697986577181
struct2020,D2,Day 29-43,3,Day 36-43,3,101,9.85365853658537
struct2020,D2,Day 29-43,3,Day 39-46,3,101,9.85365853658537
struct2020,D2,Day 22-43,4,Day 39-46,3,67,6.53658536585366
struct2020,D2,Day 22-43,4,Day 36-43,3,58,5.65853658536585
struct2020,D2,Day 22-36,3,Day 29-39,3,54,5.26829268292683
struct2020,D3,Day 22-36,3,Day 32-39,3,175,10.8966376089664
struct2020,D3,Day 22-36,3,Day 29-36,3,138,8.59277708592777
struct2020,D3,Day 29-43,3,Day 39-46,3,101,6.28891656288917
struct2020,D3,Day 15-36,4,Day 32-39,3,93,5.79078455790785
struct2020,D3,Day 29-43,3,Day 36-43,3,88,5.47945205479452
struct2020,D4,Day 29-43,3,Day 36-43,3,155,13.5017421602787
struct2020,D4,Day 36-50,3,Day 43-50,3,141,12.2822299651568
struct2020,D4,Day 22-43,4,Day 36-43,3,114,9.93031358885017
struct2020,D4,Day 29-50,4,Day 43-50,3,84,7.31707317073171
struct2020,D4,Day 22-50,5,Day 43-50,3,80,6.96864111498258
vmax080_both,Bminus,Day 29-50,4,Day 29-43,3,247,25.1783893985729
vmax080_both,Bminus,Day 36-50,3,Day 29-43,3,192,19.5718654434251
vmax080_both,Bminus,Day 36-50,3,Day 22-43,4,104,10.6014271151886
vmax080_both,Bminus,Day 22-50,5,Day 29-43,3,77,7.84913353720693
vmax080_both,Bminus,Day 22-50,5,Day 22-43,4,52,5.30071355759429
vmax080_both,D1,Day 36-50,3,Day 43-50,3,137,12.0598591549296
vmax080_both,D1,Day 29-50,4,Day 43-50,3,85,7.48239436619718
vmax080_both,D1,Day 29-43,3,Day 39-46,3,74,6.51408450704225
vmax080_both,D1,Day 22-50,5,Day 43-50,3,66,5.80985915492958
vmax080_both,D1,Day 22-43,4,Day 39-46,3,56,4.92957746478873
vmax080_both,D2,Day 43-57,3,Day 50-57,3,79,7.39700374531835
vmax080_both,D2,Day 29-43,3,Day 39-46,3,71,6.64794007490637
vmax080_both,D2,Day 22-43,4,Day 39-46,3,56,5.2434456928839
vmax080_both,D2,Day 29-43,3,Day 36-43,3,51,4.77528089887641
vmax080_both,D2,Day 29-57,5,Day 50-57,3,50,4.68164794007491
vmax080_both,D3,Day 22-36,3,Day 32-39,3,88,6.0984060984061
vmax080_both,D3,Day 43-57,3,Day 50-57,3,79,5.47470547470548
vmax080_both,D3,Day 29-43,3,Day 39-46,3,78,5.40540540540541
vmax080_both,D3,Day 15-36,4,Day 32-39,3,66,4.57380457380457
vmax080_both,D3,Day 22-36,3,Day 29-36,3,64,4.43520443520444
vmax080_both,D4,Day 36-50,3,Day 43-50,3,138,12.5226860254083
vmax080_both,D4,Day 29-43,3,Day 36-43,3,104,9.43738656987296
vmax080_both,D4,Day 22-43,4,Day 36-43,3,80,7.25952813067151
vmax080_both,D4,Day 29-50,4,Day 43-50,3,73,6.62431941923775
vmax080_both,D4,Day 22-50,5,Day 43-50,3,70,6.35208711433757
vmax125_both,Bminus,Day 29-50,4,Day 29-43,3,40,26.6666666666667
vmax125_both,Bminus,Day 36-50,3,Day 29-43,3,33,22
vmax125_both,Bminus,Day 36-50,3,Day 22-43,4,14,9.33333333333333
vmax125_both,Bminus,Day 22-50,5,Day 29-43,3,12,8
vmax125_both,Bminus,Day 36-50,3,Day 15-43,5,10,6.66666666666667
vmax125_both,D1,Day 36-50,3,Day 43-50,3,24,9.63855421686747
vmax125_both,D1,Day 22-36,3,Day 29-39,3,23,9.23694779116466
vmax125_both,D1,Day 29-43,3,Day 36-43,3,21,8.43373493975904
vmax125_both,D1,Day 29-43,3,Day 39-46,3,19,7.63052208835341
vmax125_both,D1,Day 15-36,4,Day 29-39,3,19,7.63052208835341
vmax125_both,D2,Day 22-36,3,Day 29-39,3,23,10.6976744186047
vmax125_both,D2,Day 29-43,3,Day 36-43,3,21,9.76744186046512
vmax125_both,D2,Day 29-43,3,Day 39-46,3,19,8.83720930232558
vmax125_both,D2,Day 15-36,4,Day 29-39,3,19,8.83720930232558
vmax125_both,D2,Day 22-43,4,Day 39-46,3,16,7.44186046511628
vmax125_both,D3,Day 22-36,3,Day 29-36,3,66,13.7787056367432
vmax125_both,D3,Day 22-36,3,Day 32-39,3,53,11.0647181628392
vmax125_both,D3,Day 15-29,3,Day 22-32,3,38,7.93319415448852
vmax125_both,D3,Day 15-36,4,Day 32-39,3,29,6.05427974947808
vmax125_both,D3,Day 11-29,4,Day 22-32,3,27,5.63674321503132
vmax125_both,D4,Day 29-43,3,Day 36-43,3,35,17.0731707317073
vmax125_both,D4,Day 36-50,3,Day 43-50,3,26,12.6829268292683
vmax125_both,D4,Day 22-43,4,Day 36-43,3,26,12.6829268292683
vmax125_both,D4,Day 15-43,5,Day 36-43,3,14,6.82926829268293
