trial,scenario,endpoint,GMR,CI_lower,CI_upper,pass,n_R,n_T
1,S00,AUCinf_A,1.108061,1.011985,1.213258,TRUE,92,90
1,S00,AUCinf_B,1.120898,1.031635,1.217885,TRUE,117,113
1,S00,AUCinf_C,1.107832,1.016998,1.206778,TRUE,117,117
1,S00,AUCinf_true,1.117535,1.030019,1.212487,TRUE,117,117
1,S00,AUClast,1.112404,1.020252,1.212878,TRUE,117,117
1,S00,Cmax,1.043889,0.970809,1.122471,TRUE,117,117
1,Vmax_down_125,AUCinf_A,1.343113,1.232253,1.463946,FALSE,92,101
1,Vmax_down_125,AUCinf_B,1.378042,1.269944,1.49534,FALSE,117,117
1,Vmax_down_125,AUCinf_C,1.396215,1.284394,1.517771,FALSE,117,117
1,Vmax_down_125,AUCinf_true,1.394368,1.287633,1.50995,FALSE,117,117
1,Vmax_down_125,AUClast,1.403099,1.290397,1.525644,FALSE,117,117
1,Vmax_down_125,Cmax,1.106155,1.031321,1.186419,TRUE,117,117
2,S00,AUCinf_A,1.045642,0.9569429,1.142562,TRUE,94,95
2,S00,AUCinf_B,1.027728,0.9433174,1.119691,TRUE,116,115
2,S00,AUCinf_C,1.031757,0.9450091,1.126468,TRUE,117,117
2,S00,AUCinf_true,1.030344,0.9480526,1.119778,TRUE,117,117
2,S00,AUClast,1.028289,0.9412059,1.123429,TRUE,117,117
2,S00,Cmax,1.073823,0.9953619,1.158469,TRUE,117,117
2,Vmax_down_125,AUCinf_A,1.212646,1.109645,1.325208,FALSE,94,103
2,Vmax_down_125,AUCinf_B,1.268294,1.165267,1.38043,FALSE,116,117
2,Vmax_down_125,AUCinf_C,1.298249,1.19219,1.413743,FALSE,117,117
2,Vmax_down_125,AUCinf_true,1.288039,1.186989,1.397691,FALSE,117,117
2,Vmax_down_125,AUClast,1.298911,1.192136,1.41525,FALSE,117,117
2,Vmax_down_125,Cmax,1.137335,1.056367,1.224508,TRUE,117,117
3,S00,AUCinf_A,0.9807115,0.9007514,1.06777,TRUE,103,95
3,S00,AUCinf_B,1.009532,0.9332713,1.092024,TRUE,116,116
3,S00,AUCinf_C,1.00413,0.9259547,1.088904,TRUE,117,117
