input_model,cmax_cv_rule,cmax_gmr_rule,cv,gmr,analysis_model,target_pct,n_evaluable_per_arm,n_randomized_per_arm
k2016,fixed,equal,35,0.9,M0,85,137,153
k2016,fixed,equal,35,0.9,M0,90,160,178
k2016,fixed,equal,35,0.9,M1,85,132,147
k2016,fixed,equal,35,0.9,M1,90,154,172
k2016,fixed,equal,35,0.95,M0,85,65,73
k2016,fixed,equal,35,0.95,M0,90,76,85
k2016,fixed,equal,35,0.95,M1,85,63,70
k2016,fixed,equal,35,0.95,M1,90,73,82
k2016,fixed,equal,35,1,M0,85,49,55
k2016,fixed,equal,35,1,M0,90,55,62
k2016,fixed,equal,35,1,M1,85,48,54
k2016,fixed,equal,35,1,M1,90,54,60
k2016,fixed,equal,40,0.9,M0,85,161,179
k2016,fixed,equal,40,0.9,M0,90,188,209
k2016,fixed,equal,40,0.9,M1,85,156,174
k2016,fixed,equal,40,0.9,M1,90,183,204
k2016,fixed,equal,40,0.95,M0,85,77,86
k2016,fixed,equal,40,0.95,M0,90,89,99
k2016,fixed,equal,40,0.95,M1,85,74,83
k2016,fixed,equal,40,0.95,M1,90,87,97
k2016,fixed,equal,40,1,M0,85,58,65
k2016,fixed,equal,40,1,M0,90,66,74
k2016,fixed,equal,40,1,M1,85,57,64
k2016,fixed,equal,40,1,M1,90,64,72
k2016,fixed,equal,43,0.9,M0,85,179,199
k2016,fixed,equal,43,0.9,M0,90,210,234
k2016,fixed,equal,43,0.9,M1,85,174,194
k2016,fixed,equal,43,0.9,M1,90,204,227
k2016,fixed,equal,43,0.95,M0,85,85,95
k2016,fixed,equal,43,0.95,M0,90,100,112
k2016,fixed,equal,43,0.95,M1,85,83,93
k2016,fixed,equal,43,0.95,M1,90,97,108
k2016,fixed,equal,43,1,M0,85,65,73
k2016,fixed,equal,43,1,M0,90,74,83
k2016,fixed,equal,43,1,M1,85,64,72
k2016,fixed,equal,43,1,M1,90,72,80
k2016,fixed,equal,46,0.9,M0,85,200,223
k2016,fixed,equal,46,0.9,M0,90,235,262
k2016,fixed,equal,46,0.9,M1,85,194,216
k2016,fixed,equal,46,0.9,M1,90,229,255
k2016,fixed,equal,46,0.95,M0,85,95,106
k2016,fixed,equal,46,0.95,M0,90,112,125
k2016,fixed,equal,46,0.95,M1,85,93,104
k2016,fixed,equal,46,0.95,M1,90,109,122
k2016,fixed,equal,46,1,M0,85,73,82
k2016,fixed,equal,46,1,M0,90,83,93
k2016,fixed,equal,46,1,M1,85,71,79
k2016,fixed,equal,46,1,M1,90,81,90
k2016,fixed,equal,50,0.9,M0,85,230,256
k2016,fixed,equal,50,0.9,M0,90,272,303
k2016,fixed,equal,50,0.9,M1,85,224,249
k2016,fixed,equal,50,0.9,M1,90,266,296
k2016,fixed,equal,50,0.95,M0,85,110,123
k2016,fixed,equal,50,0.95,M0,90,129,144
k2016,fixed,equal,50,0.95,M1,85,107,119
k2016,fixed,equal,50,0.95,M1,90,126,140
k2016,fixed,equal,50,1,M0,85,85,95
k2016,fixed,equal,50,1,M0,90,96,107
k2016,fixed,equal,50,1,M1,85,83,93
k2016,fixed,equal,50,1,M1,90,94,105
k2016,fixed,equal,52,0.9,M0,85,246,274
k2016,fixed,equal,52,0.9,M0,90,292,325
k2016,fixed,equal,52,0.9,M1,85,241,268
k2016,fixed,equal,52,0.9,M1,90,286,318
k2016,fixed,equal,52,0.95,M0,85,118,132
k2016,fixed,equal,52,0.95,M0,90,138,154
k2016,fixed,equal,52,0.95,M1,85,115,128
k2016,fixed,equal,52,0.95,M1,90,135,150
k2016,fixed,equal,52,1,M0,85,91,102
k2016,fixed,equal,52,1,M0,90,103,115
k2016,fixed,equal,52,1,M1,85,89,99
k2016,fixed,equal,52,1,M1,90,101,113
k2016,fixed,mechanistic,35,0.9,M0,85,120,134
k2016,fixed,mechanistic,35,0.9,M0,90,141,157
k2016,fixed,mechanistic,35,0.9,M1,85,115,128
k2016,fixed,mechanistic,35,0.9,M1,90,135,150
k2016,fixed,mechanistic,35,0.95,M0,85,62,69
k2016,fixed,mechanistic,35,0.95,M0,90,71,79
k2016,fixed,mechanistic,35,0.95,M1,85,59,66
k2016,fixed,mechanistic,35,0.95,M1,90,69,77
k2016,fixed,mechanistic,35,1,M0,85,49,55
k2016,fixed,mechanistic,35,1,M0,90,55,62
k2016,fixed,mechanistic,35,1,M1,85,48,54
k2016,fixed,mechanistic,35,1,M1,90,54,60
k2016,fixed,mechanistic,40,0.9,M0,85,152,169
k2016,fixed,mechanistic,40,0.9,M0,90,180,200
k2016,fixed,mechanistic,40,0.9,M1,85,146,163
