pk_model,scenario,auc_ratio,cmax_ratio,analysis_model,n_trials,empirical_pct,lo,hi,analytic_pct,natural_cv_auc_pct,diff_pp,analytic_in_ci
k2016,F097,0.952069739554753,0.965269785236406,M0,10000,96.78,96.415642687966,97.1084304244735,96.5722317673592,40.2983880005355,0.207768232640802,TRUE
k2016,F097,0.952069739554753,0.965269785236406,M1,10000,97.06,96.7104128947197,97.3734451786323,96.9411078449692,40.2983880005355,0.118892155030792,TRUE
k2016,F097,0.952069739554753,0.965269785236406,M2,10000,97.31,96.9742689496245,97.6093971245421,,40.2983880005355,,
k2016,F_down_090,0.899812601831346,0.926930552456146,M0,5000,73.52,72.2792844383939,74.7246028621106,75.0177777345561,40.2983880005355,-1.49777773455612,FALSE
k2016,F_down_090,0.899812601831346,0.926930552456146,M1,5000,75.46,74.2479763881083,76.6329322288494,76.6050580795713,40.2983880005355,-1.14505807957131,TRUE
k2016,F_down_090,0.899812601831346,0.926930552456146,M2,5000,76.08,74.8778232412741,77.2421334252718,,40.2983880005355,,
k2016,F_down_095,0.949920923227653,0.96370327443162,M0,5000,96.36,95.8042762206894,96.8445424549649,96.210481235221,40.2983880005355,0.149518764779018,TRUE
k2016,F_down_095,0.949920923227653,0.96370327443162,M1,5000,96.8,96.2750989443254,97.2530441536173,96.6112906610556,40.2983880005355,0.18870933894442,TRUE
k2016,F_down_095,0.949920923227653,0.96370327443162,M2,5000,97,96.4898893426598,97.4379466745049,,40.2983880005355,,
k2016,S00,1,1,M0,10000,99.55,99.3984428906251,99.6635028708408,99.5188542909731,40.2983880005355,0.0311457090269585,TRUE
k2016,S00,1,1,M1,10000,99.65,99.5136468123541,99.7482221494378,99.5895749495487,40.2983880005355,0.0604250504512862,TRUE
k2016,S00,1,1,M2,10000,99.66,99.5252794634544,99.75658181837,,40.2983880005355,,
k2020,F097,0.952367656502161,0.965498850360188,M0,10000,94.68,94.2227140830539,95.1029718225425,94.9318090514775,42.7759962247525,-0.251809051477522,TRUE
k2020,F097,0.952367656502161,0.965498850360188,M1,10000,95.29,94.8571005536198,95.6881168739643,95.36530139191,42.7759962247525,-0.075301391910017,TRUE
k2020,F097,0.952367656502161,0.965498850360188,M2,10000,95.6,95.1802065822493,95.984772766345,,42.7759962247525,,
k2020,F_down_090,0.899842309255108,0.92701274636435,M0,5000,68.54,67.2390756897191,69.8124579221582,71.0166991683829,42.7759962247525,-2.47669916838291,FALSE
k2020,F_down_090,0.899842309255108,0.92701274636435,M1,5000,70.02,68.7350653924205,71.2741958216994,72.466759739794,42.7759962247525,-2.44675973979399,FALSE
k2020,F_down_090,0.899842309255108,0.92701274636435,M2,5000,70.98,69.7062759116945,72.2215113146909,,42.7759962247525,,
k2020,F_down_095,0.949944849803286,0.963734069940012,M0,5000,93.8,93.097348940049,94.435400369564,94.4081732842454,42.7759962247525,-0.608173284245424,TRUE
k2020,F_down_095,0.949944849803286,0.963734069940012,M1,5000,94.44,93.7700580366043,95.0417086145191,94.8768954315008,42.7759962247525,-0.436895431500844,TRUE
k2020,F_down_095,0.949944849803286,0.963734069940012,M2,5000,94.88,94.2338874132074,95.4572036602043,,42.7759962247525,,
k2020,S00,1,1,M0,10000,99,98.7853017744885,99.1770663851852,98.997815965966,42.7759962247525,0.00218403403403045,TRUE
k2020,S00,1,1,M1,10000,99.15,98.9502435554067,99.3120094047558,99.1154393109396,42.7759962247525,0.0345606890603989,TRUE
k2020,S00,1,1,M2,10000,99.19,98.9944512308792,99.3477710094137,,42.7759962247525,,
