input_model,cmax_cv_rule,cmax_gmr_rule,cv,gmr,n,analysis_model,power_pct
k2016,fixed,equal,35,0.9,100,M0,72.0665852655075
k2016,fixed,equal,35,0.9,100,M1,73.8720388812244
k2016,fixed,equal,35,0.9,117,M0,78.9012537135068
k2016,fixed,equal,35,0.9,117,M1,80.4422199395492
k2016,fixed,equal,35,0.9,130,M0,83.1228444937573
k2016,fixed,equal,35,0.9,130,M1,84.4592593423623
k2016,fixed,equal,35,0.9,140,M0,85.8515491017444
k2016,fixed,equal,35,0.9,140,M1,87.0366895317252
k2016,fixed,equal,35,0.95,100,M0,96.4176135617235
k2016,fixed,equal,35,0.95,100,M1,96.8257180498614
k2016,fixed,equal,35,0.95,117,M0,98.2891671472178
k2016,fixed,equal,35,0.95,117,M1,98.5065740421749
k2016,fixed,equal,35,0.95,130,M0,99.044680194795
k2016,fixed,equal,35,0.95,130,M1,99.1751083448198
k2016,fixed,equal,35,0.95,140,M0,99.3953280148705
k2016,fixed,equal,35,0.95,140,M1,99.4820826585102
k2016,fixed,equal,35,1,100,M0,99.6817599496999
k2016,fixed,equal,35,1,100,M1,99.7333338042007
k2016,fixed,equal,35,1,117,M0,99.9212084622191
k2016,fixed,equal,35,1,117,M1,99.9353066255085
k2016,fixed,equal,35,1,130,M0,99.9735983608482
k2016,fixed,equal,35,1,130,M1,99.9786379434967
k2016,fixed,equal,35,1,140,M0,99.9887622207183
k2016,fixed,equal,35,1,140,M1,99.9910052132313
k2016,fixed,equal,40,0.9,100,M0,65.2663112025876
k2016,fixed,equal,40,0.9,100,M1,67.0517637468552
k2016,fixed,equal,40,0.9,117,M0,72.259149656525
k2016,fixed,equal,40,0.9,117,M1,73.8777453716488
k2016,fixed,equal,40,0.9,130,M0,76.7826491804679
k2016,fixed,equal,40,0.9,130,M1,78.2563166384035
k2016,fixed,equal,40,0.9,140,M0,79.8186062861864
k2016,fixed,equal,40,0.9,140,M1,81.1770829013764
k2016,fixed,equal,40,0.95,100,M0,93.1166196461792
k2016,fixed,equal,40,0.95,100,M1,93.758534795912
k2016,fixed,equal,40,0.95,117,M0,96.1295046257213
k2016,fixed,equal,40,0.95,117,M1,96.5340161025954
k2016,fixed,equal,40,0.95,130,M0,97.5320641918125
k2016,fixed,equal,40,0.95,130,M1,97.8102232826672
k2016,fixed,equal,40,0.95,140,M0,98.2632347800233
k2016,fixed,equal,40,0.95,140,M1,98.4695135260089
k2016,fixed,equal,40,1,100,M0,98.7440736614795
k2016,fixed,equal,40,1,100,M1,98.9136955396839
k2016,fixed,equal,40,1,117,M0,99.5630765441507
k2016,fixed,equal,40,1,117,M1,99.6285775979382
k2016,fixed,equal,40,1,130,M0,99.8080024906977
k2016,fixed,equal,40,1,130,M1,99.8388057318556
k2016,fixed,equal,40,1,140,M0,99.8987765112405
k2016,fixed,equal,40,1,140,M1,99.9157919659063
k2016,fixed,equal,43,0.9,100,M0,61.1597084690373
k2016,fixed,equal,43,0.9,100,M1,62.8510856920384
k2016,fixed,equal,43,0.9,117,M0,68.039441325165
k2016,fixed,equal,43,0.9,117,M1,69.6130710239723
k2016,fixed,equal,43,0.9,130,M0,72.5911112753172
k2016,fixed,equal,43,0.9,130,M1,74.0552597327088
k2016,fixed,equal,43,0.9,140,M0,75.7042808257121
k2016,fixed,equal,43,0.9,140,M1,77.0779900149091
k2016,fixed,equal,43,0.95,100,M0,90.2319875990238
k2016,fixed,equal,43,0.95,100,M1,90.9911548673442
k2016,fixed,equal,43,0.95,117,M0,94.0181763126864
k2016,fixed,equal,43,0.95,117,M1,94.5355561545655
k2016,fixed,equal,43,0.95,130,M0,95.9130165716708
k2016,fixed,equal,43,0.95,130,M1,96.2927496665897
k2016,fixed,equal,43,0.95,140,M0,96.9619950399798
k2016,fixed,equal,43,0.95,140,M1,97.2587312421215
k2016,fixed,equal,43,1,100,M0,97.4200789236632
k2016,fixed,equal,43,1,100,M1,97.7051430962982
k2016,fixed,equal,43,1,117,M0,98.9396602513578
k2016,fixed,equal,43,1,117,M1,99.0693351625069
k2016,fixed,equal,43,1,130,M0,99.4699104917599
k2016,fixed,equal,43,1,130,M1,99.5391975755653
k2016,fixed,equal,43,1,140,M0,99.6912220710171
k2016,fixed,equal,43,1,140,M1,99.7334851084181
k2016,fixed,equal,46,0.9,100,M0,57.2457883928799
k2016,fixed,equal,46,0.9,100,M1,58.8166305172146
k2016,fixed,equal,46,0.9,117,M0,63.9171411532923
k2016,fixed,equal,46,0.9,117,M1,65.4079028651413
k2016,fixed,equal,46,0.9,130,M0,68.4117182662587
k2016,fixed,equal,46,0.9,130,M1,69.8227439885752
k2016,fixed,equal,46,0.9,140,M0,71.5344818222894
k2016,fixed,equal,46,0.9,140,M1,72.877149784719
k2016,fixed,equal,46,0.95,100,M0,86.8370003334449
k2016,fixed,equal,46,0.95,100,M1,87.6860548274447
k2016,fixed,equal,46,0.95,117,M0,91.3832295547769
k2016,fixed,equal,46,0.95,117,M1,91.9976125743984
k2016,fixed,equal,46,0.95,130,M0,93.7871257832096
k2016,fixed,equal,46,0.95,130,M1,94.2614813163651
k2016,fixed,equal,46,0.95,140,M0,95.1810166715941
k2016,fixed,equal,46,0.95,140,M1,95.567180328614
k2016,fixed,equal,46,1,100,M0,95.3679268792683
k2016,fixed,equal,46,1,100,M1,95.7867519709241
k2016,fixed,equal,46,1,117,M0,97.8354728683485
k2016,fixed,equal,46,1,117,M1,98.0521353425743
k2016,fixed,equal,46,1,130,M0,98.8052642081683
k2016,fixed,equal,46,1,130,M1,98.9331644947797
k2016,fixed,equal,46,1,140,M0,99.2486655790801
k2016,fixed,equal,46,1,140,M1,99.3329482751924
k2016,fixed,equal,50,0.9,100,M0,52.4453051090241
k2016,fixed,equal,50,0.9,100,M1,53.845989437739
k2016,fixed,equal,50,0.9,117,M0,58.7707638704162
k2016,fixed,equal,50,0.9,117,M1,60.1249160049864
k2016,fixed,equal,50,0.9,130,M0,63.1056527992453
k2016,fixed,equal,50,0.9,130,M1,64.4096905595197
k2016,fixed,equal,50,0.9,140,M0,66.1666177577758
k2016,fixed,equal,50,0.9,140,M1,67.4256225447755
k2016,fixed,equal,50,0.95,100,M0,81.7527747722896
k2016,fixed,equal,50,0.95,100,M1,82.6829098504557
k2016,fixed,equal,50,0.95,117,M0,87.2488251642765
k2016,fixed,equal,50,0.95,117,M1,87.961670690266
k2016,fixed,equal,50,0.95,130,M0,90.306043945042
k2016,fixed,equal,50,0.95,130,M1,90.884268552574
k2016,fixed,equal,50,0.95,140,M0,92.1578065332495
k2016,fixed,equal,50,0.95,140,M1,92.6479272298014
k2016,fixed,equal,50,1,100,M0,91.4800296768546
k2016,fixed,equal,50,1,100,M1,92.0790873012339
k2016,fixed,equal,50,1,117,M0,95.4660224067135
k2016,fixed,equal,50,1,117,M1,95.8195346859581
k2016,fixed,equal,50,1,130,M0,97.2323968812155
k2016,fixed,equal,50,1,130,M1,97.4635174775967
k2016,fixed,equal,50,1,140,M0,98.1181116138185
k2016,fixed,equal,50,1,140,M1,98.2829754659034
k2016,fixed,equal,52,0.9,100,M0,50.2330808325994
k2016,fixed,equal,52,0.9,100,M1,51.5520702769766
k2016,fixed,equal,52,0.9,117,M0,56.3821185210473
k2016,fixed,equal,52,0.9,117,M1,57.6652665545007
k2016,fixed,equal,52,0.9,130,M0,60.6181504536784
