input_model,cv,gmr,n,analysis_model,n_trials,n_pass,n_pass_auc,n_pass_cmax,power_pct,lo,hi,analytic_pct,diff_pp,analytic_in_ci
k2016,35,0.9,100,M0,5000,3635,4026,4049,72.7,71.4480816017112,73.9170647299832,72.0665852655075,0.633414734492547,TRUE
k2016,35,0.9,100,M1,5000,3718,4127,4090,74.36,73.1313223783223,75.5512751829146,73.8720388812244,0.487961118775615,TRUE
k2016,35,0.9,117,M0,5000,3940,4240,4305,78.8,77.645202669573,79.9105776983918,78.9012537135068,-0.101253713506807,TRUE
k2016,35,0.9,117,M1,5000,4039,4332,4354,80.78,79.6643600784264,81.8483801898359,80.4422199395492,0.337780060450783,TRUE
k2016,35,0.9,130,M0,5000,4193,4425,4472,83.86,82.8143190927062,84.8536921315746,83.1228444937573,0.737155506242743,TRUE
k2016,35,0.9,130,M1,5000,4254,4487,4502,85.08,84.0655259971222,86.0406120344126,84.4592593423623,0.620740657637668,TRUE
k2016,35,0.9,140,M0,5000,4290,4496,4560,85.8,84.8049974348013,86.7400351059326,85.8515491017444,-0.0515491017444134,TRUE
k2016,35,0.9,140,M1,5000,4353,4556,4587,87.06,86.101135616465,87.9619623153674,87.0366895317252,0.0233104682747864,TRUE
k2016,35,0.95,100,M0,5000,4843,4909,4906,96.86,96.3394810180527,97.3085699556565,96.4176135617235,0.442386438276458,TRUE
k2016,35,0.95,100,M1,5000,4862,4919,4917,97.24,96.7483735393513,97.6590939808798,96.8257180498614,0.414281950138616,TRUE
k2016,35,0.95,117,M0,5000,4918,4945,4960,98.36,97.9690142829181,98.676733584956,98.2891671472178,0.0708328527822459,TRUE
k2016,35,0.95,117,M1,5000,4927,4950,4964,98.54,98.1683158393575,98.8371556558163,98.5065740421749,0.0334259578250737,TRUE
k2016,35,0.95,130,M0,5000,4954,4972,4975,99.08,98.775116231898,99.3095261451752,99.044680194795,0.0353198052050345,TRUE
k2016,35,0.95,130,M1,5000,4955,4973,4975,99.1,98.7979345300932,99.3266771389023,99.1751083448198,-0.075108344819796,TRUE
k2016,35,0.95,140,M0,5000,4966,4976,4985,99.32,99.0513072231966,99.512966656943,99.3953280148705,-0.0753280148705073,TRUE
k2016,35,0.95,140,M1,5000,4974,4982,4988,99.48,99.2391450796976,99.6448831358196,99.4820826585102,-0.00208265851020428,TRUE
k2016,35,1,100,M0,5000,4989,4993,4996,99.78,99.606459135064,99.8771084592861,99.6817599496999,0.098240050300106,TRUE
k2016,35,1,100,M1,5000,4991,4994,4997,99.82,99.6582355289626,99.9052706492319,99.7333338042007,0.0866661957992534,TRUE
k2016,35,1,117,M0,5000,4997,4999,4998,99.94,99.8237293951471,99.9795925345806,99.9212084622191,0.0187915377809418,TRUE
