input_model,cv,gmr,n,analysis_model,analytic_pct,mc_trials,mc_pct,mc_lo,mc_hi,diff_pp,analytic_in_ci
k2016,35,0.9,100,M0,72.0665852655075,5000,72.7,71.4480816017112,73.9170647299832,0.633414734492547,TRUE
k2016,35,0.9,100,M1,73.8720388812244,5000,74.36,73.1313223783223,75.5512751829146,0.487961118775615,TRUE
k2016,35,0.9,117,M0,78.9012537135068,5000,78.8,77.645202669573,79.9105776983918,-0.101253713506807,TRUE
k2016,35,0.9,117,M1,80.4422199395492,5000,80.78,79.6643600784264,81.8483801898359,0.337780060450783,TRUE
k2016,35,0.9,130,M0,83.1228444937573,5000,83.86,82.8143190927062,84.8536921315746,0.737155506242743,TRUE
k2016,35,0.9,130,M1,84.4592593423623,5000,85.08,84.0655259971222,86.0406120344126,0.620740657637668,TRUE
k2016,35,0.9,140,M0,85.8515491017444,5000,85.8,84.8049974348013,86.7400351059326,-0.0515491017444134,TRUE
k2016,35,0.9,140,M1,87.0366895317252,5000,87.06,86.101135616465,87.9619623153674,0.0233104682747864,TRUE
k2016,40,0.9,100,M0,65.2663112025876,5000,65.54,64.2112542000613,66.8448856234863,0.273688797412405,TRUE
k2016,40,0.9,100,M1,67.0517637468552,5000,67.62,66.3099031105319,68.9030430729243,0.568236253144818,TRUE
k2016,40,0.9,117,M0,72.259149656525,5000,72.12,70.8604762913657,73.345560574585,-0.139149656525007,TRUE
k2016,40,0.9,117,M1,73.8777453716488,5000,73.94,72.7052312533398,75.1380111775309,0.0622546283512406,TRUE
k2016,40,0.9,130,M0,76.7826491804679,5000,77.08,75.8944312715988,78.2239899910569,0.297350819532113,TRUE
k2016,40,0.9,130,M1,78.2563166384035,5000,78.62,77.4618463540744,79.7342103865905,0.363683361596529,TRUE
k2016,40,0.9,140,M0,79.8186062861864,5000,79.92,78.7868363330506,81.0072243825572,0.101393713813607,TRUE
k2016,40,0.9,140,M1,81.1770829013764,5000,81.22,80.1136464941986,82.2784181963521,0.0429170986236045,TRUE
k2016,43,0.9,100,M0,61.1597084690373,5000,62.3,60.9477250350808,63.6333894970708,1.14029153096272,TRUE
k2016,43,0.9,100,M1,62.8510856920384,5000,63.74,62.3973731289612,65.0615304215886,0.888914307961606,TRUE
k2016,43,0.9,117,M0,68.039441325165,5000,69.5,68.2092710948519,70.7607885292909,1.46055867483506,FALSE
k2016,43,0.9,117,M1,69.6130710239723,5000,71.02,69.7467576851793,72.2609681250505,1.40692897602773,FALSE
k2016,43,0.9,130,M0,72.5911112753172,5000,73.8,72.5632330582956,75.0002243291197,1.20888872468285,TRUE
k2016,43,0.9,130,M1,74.0552597327088,5000,74.72,73.4966599477835,75.9053848680529,0.664740267291222,TRUE
k2016,43,0.9,140,M0,75.7042808257121,5000,74.48,73.2530895260074,75.6693237867626,-1.22428082571209,FALSE
