variant,id,dose,sim_mean,obs_mean
base,clot300_nonasian_pooled,300,568.897329019925,544
base,clot300_chinese,300,731.233465838435,792
base,clot600_chinese,600,2041.71180484315,2110
base,pkm14271_200_nonasian,200,275.3923161809,339
struct2020,clot300_nonasian_pooled,300,607.569906375962,544
struct2020,clot300_chinese,300,786.412135895547,792
struct2020,clot600_chinese,600,2149.09602036632,2110
struct2020,pkm14271_200_nonasian,200,298.318641947668,339
Km_x0.5,clot300_nonasian_pooled,300,570.251223254549,544
Km_x0.5,clot300_chinese,300,733.590047187955,792
Km_x0.5,clot600_chinese,600,2058.9853938762,2110
Km_x0.5,pkm14271_200_nonasian,200,278.656279416775,339
Km_x2,clot300_nonasian_pooled,300,572.418741302124,544
Km_x2,clot300_chinese,300,735.946920896522,792
Km_x2,clot600_chinese,600,2051.08993262788,2110
Km_x2,pkm14271_200_nonasian,200,279.957192642898,339
Km_x5,clot300_nonasian_pooled,300,575.048567073588,544
Km_x5,clot300_chinese,300,740.556934708453,792
Km_x5,clot600_chinese,600,2041.29880146238,2110
Km_x5,pkm14271_200_nonasian,200,277.767966066058,339
Km_x10,clot300_nonasian_pooled,300,572.106432454074,544
Km_x10,clot300_chinese,300,744.034810991589,792
Km_x10,clot600_chinese,600,2065.6707736303,2110
Km_x10,pkm14271_200_nonasian,200,283.76357824441,339
Vmax_x0.8,clot300_nonasian_pooled,300,648.504742928086,544
Vmax_x0.8,clot300_chinese,300,836.221898716154,792
Vmax_x0.8,clot600_chinese,600,2175.01611887161,2110
Vmax_x0.8,pkm14271_200_nonasian,200,328.954205775315,339
Vmax_x1.25,clot300_nonasian_pooled,300,494.709468037497,544
Vmax_x1.25,clot300_chinese,300,649.155723827996,792
Vmax_x1.25,clot600_chinese,600,1924.12788486689,2110
Vmax_x1.25,pkm14271_200_nonasian,200,228.472872401721,339
MM_not_weight_scaled,clot300_nonasian_pooled,300,569.230089285265,544
MM_not_weight_scaled,clot300_chinese,300,670.844316375215,792
MM_not_weight_scaled,clot600_chinese,600,1949.20397981973,2110
MM_not_weight_scaled,pkm14271_200_nonasian,200,281.114889259508,339
