model,id,dose_mg,n_obs,AUClast_ratio,se_obs_pct,z,pass_mean
step1,Cohen2022_200mg_AI,200,62,0.837590273247914,4.81865433634163,-3.37043737558046,
step1,Cohen2022_200mg_PFSS,200,63,0.9122559162703,5.3678053091686,-1.63463610686154,
step1,PKM14271_200mg_reference,200,19,0.857084130126043,9.37550367520562,-1.52435404885938,
step1,PKM14271_200mg_test,200,19,0.818135700537457,8.66230499570263,-2.09949083474624,
step1,clot300_chinese,300,8,0.938864110808444,14.5528289562383,-0.420096253281042,TRUE
step1,clot300_japanese_TDU12265,300,6,1.00296016145924,13.6471571383634,0.0216906820169907,TRUE
step1,clot300_nonasian_pooled,300,40,1.0402225323565,6.3361813411462,0.634807152618924,TRUE
step1,clot600_chinese,600,8,0.975901193066209,8.16021332791111,-0.295320795736605,TRUE
step1,clot600_japanese,600,,1.06831283554553,,,TRUE
step1_k2020,Cohen2022_200mg_AI,200,62,0.92063620117531,4.81865433634163,-1.64701166103859,
step1_k2020,Cohen2022_200mg_PFSS,200,63,1.00311765035533,5.3678053091686,0.0580805408498968,
step1_k2020,PKM14271_200mg_reference,200,19,0.94310218351685,9.37550367520562,-0.606877437781004,
step1_k2020,PKM14271_200mg_test,200,19,0.89951471599565,8.66230499570263,-1.16002939234074,
step1_k2020,clot300_chinese,300,8,1.01545509615009,14.5528289562383,0.106199943643669,TRUE
step1_k2020,clot300_japanese_TDU12265,300,6,1.08348631667753,13.6471571383634,0.611748775448944,TRUE
step1_k2020,clot300_nonasian_pooled,300,40,1.12815869190091,6.3361813411462,2.02264873747642,TRUE
step1_k2020,clot600_chinese,600,8,1.0345424171933,8.16021332791111,0.423302869731971,TRUE
step1_k2020,clot600_japanese,600,,1.13102136598837,,,TRUE
