item,type,ratio,cv,pass_mean,pass_cv
clot300_japanese_TDU12265,dataset,1.00296016145924,39.6962055645632,TRUE,TRUE
clot300_chinese,dataset,0.938864110808444,40.8734169430078,TRUE,TRUE
clot600_chinese,dataset,0.975901193066209,36.0797592535654,TRUE,TRUE
clot600_japanese,dataset,1.06831283554553,36.0345718564427,TRUE,TRUE
PKM12350 test,Li 2020 arm,1.1715102762677,41.2456065732305,FALSE,TRUE
PKM12350 reference,Li 2020 arm,1.14222251936101,41.2456065732305,TRUE,TRUE
PKM14161 test,Li 2020 arm,0.972035249743887,41.7055981582653,TRUE,TRUE
PKM14161 reference,Li 2020 arm,0.99232120278202,41.7055981582653,TRUE,TRUE
Clot 300 mg 코호트 tlast,cohort tlast,,,TRUE,
Clot 600 mg 코호트 tlast,cohort tlast,,,TRUE,
