model,weight_mean,study,arm,obs,sim,ratio,within_15
k2016,70,PKM12350,test,487.5,638.405251311025,1.30954923345851,FALSE
k2016,70,PKM12350,reference,500,638.405251311025,1.27681050262205,FALSE
k2016,70,PKM14161,test,587,636.122676886862,1.08368428771186,TRUE
k2016,70,PKM14161,reference,575,636.122676886862,1.10630030762933,TRUE
k2016,70,HV-1108,test,630,634.742364171788,1.00752756217744,TRUE
k2016,70,HV-1108,reference,530,634.742364171788,1.19762710221092,FALSE
k2016,74,PKM12350,test,487.5,598.796293206504,1.22830008862873,FALSE
k2016,74,PKM12350,reference,500,598.796293206504,1.19759258641301,FALSE
k2016,74,PKM14161,test,587,597.312677579777,1.01756844562143,TRUE
k2016,74,PKM14161,reference,575,597.312677579777,1.03880465666048,TRUE
k2016,74,HV-1108,test,630,596.847169219122,0.947376459077971,TRUE
k2016,74,HV-1108,reference,530,596.847169219122,1.1261267343757,TRUE
k2016,78,PKM12350,test,487.5,564.783024293814,1.15852928060269,FALSE
k2016,78,PKM12350,reference,500,564.783024293814,1.12956604858763,TRUE
k2016,78,PKM14161,test,587,562.660206853293,0.958535275729631,TRUE
k2016,78,PKM14161,reference,575,562.660206853293,0.97853949017964,TRUE
k2016,78,HV-1108,test,630,558.31223388938,0.886209895062508,TRUE
k2016,78,HV-1108,reference,530,558.31223388938,1.05341930922525,TRUE
k2016,82,PKM12350,test,487.5,536.911813529569,1.1013575662145,TRUE
k2016,82,PKM12350,reference,500,536.911813529569,1.07382362705914,TRUE
k2016,82,PKM14161,test,587,530.23274771682,0.903292585548245,TRUE
k2016,82,PKM14161,reference,575,530.23274771682,0.92214390907273,TRUE
k2016,82,HV-1108,test,630,532.696474782131,0.845549959971636,FALSE
k2016,82,HV-1108,reference,530,532.696474782131,1.00508768826817,TRUE
k2016,86,PKM12350,test,487.5,507.506604539914,1.04103918879982,TRUE
k2016,86,PKM12350,reference,500,507.506604539914,1.01501320907983,TRUE
k2016,86,PKM14161,test,587,507.903429621812,0.86525286136595,TRUE
k2016,86,PKM14161,reference,575,507.903429621812,0.883310312385761,TRUE
k2016,86,HV-1108,test,630,503.970468050842,0.799953123890226,FALSE
k2016,86,HV-1108,reference,530,503.970468050842,0.950887675567627,TRUE
k2016,90,PKM12350,test,487.5,484.031145328518,0.992884400673884,TRUE
k2016,90,PKM12350,reference,500,484.031145328518,0.968062290657037,TRUE
k2016,90,PKM14161,test,587,481.119810519459,0.8196248901524,FALSE
k2016,90,PKM14161,reference,575,481.119810519459,0.836730105251232,FALSE
k2016,90,HV-1108,test,630,483.352320403607,0.76722590540255,FALSE
k2016,90,HV-1108,reference,530,483.352320403607,0.911985510195484,TRUE
