model,weight_mean,study,arm,obs,sim,ratio,within_15
k2020,70,PKM12350,test,487.5,691.45687305844,1.41837307294039,FALSE
k2020,70,PKM12350,reference,500,691.45687305844,1.38291374611688,FALSE
k2020,70,PKM14161,test,587,690.074619702994,1.17559560426405,FALSE
k2020,70,PKM14161,reference,575,690.074619702994,1.20012977339651,FALSE
k2020,70,HV-1108,test,630,688.090359604108,1.09220692000652,TRUE
k2020,70,HV-1108,reference,530,688.090359604108,1.29828369736624,FALSE
k2020,74,PKM12350,test,487.5,650.089700274647,1.33351733389671,FALSE
k2020,74,PKM12350,reference,500,650.089700274647,1.30017940054929,FALSE
k2020,74,PKM14161,test,587,647.988847995213,1.10389922997481,TRUE
k2020,74,PKM14161,reference,575,647.988847995213,1.1269371269482,TRUE
k2020,74,HV-1108,test,630,647.063506311518,1.0270849306532,TRUE
k2020,74,HV-1108,reference,530,647.063506311518,1.22087454021041,FALSE
k2020,78,PKM12350,test,487.5,612.881376291359,1.25719256675151,FALSE
k2020,78,PKM12350,reference,500,612.881376291359,1.22576275258272,FALSE
k2020,78,PKM14161,test,587,611.644069815052,1.04198308316022,TRUE
k2020,78,PKM14161,reference,575,611.644069815052,1.06372881706966,TRUE
k2020,78,HV-1108,test,630,605.705825247572,0.961437817853288,TRUE
k2020,78,HV-1108,reference,530,605.705825247572,1.1428411797124,TRUE
k2020,82,PKM12350,test,487.5,583.839188052483,1.19761884728714,FALSE
k2020,82,PKM12350,reference,500,583.839188052483,1.16767837610497,FALSE
k2020,82,PKM14161,test,587,575.856941115385,0.981016935460621,TRUE
k2020,82,PKM14161,reference,575,575.856941115385,1.00149033237458,TRUE
k2020,82,HV-1108,test,630,577.987337148207,0.917440217695567,TRUE
k2020,82,HV-1108,reference,530,577.987337148207,1.09054214556266,TRUE
k2020,86,PKM12350,test,487.5,551.961278762735,1.13222826412869,TRUE
k2020,86,PKM12350,reference,500,551.961278762735,1.10392255752547,TRUE
k2020,86,PKM14161,test,587,552.487184621572,0.941204743818692,TRUE
k2020,86,PKM14161,reference,575,552.487184621572,0.960847277602735,TRUE
k2020,86,HV-1108,test,630,548.50926485384,0.870649626752127,TRUE
k2020,86,HV-1108,reference,530,548.50926485384,1.03492314123366,TRUE
k2020,90,PKM12350,test,487.5,525.854268962172,1.07867542351215,TRUE
k2020,90,PKM12350,reference,500,525.854268962172,1.05170853792434,TRUE
k2020,90,PKM14161,test,587,523.632935375364,0.892049293654794,TRUE
k2020,90,PKM14161,reference,575,523.632935375364,0.910665974565851,TRUE
k2020,90,HV-1108,test,630,525.88772666861,0.834742423283508,FALSE
k2020,90,HV-1108,reference,530,525.88772666861,0.992240993714358,TRUE
