metric,n,median,p05,p95,min,max,sd_log,pk_model
window coverage (true AUC0-tlast / true AUC0-inf),20000,0.993479499465381,0.963673434596318,0.999845954620805,0.847764361879052,0.999993925421939,0.0134960108647651,k2016
"observed-to-true, AUClast (all subjects)",20000,0.962354094993978,0.810760834294686,1.11147146012614,0.597621041503927,1.31624325543441,0.0959327394376631,k2016
"observed-to-true, AUClast (lambda-z estimable)",19708,0.962594195289511,0.811387917407016,1.11173657702411,0.597621041503927,1.31624325543441,0.0956950762066282,k2016
"observed-to-true, AUCinf rule B (lambda-z estimable)",19708,1.00264271686304,0.846599933461707,1.16486563108389,0.622290895939373,5.28060652812461,0.100595530984979,k2016
"observed-to-true, AUClast (meeting set (i))",17313,0.966684264536165,0.818867890710349,1.1145493625142,0.61372441612444,1.31624325543441,0.0935014057383923,k2016
"observed-to-true, AUCinf rule A (meeting set (i))",17313,1.00497588075914,0.851608087678482,1.16021849137306,0.622290895939373,1.40055794172566,0.0938259669825649,k2016
extrapolation factor AUCinf / AUClast (lambda-z estimable),19708,1.02821524327877,1.00165332108163,1.13828434919611,1.00018925113537,7.19232205155715,0.0571588790347278,k2016
window coverage (true AUC0-tlast / true AUC0-inf),20000,0.9935964984871,0.964604403843398,0.999882437862002,0.843159734852213,0.99999977854368,0.0132847141919552,k2020
"observed-to-true, AUClast (all subjects)",20000,0.967337174949093,0.873229739119419,1.05778973809537,0.741565754213867,1.18549006715124,0.0582799077581742,k2020
"observed-to-true, AUClast (lambda-z estimable)",19877,0.967489086635127,0.873626388850843,1.05793483087748,0.741565754213867,1.18549006715124,0.0581798975395449,k2020
"observed-to-true, AUCinf rule B (lambda-z estimable)",19877,1.00747853586263,0.9088157869657,1.11719592748144,0.779300833894129,1.8655316816009,0.0634223882496898,k2020
"observed-to-true, AUClast (meeting set (i))",18367,0.96849917871036,0.875685243616157,1.05912281344276,0.741565754213867,1.18549006715124,0.0575255606069544,k2020
"observed-to-true, AUCinf rule A (meeting set (i))",18367,1.0087454261174,0.911559161485368,1.11272301552063,0.801545902771262,1.28796663053548,0.0605705651913728,k2020
extrapolation factor AUCinf / AUClast (lambda-z estimable),19877,1.03038131003437,1.00160272400338,1.13567311607698,1.0001633178939,2.31467536109289,0.0453635284021268,k2020
