pk_model,set,n_trials,n_arms,retained_median,retained_p05,retained_p95,retained_mean,retained_min,retained_max
k2016,i,10000,20000,101,95,107,101.0318,84,114
k2016,ii,10000,20000,94,87,101,94.21,76,111
k2016,iii,10000,20000,72,63,80,71.7647,49,91
k2016,iv,10000,20000,40,31,48,39.60745,21,61
k2016,lambda,10000,20000,116,113,117,115.4136,108,117
k2020,i,10000,20000,107,102,112,107.21795,94,116
k2020,ii,10000,20000,98,91,104,98.0708,82,112
k2020,iii,10000,20000,78,69,86,77.50685,54,97
k2020,iv,10000,20000,32,24,40,31.96975,13,53
k2020,lambda,10000,20000,116,115,117,116.245,111,117
