pk_model,scenario,analysis_set,n_trials,dev_R_median,dev_R_p05,dev_R_p95,dev_T_median,dev_T_p05,dev_T_p95,armdiff_median,armdiff_p05,armdiff_p95,armdiff_mean,armdiff_abs_gt5_pct,rand_armdiff_abs_max
k2016,F097,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2016,F_down_080,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2016,F_up_125,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2016,KE110,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2016,KE120,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2016,S00,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2016,V2_up_080,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2016,VM125,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2016,Vmax_down_125,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2016,Vmax_up_080,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2016,ka_down_080,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0140804597701149,0,0.854700854700859
k2016,ke_down_125,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2016,ke_up_080,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2020,F097,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2020,F_down_080,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2020,F_up_125,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2020,KE110,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2020,KE120,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2020,S00,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2020,V2_up_080,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2020,VM125,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
k2020,Vmax_down_125,auclast,2000,0,0,0,0,0,0,0,-0.854700854700859,0.854700854700859,-0.0128205128205128,0,0.854700854700859
