schedule,scenario,n_trials,width_rel_decrease,width_rel_decrease_lo,width_rel_decrease_hi,pass_change_pp,pass_discordant,pass_change_lo,pass_change_hi
Bminus,F090,500,0.0047793160835862,0.00462339252782884,0.00493523963934356,1,5,0.126997644491791,1.87300235550821
D1,F090,500,-0.00353888164432876,-0.00367153757938785,-0.00340622570926967,-0.800000000000001,4,-1.58162537091723,-0.0183746290827722
D2,F090,500,-0.00406545718777627,-0.00419958789192323,-0.00393132648362932,-0.800000000000001,4,-1.58162537091723,-0.0183746290827722
D3,F090,500,-0.00210233897215555,-0.00235429161506172,-0.00185038632924937,-1.2,6,-2.15535969134283,-0.244640308657166
D4,F090,500,-0.00357271877939507,-0.00370201581195889,-0.00344342174683125,-0.4,2,-0.953805778693159,0.153805778693158
Bminus,KE110,500,0.00568353457566005,0.00552350497196495,0.00584356417935515,0.2,1,-0.191992796908011,0.591992796908011
D1,KE110,500,-0.0037222624567337,-0.00385749728472636,-0.00358702762874103,-0.4,2,-0.953805778693159,0.153805778693158
D2,KE110,500,-0.00434872139657576,-0.00448636195328104,-0.00421108083987048,-0.4,2,-0.953805778693159,0.153805778693158
D3,KE110,500,-0.00153409206961056,-0.00179648402070216,-0.00127170011851896,-0.2,1,-0.591992796908011,0.191992796908011
D4,KE110,500,-0.00377500430685648,-0.00390573815141563,-0.00364427046229733,0,2,-0.554916724200239,0.554916724200239
Bminus,S00,500,0.00684722754691017,0.00667989659980219,0.00701455849401816,0.2,1,-0.191992796908011,0.591992796908011
D1,S00,500,-0.0039508863018553,-0.00409349477277034,-0.00380827783094026,0,0,0,0
D2,S00,500,-0.00470445674671837,-0.00485012666118382,-0.00455878683225293,0,0,0,0
D3,S00,500,-0.00128320515128755,-0.00155847891302436,-0.00100793138955075,0,0,0,0
D4,S00,500,-0.00401831756342056,-0.00415812821944339,-0.00387850690739774,0,0,0,0
Bminus,VM125,500,0.00300959865054693,0.00289313899041118,0.00312605831068268,2,10,0.771639467865437,3.22836053213456
D1,VM125,500,-0.00249820004722437,-0.00261880488442956,-0.00237759521001918,-1.2,6,-2.15535969134283,-0.244640308657166
D2,VM125,500,-0.00283050914332015,-0.00295280010327089,-0.00270821818336941,-2.2,11,-3.48700011589655,-0.912999884103451
D3,VM125,500,-0.00228958555471538,-0.00251633290211216,-0.0020628382073186,-0.600000000000001,5,-1.47581963545906,0.275819635459057
D4,VM125,500,-0.00249484901733949,-0.00261122924640345,-0.00237846878827552,-0.800000000000001,4,-1.58162537091723,-0.0183746290827722
