schedule,scenario,n_trials,width_rel_decrease,width_rel_decrease_lo,width_rel_decrease_hi,pass_change_pp,pass_discordant,pass_change_lo,pass_change_hi
Bminus,KE110,500,0.00193894998994462,0.00183994025987623,0.00203795972001301,0.2,1,-0.191992796908011,0.591992796908011
D1,KE110,500,-0.00337387747727232,-0.00347766742129668,-0.00327008753324796,-0.600000000000001,3,-1.27758945022669,0.077589450226693
D2,KE110,500,-0.00357736995659998,-0.00368218519529176,-0.0034725547179082,-0.600000000000001,3,-1.27758945022669,0.077589450226693
D3,KE110,500,-0.00554314081991736,-0.00574903509480711,-0.0053372465450276,-0.79999999999999,4,-1.58162537091723,-0.0183746290827722
D4,KE110,500,-0.00324153877510635,-0.00334338737102458,-0.00313969017918811,-0.600000000000001,3,-1.27758945022669,0.077589450226693
Bminus,S00,500,0.00237644008579961,0.00226825636473548,0.00248462380686374,0,0,0,0
D1,S00,500,-0.00389952569215377,-0.00400690786141544,-0.00379214352289211,0,0,0,0
D2,S00,500,-0.00414107139271709,-0.00424909484195405,-0.00403304794348013,0,0,0,0
D3,S00,500,-0.00597279074394365,-0.0061840365720827,-0.0057615449158046,0,0,0,0
D4,S00,500,-0.00373866415208174,-0.00384374735312775,-0.00363358095103574,0,0,0,0
