scenario,schedule,n_trials,pass_both_primary,agree_last_infrel,agree_last_infall,last_pass_infrel_fail,last_fail_infrel_pass,cor_logGMR_last_infrel,cor_logGMR_last_true,dlogGMR_last_minus_infrel_mean,dlogGMR_last_minus_infrel_sd
F085,B0,500,0.4,97.8,99.4,0,2.2,0.820185636640396,0.963985052185322,-0.0303156289390054,0.0316056959852748
F090,B0,500,22.2,83,87.6,2.6,14.4,0.834850383657457,0.963833318875734,-0.0196642761693876,0.0299683014731429
F097,B0,500,96,96.8,98,2,1.2,0.846926971094482,0.963868067005085,-0.00580655965013406,0.0289579952448286
F110,B0,500,39.2,80.8,89,3.6,15.6,0.858324007811441,0.963725747882929,0.0155130051803566,0.026902344843775
KA075,B0,500,64,96.2,97.4,0.8,3,0.824147171483363,0.966067842481432,-0.0194682157978976,0.0313680149228042
KE110,B0,500,95.8,95.6,97.4,2.4,2,0.843551983380144,0.963688331340378,-0.00357855857511249,0.0289769272077167
KE120,B0,500,77.4,87,93.2,7,6,0.847109092643421,0.96326254315796,-0.00592964218356512,0.0283970025968799
KM05,B0,500,100,99,100,1,0,0.841895945742148,0.964003674772356,-0.00112583646294772,0.0288679333579594
KM10,B0,500,99.6,98.8,99.4,0.8,0.4,0.855105464321241,0.963644541887924,0.0234847066874362,0.0276401682329582
KM2,B0,500,100,99,100,1,0,0.845408349281379,0.96395456438901,0.00189700364679302,0.0284634826639235
KM5,B0,500,99.8,98.8,99.8,1,0.2,0.851612557473352,0.963908285873314,0.00996744890217533,0.0281501158818375
S00,B0,500,100,98.8,100,1.2,0,0.840217902508531,0.964008701522331,-0.00020712168677619,0.0290673187915543
VM080,B0,500,57.4,78.2,86.2,1,20.8,0.865386775452221,0.963474854046329,0.0327554458352427,0.0259396706568854
VM125,B0,500,36.4,71,72.4,0.8,28.2,0.814002659044213,0.964325073575598,-0.0420692610629461,0.0319435409516783
VM150,B0,500,0,93.8,98.2,0,6.2,0.761146677039366,0.965752326147672,-0.0829710489757355,0.0369107010717615
