scenario,schedule,n_trials,pass_both_primary,agree_last_infrel,agree_last_infall,last_pass_infrel_fail,last_fail_infrel_pass,cor_logGMR_last_infrel,cor_logGMR_last_true,dlogGMR_last_minus_infrel_mean,dlogGMR_last_minus_infrel_sd
F085,B0,500,0.4,99,99.4,0,1,0.868290405055187,0.964290106884597,-0.0221514271087125,0.0267001221391366
F090,B0,500,23.6,85,90.6,2.6,12.4,0.873241797453632,0.964652896962455,-0.0140361139767949,0.0258859655345502
F110,B0,500,40.8,85.4,89,3.8,10.8,0.900231893452761,0.963836759180635,0.0101234634222282,0.0221926143728552
KA075,B0,500,71.8,96.6,97.6,0.6,2.8,0.881979382577876,0.966016411350621,-0.0141202487209744,0.0248891595168991
KE110,B0,500,95.2,93.8,96.6,3.6,2.6,0.885595538756041,0.964229018970062,-0.00189734350016713,0.0239544580225656
KE120,B0,500,75.8,89,93.4,6,5,0.891941138729164,0.9643083221509,-0.0028774638410013,0.0234050753087145
KM05,B0,500,100,99.6,100,0.4,0,0.890007739066185,0.964190401013984,-0.00160679820671028,0.0233082677270782
KM10,B0,500,99.6,99.2,99.6,0.4,0.4,0.901705942254378,0.963924998859158,0.0170859087648429,0.022387896042203
KM2,B0,500,100,99.6,100,0.4,0,0.891736867955134,0.964057403934721,0.000823900421654066,0.023275714249915
KM5,B0,500,100,99.6,100,0.4,0,0.894423221911919,0.963934824326044,0.00666520710296669,0.0229155380766091
S00,B0,500,100,99.4,100,0.6,0,0.892390255198711,0.96409866313707,-0.000808431386907005,0.0230944574247704
VM080,B0,500,60.6,85,87.8,2.2,12.8,0.897686637426631,0.963434979855957,0.0223785143325987,0.0222041103094144
VM125,B0,500,39.4,74,77.6,1.6,24.4,0.864218588596074,0.964755774265013,-0.0320455714317389,0.0270945860730625
VM150,B0,500,0,97.6,98.4,0,2.4,0.825996378830313,0.966358578301567,-0.0619263802599825,0.030909481271406
