scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
F085,B0,Cmax,500,17.6,0.823933870472336,0.0350008074109763,0.0423562450589059,11.6971260646906,13.1070318803802,117,117
F085,B0,AUClast,500,0.2,0.761556392985022,0.0375262837937738,0.0492379444056182,12.3693109817357,13.92580972551,117,117
F085,B0,AUCinf_all,500,1,0.776137009569242,0.0368747900763282,0.0475084378381502,11.9605419416438,13.4768903092592,115.346,113.472
F085,B0,AUCinf_reliable,500,2.6,0.784056275371134,0.0422117161858259,0.0536441452823791,13.2316491109669,15.2180822523011,94.05,87.98
F085,B0,AUCinf_true,500,0.4,0.766191262663116,0.0355153999123589,0.0463258562293092,11.6745066015505,13.1447697338578,117,117
F085,B0,AUCinf_subC,500,0.2,0.762820780153805,0.0377494788913734,0.0494576775281739,12.3883027569012,13.9791593341146,117,117
F090,B0,Cmax,500,73.8,0.882511089153351,0.0371723093736431,0.0419996960512423,12.4279924474994,13.9272820369538,117,117
F090,B0,AUClast,500,25.4,0.839420337403735,0.0410655309847004,0.0488754063310913,13.5345920650944,15.2173931336112,117,117
F090,B0,AUCinf_all,500,36,0.849045688661949,0.0402528805866318,0.0474082679076542,13.0271609995425,14.5625165138989,115.346,114.286
F090,B0,AUCinf_reliable,500,36.4,0.855617966100333,0.0456173280167939,0.053189331998657,14.3297002388609,16.3594921247342,94.05,90.088
F090,B0,AUCinf_true,500,29.2,0.842327368490733,0.0387973458706477,0.0460284365373339,12.7544109595778,14.3722598933664,117,117
F090,B0,AUCinf_subC,500,26,0.840387266106907,0.0414086450076593,0.0492365042319988,13.5324410867223,15.2766388013656,117,117
F097,B0,Cmax,500,99.8,0.964605981457973,0.0402259339418244,0.0415840105705948,13.4549567607491,15.0750158191807,117,117
F097,B0,AUClast,500,96.4,0.951483511499981,0.0462004980973388,0.048503506554677,15.2159927539426,17.0964842646655,117,117
F097,B0,AUCinf_all,500,98.4,0.95397005038012,0.0449554379482644,0.047102703565036,14.5688033230642,16.2383281737895,115.346,115.088
F097,B0,AUCinf_reliable,500,96,0.956776715769403,0.0510396830823723,0.0532608814484123,15.8246870181118,18.3134683489798,94.05,92.944
F097,B0,AUCinf_true,500,98.6,0.951857383465311,0.0435402161523994,0.0457065778080409,14.3145093791188,16.1086265062336,117,117
F097,B0,AUCinf_subC,500,96.4,0.951736426013861,0.0462792566228689,0.0485871315763637,15.1749352583201,17.0977436046842,117,117
F110,B0,Cmax,500,86.2,1.11730955423741,0.045926418630239,0.04099353876915,15.370193760539,17.2696984091115,117,117
F110,B0,AUClast,500,43.6,1.16795064877559,0.0561708331463701,0.0480329162128075,18.4730423248415,20.7455593205713,117,117
F110,B0,AUCinf_all,500,52.6,1.15906431600904,0.0548440480192506,0.0472377256314823,17.6216952652134,19.8291983979627,115.346,115.972
F110,B0,AUCinf_reliable,500,55,1.15130375164883,0.0589510855363145,0.0509531560773474,18.7318153960586,21.3831816331873,94.05,96.954
F110,B0,AUCinf_true,500,48.2,1.16341541542098,0.05276116853393,0.0453080700557134,17.3464562503343,19.4251088963467,117,117
F110,B0,AUCinf_subC,500,44.8,1.16664326327588,0.0560983253997556,0.0480389387224816,18.3683771724766,20.6602863315781,117,117
