scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
F085,B0,Cmax,500,17.4,0.825569884982998,0.035457572708933,0.0428302451154621,11.6811222263298,13.0282805450311,117,117
F085,B0,AUClast,500,0.4,0.763557506988386,0.0412279672237668,0.0539084874128513,13.3777094140443,15.0793452195563,117,117
F085,B0,AUCinf_all,500,1.4,0.775941233375166,0.0403786850197514,0.0519445625584604,12.8434980560475,14.452436885298,116.244,115.252
F085,B0,AUCinf_reliable,500,3.4,0.78667327709386,0.0449570671413613,0.0569712098673582,13.8451132804919,15.7544106213745,98.168,93.118
F085,B0,AUCinf_true,500,0.8,0.767814412399648,0.0400188219925864,0.0520582330823534,12.9535856432114,14.5367695589684,117,117
F085,B0,AUCinf_subC,500,0.4,0.76535840642578,0.0410122387497749,0.0535138263273706,13.333718423266,15.0497817750082,117,117
F090,B0,Cmax,500,75.8,0.883571312216334,0.03762873844265,0.0424694600914734,12.4013350870002,13.8607861541948,117,117
F090,B0,AUClast,500,23.8,0.841005288928811,0.0449698925543149,0.0533864560475634,14.5969360036482,16.4204297237416,117,117
F090,B0,AUCinf_all,500,33.2,0.849378603817647,0.0440775622189477,0.0517770988193825,13.9669086231716,15.636574270964,116.244,115.64
F090,B0,AUCinf_reliable,500,36.2,0.857428454202096,0.0488565420377183,0.0566562887244138,14.9200541534704,16.9591960628908,98.168,95.03
F090,B0,AUCinf_true,500,26.6,0.843756902647196,0.0436303625941292,0.0516428147349971,14.1159326235174,15.8407204887481,117,117
F090,B0,AUCinf_subC,500,24.8,0.842144128279541,0.0445477745277603,0.0528403535246067,14.516554246934,16.3528229070054,117,117
F097,B0,Cmax,500,100,0.964873241282292,0.0406790800552188,0.0420450488109888,13.4126964499139,15.0307191499237,117,117
F097,B0,AUClast,500,94.8,0.952265759709435,0.0504106951368651,0.0528452425333581,16.3413680006379,18.3933827571067,117,117
F097,B0,AUCinf_all,500,97.2,0.954386673358836,0.0489975097483488,0.051242864995956,15.609642475127,17.55525550166,116.244,116.09
F097,B0,AUCinf_reliable,500,95,0.957348016295049,0.0522471947237514,0.0543548646642424,16.4529032744187,18.6818435630992,98.168,97.438
F097,B0,AUCinf_true,500,96.4,0.952819560939655,0.0488149749668892,0.0511597163103986,15.7838463141324,17.7047284131436,117,117
F097,B0,AUCinf_subC,500,95.2,0.952621479082091,0.049872149107452,0.0522830337829748,16.2120747494368,18.2415738302407,117,117
F110,B0,Cmax,500,87.6,1.11610531891565,0.0463690645705008,0.0414355045383212,15.2979950892394,17.1663683153194,117,117
F110,B0,AUClast,500,40.4,1.16653847724274,0.060927261482494,0.0521179319416876,19.690419198058,22.1606698305896,117,117
F110,B0,AUCinf_all,500,47,1.15936428919044,0.0589274600406401,0.0507476651814843,18.7694306588305,21.0776231317483,116.244,116.534
F110,B0,AUCinf_reliable,500,51.2,1.14962981577577,0.0627693924926526,0.0544335028381584,19.3835698013719,21.9499269689493,98.168,99.872
F110,B0,AUCinf_true,500,44.2,1.16288872628943,0.0587974631660466,0.0504807219572855,18.9935548948371,21.3731849431469,117,117
F110,B0,AUCinf_subC,500,41.4,1.16458710187013,0.0600852093460798,0.0515006902843493,19.4645148556021,21.9642654271735,117,117
KA075,B0,Cmax,500,69.4,0.88092572282553,0.0387429767630879,0.0438723101488569,12.8299628020089,14.3382923141442,117,117
KA075,B0,AUClast,500,94,0.953774330575885,0.0519488786550671,0.0543835085531023,16.8238584564921,18.994612726086,117,117
KA075,B0,AUCinf_all,500,97.8,0.960533439235965,0.0504391574976152,0.0524364027403582,16.0775969115548,18.0989919802485,116.244,115.592
KA075,B0,AUCinf_reliable,500,96,0.970842224522092,0.0562211774035637,0.0577792400598238,17.0824650660269,19.5212188768473,98.168,92.988
KA075,B0,AUCinf_true,500,94.8,0.95380670009126,0.0502919891059791,0.0526659379607373,16.2664921827374,18.2589500987928,117,117
KA075,B0,AUCinf_subC,500,94.2,0.95194302418252,0.0511287389352729,0.0536735305279058,16.685271207055,18.8275567921766,117,117
KE110,B0,Cmax,500,100,0.982342856012711,0.0414450304930458,0.0420753364115361,13.6564459730147,15.3068879307655,117,117
KE110,B0,AUClast,500,94.4,0.947413008396719,0.0498914419964845,0.0525575379612316,16.1547709895509,18.1736324044952,117,117
KE110,B0,AUCinf_all,500,95.4,0.948464826049072,0.0484200433885209,0.0509706777066434,15.4187234488261,17.3138513402992,116.244,116.12
KE110,B0,AUCinf_reliable,500,94.4,0.951206502356705,0.0516314874172973,0.0540903404884561,16.23525739417,18.3572906139486,98.168,98.536
KE110,B0,AUCinf_true,500,95,0.948194668637318,0.0482943006797633,0.0508546214470697,15.6031989233091,17.5448401225858,117,117
KE110,B0,AUCinf_subC,500,94.6,0.947835990330595,0.049283430502631,0.0519296342905208,16.0225541714036,18.0177417173023,117,117
KE120,B0,Cmax,500,100,0.965751190616616,0.0409302289729055,0.0422672560432418,13.4746594491977,15.0914159090019,117,117
KE120,B0,AUClast,500,72.6,0.899406028382053,0.0472949033799103,0.0524801780340691,15.309938349945,17.2251212854764,117,117
KE120,B0,AUCinf_all,500,76.6,0.901892008241571,0.0459575860216522,0.0508608905481714,14.6170366986189,16.4335252133416,116.244,116.018
KE120,B0,AUCinf_reliable,500,76,0.905509773506443,0.0504698379767943,0.0555143286115645,15.422850346044,17.7039331785705,98.168,98.786
KE120,B0,AUCinf_true,500,76.6,0.90132260717212,0.0458163620799806,0.0507507705678717,14.7959045929869,16.6331110861547,117,117
KE120,B0,AUCinf_subC,500,73.6,0.900279280344019,0.0466167342996878,0.0516995025885797,15.1934445123947,17.1325989322441,117,117
KM05,B0,Cmax,500,100,0.999576809940256,0.0419880723894149,0.0418921652332439,13.8468620936863,15.5209369421214,117,117
KM05,B0,AUClast,500,99.8,1.00035378952713,0.0527845025408073,0.0526694786623694,17.0978554160198,19.2486679534225,117,117
KM05,B0,AUCinf_all,500,100,1.00088140146612,0.0512696658673013,0.0511378345210498,16.3242025869919,18.3588087291961,116.244,116.19
KM05,B0,AUCinf_reliable,500,98.6,1.00157544209429,0.0557370563510686,0.05545884716409,17.1274062640784,19.4937718878677,98.168,97.978
KM05,B0,AUCinf_true,500,99.8,1.00002080996437,0.0510687433522005,0.0509931873604988,16.5086452715296,18.5320272256539,117,117
KM05,B0,AUCinf_subC,500,99.8,1.00045762889427,0.0521023461834163,0.0520073643093593,16.9531061420561,19.1140048441861,117,117
KM10,B0,Cmax,500,100,1.00141273588152,0.0419829258949271,0.0418103167320996,13.8450083977037,15.5120646192024,117,117
KM10,B0,AUClast,500,99.2,1.00948170762976,0.0530668224054663,0.0524615121264961,17.1689012055217,19.3366164040503,117,117
KM10,B0,AUCinf_all,500,100,0.995604646876343,0.0507515456831993,0.050908558192459,16.291591740943,18.3875803287544,116.244,116.52
KM10,B0,AUCinf_reliable,500,99,0.989603359872787,0.0547780252807526,0.0551867783870978,16.9716533949206,19.2492042713451,98.168,99.476
KM10,B0,AUCinf_true,500,99.8,1.00661486938478,0.0512343451020784,0.0508222724949432,16.5625219414075,18.6030699408431,117,117
KM10,B0,AUCinf_subC,500,99.8,1.00325229423189,0.0519903980257442,0.0517454322987597,16.9044684204368,19.0681790216217,117,117
KM2,B0,Cmax,500,100,1.00000987310894,0.0419888948789656,0.041874824596906,13.8470748495438,15.5159564516503,117,117
KM2,B0,AUClast,500,99.4,1.00196767975669,0.05282941587078,0.0526295858742676,17.1096837227254,19.2609663950721,117,117
KM2,B0,AUCinf_all,500,100,1.00019434573753,0.0512022081594537,0.0510942864706569,16.3245168051188,18.3712728691812,116.244,116.248
KM2,B0,AUCinf_reliable,500,98.6,1.00001131617764,0.0553512076878341,0.0551391568349775,17.1060787739238,19.5086588507705,98.168,98.214
KM2,B0,AUCinf_true,500,99.8,1.00126515218293,0.0510990042960142,0.0509597724262742,16.5184879060434,18.5452036771799,117,117
KM2,B0,AUCinf_subC,500,99.8,1.00126340347934,0.0521233071028749,0.0519859438900638,16.9470185597367,19.0964711007494,117,117
KM5,B0,Cmax,500,100,1.00061169428607,0.0419872359225027,0.0418480073591449,13.8464750073043,15.5098178612945,117,117
KM5,B0,AUClast,500,99.4,1.00484326202772,0.0529174736720191,0.0525640978509822,17.1325910464591,19.2831879878425,117,117
KM5,B0,AUCinf_all,500,100,0.998729438104012,0.0510278953139034,0.050994264227544,16.3115331250033,18.376243011142,116.244,116.348
KM5,B0,AUCinf_reliable,500,98.8,0.996823874953099,0.055899497144882,0.0559022274563608,17.0594088883207,19.4898231420322,98.168,98.56
