scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
F085,B0,Cmax,500,15.6,0.825569876056134,0.0354427210077437,0.0428567092765545,12.0240971170399,13.39973619746,117,117
F085,B0,AUClast,500,0.4,0.763587194171921,0.041316607118281,0.0541322270003965,13.8900963421059,15.6680913563801,117,117
F085,B0,AUCinf_all,500,0.8,0.776158738212798,0.0402772851996049,0.0518850605971933,13.3455050158589,14.9733409696118,116.244,115.252
F085,B0,AUCinf_reliable,500,3,0.787592504676371,0.0451596822300388,0.0572385237609574,14.3730226690319,16.4778721237584,98.168,93.118
F085,B0,AUCinf_true,500,0.6,0.767826266118908,0.0401445337460536,0.0523343539492821,13.4641302904911,15.1074164936249,117,117
F085,B0,AUCinf_subC,500,0.6,0.765390246307685,0.0410979580454359,0.0537333547846279,13.8419783268091,15.6189421415441,117,117
F090,B0,Cmax,500,74.6,0.883571183540216,0.0376106308822917,0.0424935948480943,12.7678486239207,14.2270314151217,117,117
F090,B0,AUClast,500,22.4,0.841035482436198,0.0450683714616639,0.0536105356073627,15.1578522849012,17.0773666334951,117,117
F090,B0,AUCinf_all,500,31.2,0.849540670776894,0.0440003599899161,0.051756799016468,14.5126747184267,16.2819203997022,116.244,115.64
F090,B0,AUCinf_reliable,500,35.4,0.858047705201394,0.0490816233758075,0.0569095746873972,15.4751779140486,17.6806262119482,98.168,95.03
F090,B0,AUCinf_true,500,25.8,0.843770598013933,0.0437670378689401,0.0519153122101925,14.6734785345178,16.4885092534217,117,117
F090,B0,AUCinf_subC,500,24.6,0.842184246208857,0.0446477279294516,0.053064549045818,15.071562888592,17.0377180688064,117,117
F097,B0,Cmax,500,99.8,0.964873218384642,0.0406572048856519,0.0420671729931728,13.8121116850393,15.4018704705731,117,117
F097,B0,AUClast,500,94,0.952299220867646,0.0505180105763316,0.0530630592334445,16.9701821296579,19.0865589687761,117,117
F097,B0,AUCinf_all,500,96.2,0.954507132245896,0.0489902954678693,0.0513076197540931,16.2189656585265,18.2310581056208,116.244,116.09
F097,B0,AUCinf_reliable,500,94,0.957286415949745,0.0527329526681274,0.054881452579577,17.0573910195894,19.2916613766793,98.168,97.438
F097,B0,AUCinf_true,500,94.8,0.952835917990634,0.0489670998840091,0.0514275291796272,16.4081071789026,18.4538107930035,117,117
F097,B0,AUCinf_subC,500,94.4,0.952661053495901,0.0499568225022552,0.0524737848336449,16.8334568809418,19.0353525977738,117,117
F110,B0,Cmax,500,86,1.11610543378793,0.0463389815794811,0.0414534935623502,15.7583128438859,17.5778378264907,117,117
F110,B0,AUClast,500,37.2,1.16658124248376,0.0610504430250277,0.0523225443783256,20.4480676038375,23.0284889706637,117,117
F110,B0,AUCinf_all,500,44.4,1.15933285471782,0.0589171141860498,0.0508305982776625,19.4980087879697,21.8600242016364,116.244,116.534
F110,B0,AUCinf_reliable,500,48.8,1.14892916223064,0.0632938223158409,0.0549875049613727,20.0829489779816,22.8862855548497,98.168,99.872
F110,B0,AUCinf_true,500,41,1.16291026075534,0.0589784919461886,0.050740855522415,19.7440864698526,22.1289940319034,117,117
F110,B0,AUCinf_subC,500,38.6,1.16463869533032,0.06024062535687,0.0517289082279604,20.2127762735376,22.7824384904634,117,117
KA075,B0,Cmax,500,69.6,0.880919318857585,0.0386958565577695,0.0438702200198129,13.1907148548447,14.7154051252078,117,117
KA075,B0,AUClast,500,92.8,0.95380483461743,0.0520457884342618,0.0545950279983015,17.4558009662367,19.7162744675947,117,117
KA075,B0,AUCinf_all,500,97,0.960838107376437,0.0505159792298646,0.0525893193538796,16.6907695157096,18.7628212137192,116.244,115.592
KA075,B0,AUCinf_reliable,500,94.4,0.971603552404713,0.0570312065283922,0.0586468495036718,17.7047435563301,20.2456711488334,98.168,92.988
KA075,B0,AUCinf_true,500,93.8,0.953820421915215,0.0504420690202092,0.0529367341849791,16.8931267085512,18.9974459923354,117,117
KA075,B0,AUCinf_subC,500,92.6,0.951976160541157,0.0512532151884227,0.0539106979573097,17.3089404338794,19.5883502616784,117,117
KE110,B0,Cmax,500,100,0.982345246945175,0.0414247034391417,0.0420989765439849,14.0605023506759,15.6772094104064,117,117
KE110,B0,AUClast,500,92,0.947447812795113,0.0499959586650447,0.0527692440405125,16.7724729351632,18.9021145728839,117,117
KE110,B0,AUCinf_all,500,94.8,0.948559910605302,0.0484017531716233,0.0510263674725761,16.016755536664,17.9975754662239,116.244,116.12
KE110,B0,AUCinf_reliable,500,92.8,0.951340140841191,0.0518053879497682,0.0543065855370353,16.8322489390323,19.0963317041737,98.168,98.536
KE110,B0,AUCinf_true,500,93.6,0.948211598506078,0.0484418038105333,0.0511163050475538,16.2166046936226,18.2149642799939,117,117
KE110,B0,AUCinf_subC,500,93.8,0.947876150050821,0.0493708368470773,0.0521198294631747,16.6335553155792,18.7397911882886,117,117
KE120,B0,Cmax,500,99.8,0.965756030611016,0.0409127819315262,0.0422929949251812,13.8698300568626,15.4620576676556,117,117
KE120,B0,AUClast,500,70.6,0.899441258273592,0.047390927146813,0.0526857522852367,15.891760290495,17.8939608326662,117,117
KE120,B0,AUCinf_all,500,75.4,0.901994233444814,0.0459095415732303,0.0508852442438926,15.1793721888688,17.0611445086444,116.244,116.018
KE120,B0,AUCinf_reliable,500,72.4,0.905821522773124,0.0503876231340835,0.0554541747762237,15.9834444498261,18.2070176346328,98.168,98.786
KE120,B0,AUCinf_true,500,74.4,0.901338984236034,0.0459539690206674,0.0510085784157093,15.374076593092,17.2667651576301,117,117
KE120,B0,AUCinf_subC,500,70.6,0.90031887840275,0.0466974140390745,0.0518886399223536,15.7687069115178,17.809284010073,117,117
KM05,B0,Cmax,500,100,0.999576863339941,0.0419641792752167,0.0419130835960889,14.2603199746597,15.902714335196,117,117
KM05,B0,AUClast,500,99,1.00038931767231,0.0528937626034019,0.0528819620895149,17.7562573330101,19.9938909120471,117,117
KM05,B0,AUCinf_all,500,99.8,1.00099327106925,0.0513262060633619,0.0512744394018875,16.9587027377829,19.0547269248749,116.244,116.19
KM05,B0,AUCinf_reliable,500,98.2,1.00156563885885,0.0560070112403813,0.0557891808940293,17.7543418755357,20.2870425534914,98.168,97.978
KM05,B0,AUCinf_true,500,99,1.0000383013963,0.0512274382745721,0.0512591893482173,17.161636689744,19.2758828690853,117,117
KM05,B0,AUCinf_subC,500,99.4,1.00049722886734,0.0522060759265761,0.0522087084213106,17.6029838907694,19.8814953979478,117,117
KM10,B0,Cmax,500,100,1.00141300102623,0.0419588800608009,0.0418309368907171,14.2587752902716,15.9006000635957,117,117
KM10,B0,AUClast,500,99.4,1.00951912190752,0.0531775432686858,0.0526724734051643,17.8305302141966,20.0555022479893,117,117
KM10,B0,AUCinf_all,500,100,0.995591792067767,0.0507669116700309,0.0510147889868237,16.923716739965,19.0133460001774,116.244,116.52
KM10,B0,AUCinf_reliable,500,98.2,0.989277488399045,0.0551914923529626,0.0557439594875272,17.5835272602723,19.9436896375307,98.168,99.476
