scenario,schedule,n_trials,pass_both_primary,agree_last_infrel,agree_last_infall,last_pass_infrel_fail,last_fail_infrel_pass,cor_logGMR_last_infrel,cor_logGMR_last_true,dlogGMR_last_minus_infrel_mean,dlogGMR_last_minus_infrel_sd
F090,B0,500,22.4,85.4,90.6,2.4,12.2,0.875551234399209,0.968566327324361,-0.0155914246492814,0.0246933449925124
F090,Bminus,500,23.2,86,92.2,3.8,10.2,0.864971309406077,0.968175663082785,-0.0132093334337374,0.0260715739371628
F090,D1,500,21.2,84.6,88,0.8,14.6,0.880114968995199,0.968929398505663,-0.0166362122358224,0.0244010695835562
F090,D2,500,21.2,85,87.2,0.6,14.4,0.878375730175944,0.968746486346975,-0.0173583256481297,0.0246911078182616
F090,D3,500,20.8,82.8,89,0.8,16.4,0.888621950142729,0.969085658864548,-0.0171843792161503,0.0235148511330678
F090,D4,500,21.6,85,88.4,2,13,0.875501335220199,0.968848363920878,-0.0160420323047998,0.0249842124734757
KE110,B0,500,96,97.4,98.6,1.4,1.2,0.882586732205285,0.968541237745308,-0.00188735426551443,0.0236080105006536
KE110,Bminus,500,96.2,97,99,2,1,0.878260878644372,0.968028354798602,-0.000614030954093203,0.0243380388434199
KE110,D1,500,95.8,96.8,98.4,1.4,1.8,0.886695366212179,0.968728774492414,-0.00268995200013409,0.0232853280599973
KE110,D2,500,95.6,96.6,98,1,2.4,0.883523932246035,0.968579952747975,-0.00341426899219989,0.0236530474145273
KE110,D3,500,95.8,97,98.6,1.2,1.8,0.900942917512942,0.96893009278044,-0.00336991639300269,0.0217670256186729
KE110,D4,500,96,97.2,98.4,1.4,1.4,0.883107367328067,0.968791253845978,-0.0031173925950987,0.0237283708718038
S00,B0,500,99.6,99.8,99.6,0,0.2,0.890307528863683,0.968773597470136,-0.000283113347081174,0.0228204433481406
S00,Bminus,500,99.8,99.6,99.8,0.2,0.2,0.885450439117101,0.968235935977002,-2.08318556149698e-05,0.0235340250385985
S00,D1,500,99.6,99.6,99.6,0,0.4,0.89314741116609,0.96900270095193,-0.000766394069474075,0.0225798672657673
S00,D2,500,99.6,99.8,99.6,0,0.2,0.887390175300974,0.968886278944441,-0.000614955257544538,0.0232068025087097
S00,D3,500,99.6,99.6,99.6,0,0.4,0.893959297621005,0.96929311368263,-0.00017140549584248,0.0225156235275957
S00,D4,500,99.6,99.8,99.6,0,0.2,0.893857392096802,0.968981801382907,-0.00105984702605561,0.0226421329723836
VM125,B0,500,37.4,70.4,73.4,1,28.6,0.843218826076593,0.969232665660537,-0.0358445208966178,0.0282412870285185
VM125,Bminus,500,38.8,72.8,77.8,1.8,25.4,0.83795604167373,0.969042581963777,-0.0319254507999458,0.0291062965657621
VM125,D1,500,36,69.2,70.8,0.4,30.4,0.845976174129543,0.969395900166841,-0.0375067925761686,0.0280971536929405
VM125,D2,500,35.6,68.8,70.2,0.2,31,0.844604432334411,0.969142796060668,-0.038465965275227,0.0282997018983316
VM125,D3,500,36.8,68.2,73.8,0.6,31.2,0.862697655863277,0.969355949625553,-0.0405985392395208,0.0264241754512518
VM125,D4,500,36,69.2,70.6,1,29.8,0.843256981765856,0.969520428924673,-0.0367663228110973,0.0284694343082802
