scenario,schedule,n_trials,pass_both_primary,agree_last_infrel,agree_last_infall,last_pass_infrel_fail,last_fail_infrel_pass,cor_logGMR_last_infrel,cor_logGMR_last_true,dlogGMR_last_minus_infrel_mean,dlogGMR_last_minus_infrel_sd
F090,B0,500,22.8,85.2,90,3.4,11.4,0.879105209374091,0.96938231611401,-0.013471420862483,0.0240876377484223
F090,Bminus,500,23.8,84.8,91.8,4.8,10.4,0.871888429172187,0.968712924896072,-0.0104033635500004,0.0250978916203532
F090,D1,500,22.4,85.6,89.4,2.2,12.2,0.875984283741584,0.969940999416936,-0.0138716825016357,0.0245417437844697
F090,D2,500,22.2,85.2,88.8,2.2,12.6,0.87561501016482,0.969886902374299,-0.0149577098487681,0.0247610308473099
F090,D3,500,22,86.4,91.6,1.4,12.2,0.895480873605836,0.970245289851443,-0.0137348731856386,0.0225377500603649
F090,D4,500,22.4,84.6,89,3.6,11.8,0.877229720605363,0.970015376222591,-0.0140566214650821,0.0243791843010086
KE110,B0,500,96,96.2,98.6,2.6,1.2,0.8773846472634,0.96859285298115,-0.000581742062344708,0.0241404616548599
KE110,Bminus,500,96.2,96.4,98.6,2.8,0.8,0.872536557964058,0.967839554746645,0.00138220731916889,0.0248658059618985
KE110,D1,500,95.6,96.8,98.8,1.8,1.4,0.880413988732733,0.96932009768921,-0.00145089591748764,0.0237591682521429
KE110,D2,500,95.6,96.6,98.8,1.8,1.6,0.880352650944617,0.969254661112339,-0.00210269194224662,0.0239006743143993
KE110,D3,500,95.6,96.2,99,1.8,2,0.901815146665673,0.969676677477943,-0.00280979937215553,0.0217311270552903
KE110,D4,500,95.6,97,98.8,1.8,1.2,0.888732714914744,0.969299126371316,-0.00119417245637502,0.0230384227420547
S00,B0,500,99.8,100,99.8,0,0,0.883204058273603,0.969065942808995,0.000442202702671603,0.0234767382124732
S00,Bminus,500,100,100,100,0,0,0.879211943654794,0.968090609156547,0.000921911514825076,0.0239777388867495
S00,D1,500,100,100,100,0,0,0.885843426645361,0.969599531309079,0.000476628611729059,0.0231672106000216
S00,D2,500,100,99.6,100,0.4,0,0.884089599428214,0.969532189934651,0.000555641526388459,0.0235781800573522
S00,D3,500,100,99.8,100,0.2,0,0.908651740549872,0.969838169801587,0.000684397571801031,0.0207436192634884
S00,D4,500,99.8,99.8,99.8,0,0.2,0.889255976876131,0.969696794133451,2.26443658611114e-05,0.0229393469964226
VM125,B0,500,39.8,73.8,77.4,2.8,23.4,0.866196507923446,0.969533758921734,-0.0303558221209288,0.0259160909103274
VM125,Bminus,500,42.2,77,83.8,3,20,0.853155127526811,0.969134576078176,-0.0258464361906599,0.0274377296947692
VM125,D1,500,38.2,72.6,73.8,1.8,25.6,0.868068213464827,0.970201091472346,-0.0327097514603979,0.0258867616302669
VM125,D2,500,38.6,72.6,73.6,2,25.4,0.869714958058024,0.970048982116813,-0.0339040809973232,0.0259415926905817
VM125,D3,500,38.8,71.2,78.6,1,27.8,0.887020767636687,0.97031252140676,-0.0335980525993965,0.023976642769154
VM125,D4,500,38.4,74,73.4,0.8,25.2,0.873063385413634,0.970185801542786,-0.031586514956233,0.0253338801413839
