scenario,schedule,n_trials,pass_both_primary,agree_last_infrel,agree_last_infall,last_pass_infrel_fail,last_fail_infrel_pass,cor_logGMR_last_infrel,cor_logGMR_last_true,dlogGMR_last_minus_infrel_mean,dlogGMR_last_minus_infrel_sd
KE110,B0,500,94.4,93,96.4,4,3,0.747551322204349,0.968588841472265,-0.00100563480134294,0.0376402658975122
KE110,Bminus,500,94.6,92.8,96.6,3.6,3.6,0.739786919129063,0.968530707263458,-0.00165078133974879,0.0382036155185115
KE110,D1,500,93.8,92.6,96,4.2,3.2,0.753867608737196,0.968962909009971,-0.00178673932610618,0.037331273193835
KE110,D2,500,93.8,93,96,3.4,3.6,0.75952971265195,0.968973757920827,-0.00199317937527854,0.0366663169570751
KE110,D3,500,93.6,93.2,95.8,2.8,4,0.773730653639952,0.969244093022203,-0.00350465845745087,0.0352668306266561
KE110,D4,500,93.8,93,96,3.2,3.8,0.736861344472092,0.968973482713436,-0.00324459687468034,0.038195019817272
S00,B0,500,99.4,99.2,99.6,0.4,0.4,0.754734421542007,0.969405839814625,0.0008804178944005,0.0370351093926293
S00,Bminus,500,99.4,99.4,99.4,0.2,0.4,0.744890846861481,0.969422862283444,0.000938014641958746,0.0374800380655333
S00,D1,500,99.4,98.8,99.6,0.8,0.4,0.763994896464112,0.969735555427211,0.00108849840486728,0.0364210060620747
S00,D2,500,99.4,99.4,99.6,0.2,0.4,0.761527275661886,0.969734418044603,0.000715932968532917,0.0364469872623898
S00,D3,500,99.4,99,99.6,0.8,0.2,0.767037170246154,0.969966590231618,0.000707214671453059,0.0360402000152969
S00,D4,500,99.4,99.2,99.6,0.4,0.4,0.746378575379103,0.969724785639272,0.000324647660411964,0.0375778783160207
