scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
F090,B0,Cmax,500,72.2,0.881248261336055,0.0378767396023445,0.0428666715130603,12.7662669105247,14.2917060212645,117,117
F090,B0,AUClast,500,24.2,0.840207656365907,0.04082671860506,0.0485848722948258,14.1141636900512,15.7936213275341,117,117
F090,B0,AUCinf_all,500,33.6,0.84961036396822,0.0406364987134964,0.0478168349821685,13.6006055471733,15.0843059054257,115.114,113.972
F090,B0,AUCinf_reliable,500,31.6,0.853658307559544,0.04441287773413,0.0519903635693534,14.403316587852,16.2184705144134,101.136,97.92
F090,B0,AUCinf_true,500,27.8,0.843083296106349,0.0394391854504291,0.0467826033731269,13.3432292155645,14.8801650308266,117,117
F090,D2,Cmax,500,72.2,0.881247944266439,0.0378765077108844,0.0428664121419322,12.7662637115922,14.2917060212645,117,117
F090,D2,AUClast,500,23,0.839672867753233,0.0409662832336535,0.0487806599631232,14.1622093582106,15.8567861356352,117,117
F090,D2,AUCinf_all,500,35,0.850321871425295,0.0402468596112299,0.0473217291771288,13.5035373300699,14.9690098016639,115.186,114.054
F090,D2,AUCinf_reliable,500,34,0.853708212310676,0.0430011418730492,0.0503954934739016,14.2747958060213,15.9887570608536,101.628,98.39
F090,D2,AUCinf_true,500,27.8,0.843083296106349,0.0394391854504291,0.0467826033731269,13.3432292155645,14.8801650308266,117,117
S00,B0,Cmax,500,99.8,0.998365273007824,0.0423786881204139,0.0423353438916194,14.2806512354542,15.9075857510222,117,117
S00,B0,AUClast,500,99.8,0.999839169387342,0.0481849742198566,0.0481692962312743,16.6147901097128,18.545267932216,117,117
S00,B0,AUCinf_all,500,99.8,0.999350465162534,0.0467623997958566,0.0467826184542431,15.9038132068561,17.5813369320602,115.114,115.134
S00,B0,AUCinf_reliable,500,99.6,0.999723608377132,0.049580253935412,0.0495907130127642,16.6829244454382,18.6859198707726,101.136,101.18
S00,B0,AUCinf_true,500,100,0.999239621933364,0.0463385486206201,0.0463672595681099,15.6720719441194,17.4526191049216,117,117
S00,D2,Cmax,500,99.8,0.998364913816815,0.0423784225364014,0.0423350818390552,14.2806476996757,15.9075857510222,117,117
S00,D2,AUClast,500,99.8,0.99981429614426,0.0484087883305159,0.0483925082174841,16.6815111254293,18.662975325285,117,117
S00,D2,AUCinf_all,500,99.8,0.999311290200673,0.0462831150094095,0.0463078870488837,15.7917375668566,17.4229067283648,115.186,115.204
S00,D2,AUCinf_reliable,500,99.8,0.998819056168504,0.0483927038440963,0.048459329477135,16.5149930187189,18.4502006940505,101.628,101.732
S00,D2,AUCinf_true,500,100,0.999239621933364,0.0463385486206201,0.0463672595681099,15.6720719441194,17.4526191049216,117,117
