scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
F090,B0,Cmax,500,72.4,0.881219581783606,0.0379737552819379,0.042951054356108,12.4055260061107,13.8928196394478,117,117
F090,B0,AUClast,500,25.8,0.84023785273347,0.0406029013015895,0.0482644909423458,13.5192971556546,15.2274422435507,117,117
F090,B0,AUCinf_all,500,35.4,0.849376478407682,0.0403460485834542,0.0474358633543975,13.0307993599636,14.4788352735411,115.114,113.972
F090,B0,AUCinf_reliable,500,34.8,0.852983998874592,0.0437964152593549,0.0512373607160517,13.8040903489846,15.4158243188959,101.136,97.92
F090,B0,AUCinf_true,500,30,0.843070154203596,0.0390972689245746,0.0462949426154365,12.7397562141847,14.3568119797353,117,117
F090,D2,Cmax,500,72.4,0.881219263380243,0.0379735308257982,0.0429508024684328,12.4055219716648,13.8928196394478,117,117
F090,D2,AUClast,500,24.2,0.83970382066312,0.0407411661924717,0.0484586858424494,13.5658315772791,15.2422717201609,117,117
F090,D2,AUCinf_all,500,37,0.850097587263892,0.0399648816133847,0.0469527257569272,12.9356133574441,14.3861453460013,115.186,114.054
F090,D2,AUCinf_reliable,500,37,0.853170797739363,0.0422708893963176,0.0495344210674023,13.6771583380781,15.2596984992063,101.628,98.39
F090,D2,AUCinf_true,500,30,0.843070154203596,0.0390972689245746,0.0462949426154365,12.7397562141847,14.3568119797353,117,117
KE110,B0,Cmax,500,99.8,0.980102547328746,0.0418579249563863,0.0425714033677847,13.6820559886593,15.3085026650151,117,117
KE110,B0,AUClast,500,96.6,0.948128544220795,0.0454821123704426,0.0478977265224546,15.1175177462705,17.0085264027995,117,117
KE110,B0,AUCinf_all,500,97.8,0.94933525670169,0.0446574735551237,0.0469915728403411,14.4896347649267,16.073905254756,115.114,114.918
KE110,B0,AUCinf_reliable,500,95.4,0.949565796419665,0.0474983301454122,0.0499459092491022,15.2290679951157,17.1444745139871,101.136,100.846
KE110,B0,AUCinf_true,500,98.6,0.948790595468419,0.0436687962891285,0.0459379946177291,14.2244586791624,15.9486956352458,117,117
KE110,D2,Cmax,500,99.8,0.980102193261001,0.0418576746613826,0.0425711508631124,13.6820515478733,15.3083916453649,117,117
KE110,D2,AUClast,500,96.2,0.947746684280234,0.0456627241895273,0.0481041095961018,15.1730736473567,17.0585764339122,117,117
KE110,D2,AUCinf_all,500,98.4,0.949954728470662,0.0442041425888628,0.0464937766436053,14.3900952834279,16.0128178030882,115.186,114.992
KE110,D2,AUCinf_reliable,500,95.4,0.949291767737236,0.0466306429246194,0.0490948438032619,15.0873345326111,16.854324430052,101.628,101.208
KE110,D2,AUCinf_true,500,98.6,0.948790595468419,0.0436687962891285,0.0459379946177291,14.2244586791624,15.9486956352458,117,117
S00,B0,Cmax,500,99.8,0.998332235289096,0.0424989299646647,0.0424309172386535,13.8738547788821,15.5359959822198,117,117
S00,B0,AUClast,500,100,0.999875016616903,0.0479323668113509,0.0478680522022711,15.9184305410036,17.8984647680294,117,117
S00,B0,AUCinf_all,500,100,0.999327873691467,0.0463951354786967,0.0463598835644915,15.2474455887699,16.9138465234328,115.114,115.134
S00,B0,AUCinf_reliable,500,99.8,0.999249922702523,0.0492173499137521,0.0492021970464425,16.0001870902832,17.9054301711574,101.136,101.18
S00,B0,AUCinf_true,500,100,0.999222881160261,0.0459373674215519,0.0458854444742326,14.9677914998736,16.7786826268998,117,117
S00,D2,Cmax,500,99.8,0.998331874589821,0.0424986730422365,0.0424306628919363,13.8738502811483,15.5338595586288,117,117
S00,D2,AUClast,500,100,0.999851616000547,0.0481596770604153,0.0480937558602391,15.9831766835602,17.9296833980256,117,117
S00,D2,AUCinf_all,500,100,0.999293408201436,0.0458976503916343,0.0458718009103454,15.1362592057454,16.8380054059848,115.186,115.204
S00,D2,AUCinf_reliable,500,99.8,0.998654722676619,0.0478571844042612,0.0479197529062627,15.8383109542571,17.6762791195214,101.628,101.732
S00,D2,AUCinf_true,500,100,0.999222881160261,0.0459373674215519,0.0458854444742326,14.9677914998736,16.7786826268998,117,117
