scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
F090,B0,Cmax,500,75.4,0.882840522338202,0.0380756205628003,0.0430036921699395,12.4270530529642,13.9259833581402,117,117
F090,B0,AUClast,500,25,0.840015679667538,0.0412475579254429,0.0490647650737806,13.5411503782587,15.1922756074028,117,117
F090,B0,AUCinf_all,500,34,0.849399045331302,0.040186906887103,0.0472808832758631,13.0443032867265,14.5487682189482,115.444,114.386
F090,B0,AUCinf_reliable,500,35,0.85284170058279,0.0419408476914459,0.0491456748095665,13.8227614250432,15.4946162683353,101.23,98.272
F090,B0,AUCinf_true,500,29.2,0.842327368490731,0.0387973458706421,0.0460284365373275,12.7544109595775,14.3722598933659,117,117
F090,Bminus,Cmax,500,75.4,0.882840522338202,0.0380756205628003,0.0430036921699395,12.4270530529642,13.9259833581402,117,117
F090,Bminus,AUClast,500,25.8,0.840748130844019,0.0410540556348734,0.0487936474818048,13.4787185108846,15.0979737797147,117,117
F090,Bminus,AUCinf_all,500,32.6,0.848176882106208,0.0405822136471344,0.0478223668135675,13.190594111765,14.7162891974445,115.424,114.36
F090,Bminus,AUCinf_reliable,500,32.4,0.851556125552965,0.0429690469421432,0.0503932696431199,13.9442039591233,15.648416144271,101.18,98.166
F090,Bminus,AUCinf_true,500,29.2,0.842327368490731,0.0387973458706421,0.0460284365373275,12.7544109595775,14.3722598933659,117,117
F090,D1,Cmax,500,75.4,0.882840522338202,0.0380756205628003,0.0430036921699395,12.4270530529642,13.9259833581402,117,117
F090,D1,AUClast,500,24.8,0.83951475508241,0.0413378723396723,0.0492004491984575,13.5844980251981,15.2356132260348,117,117
F090,D1,AUCinf_all,500,35.2,0.850157104919904,0.0400496331099285,0.0470784460983375,12.9695669770091,14.5386117183521,115.506,114.462
F090,D1,AUCinf_reliable,500,36.2,0.852986821600211,0.0422175422519801,0.0494771756747463,13.7060570079124,15.4132652163639,102.132,98.844
F090,D1,AUCinf_true,500,29.2,0.842327368490731,0.0387973458706421,0.0460284365373275,12.7544109595775,14.3722598933659,117,117
F090,D2,Cmax,500,75.4,0.882840522338202,0.0380756205628003,0.0430036921699395,12.4270530529642,13.9259833581402,117,117
F090,D2,AUClast,500,24.6,0.839495047467714,0.041344389253913,0.0492129188993198,13.5883151426361,15.2454852973811,117,117
F090,D2,AUCinf_all,500,35.8,0.850382845343895,0.039965881323748,0.0469723426402853,12.9512198147429,14.5392232818561,115.514,114.478
F090,D2,AUCinf_reliable,500,37.2,0.853575846683346,0.04268204656565,0.0499563122060926,13.6819087464615,15.4020985272964,101.95,98.816
F090,D2,AUCinf_true,500,29.2,0.842327368490731,0.0387973458706421,0.0460284365373275,12.7544109595775,14.3722598933659,117,117
F090,D3,Cmax,500,75.4,0.882837879192634,0.0380751242458038,0.0430029407779852,12.4266481658445,13.9259833581402,117,117
F090,D3,AUClast,500,25,0.839717968641493,0.0413155667457875,0.0491695530986846,13.5605037122591,15.194934446899,117,117
F090,D3,AUCinf_all,500,35.2,0.849110111291106,0.0402873868606903,0.0474166078899099,13.0183518733382,14.5720407485627,116.048,115.188
F090,D3,AUCinf_reliable,500,37.8,0.853473358969218,0.0425385644966656,0.0498017821060932,13.5614074877603,15.2435596883148,104.668,101.606
F090,D3,AUCinf_true,500,29.2,0.842327368490731,0.0387973458706421,0.0460284365373275,12.7544109595775,14.3722598933659,117,117
F090,D4,Cmax,500,75.4,0.882840522338202,0.0380756205628003,0.0430036921699395,12.4270530529642,13.9259833581402,117,117
F090,D4,AUClast,500,24.8,0.839558288211512,0.0413643910871647,0.0492231738606356,13.5855987751989,15.2349766946855,117,117
F090,D4,AUCinf_all,500,35.8,0.850091309323884,0.0400525990983456,0.0470965994653398,12.9594793167281,14.4744874069569,115.506,114.468
F090,D4,AUCinf_reliable,500,35.8,0.85268382468336,0.0424591584860902,0.0497918013315207,13.7578328363877,15.5541176067586,101.354,98.22
F090,D4,AUCinf_true,500,29.2,0.842327368490731,0.0387973458706421,0.0460284365373275,12.7544109595775,14.3722598933659,117,117
S00,B0,Cmax,500,100,1.00016773686118,0.0426119348322959,0.0424912026660072,13.8968841501344,15.5863896673473,117,117
S00,B0,AUClast,500,100,1.00113991857855,0.0487883371834073,0.0486914297529581,15.9604378978157,17.8925863253412,117,117
S00,B0,AUCinf_all,500,100,1.00039813071467,0.0464490630571068,0.0463570914551658,15.2828693766198,17.0272569358504,115.444,115.496
S00,B0,AUCinf_reliable,500,99.8,1.00155339427039,0.0482743121385934,0.0482752830977405,16.0695645327554,18.0099349010104,101.23,101.066
S00,B0,AUCinf_true,500,100,0.999779439290739,0.0456224542202146,0.0455950517761457,14.9992831688553,16.8326255854366,117,117
S00,Bminus,Cmax,500,100,1.00016773686118,0.0426119348322959,0.0424912026660072,13.8968841501344,15.5863896673473,117,117
S00,Bminus,AUClast,500,100,1.00115875385968,0.048461401897833,0.0483632944806355,15.853894897964,17.7326574653735,117,117
S00,Bminus,AUCinf_all,500,100,1.00048265527532,0.047085369591716,0.0470057204709196,15.5035065113645,17.244640535405,115.424,115.466
S00,Bminus,AUCinf_reliable,500,99.8,1.00141613361255,0.0493765127037391,0.0493436527056043,16.2559934549393,18.1871869517931,101.18,100.998
S00,Bminus,AUCinf_true,500,100,0.999779439290739,0.0456224542202146,0.0455950517761457,14.9992831688553,16.8326255854366,117,117
S00,D1,Cmax,500,100,1.00016773686118,0.0426119348322959,0.0424912026660072,13.8968841501344,15.5863896673473,117,117
S00,D1,AUClast,500,100,1.00111669419614,0.0489251851060874,0.0488249427953549,16.0175218633049,17.9512474176718,117,117
S00,D1,AUCinf_all,500,100,1.00055487178092,0.0462800908890836,0.0461811008471931,15.2018418473308,16.9737848038168,115.506,115.546
S00,D1,AUCinf_reliable,500,100,1.00189774713808,0.0479810228189385,0.0479283281660927,15.9443959979379,17.9438403087721,102.132,101.876
S00,D1,AUCinf_true,500,100,0.999779439290739,0.0456224542202146,0.0455950517761457,14.9992831688553,16.8326255854366,117,117
S00,D2,Cmax,500,100,1.00016773686118,0.0426119348322959,0.0424912026660072,13.8968841501344,15.5863896673473,117,117
S00,D2,AUClast,500,100,1.00113850898091,0.0489430265748874,0.0488438492421912,16.0254866679993,17.9562955574383,117,117
S00,D2,AUCinf_all,500,100,1.00065441375814,0.0461685573086943,0.0460668349781141,15.1729280074444,16.9460606626867,115.514,115.55
S00,D2,AUCinf_reliable,500,100,1.00172950685992,0.0481934142689982,0.04810147786685,15.8968591226765,17.9150898910119,101.95,101.678
S00,D2,AUCinf_true,500,100,0.999779439290739,0.0456224542202146,0.0455950517761457,14.9992831688553,16.8326255854366,117,117
S00,D3,Cmax,500,100,1.00016946219629,0.0426122775357459,0.042491419554061,13.8962710931546,15.5863896673473,117,117
S00,D3,AUClast,500,100,1.00110738271382,0.0487595484052722,0.0486642675034451,15.969852104608,17.8936038740028,117,117
S00,D3,AUCinf_all,500,100,1.00088375297032,0.046722722857243,0.0466121181055888,15.3096785883546,17.0709964446601,116.048,116.068
S00,D3,AUCinf_reliable,500,100,1.00102958672491,0.0486344638682394,0.0485521190129006,15.7728720337398,17.7583723611392,104.668,104.672
S00,D3,AUCinf_true,500,100,0.999779439290739,0.0456224542202146,0.0455950517761457,14.9992831688553,16.8326255854366,117,117
S00,D4,Cmax,500,100,1.00016773686118,0.0426119348322959,0.0424912026660072,13.8968841501344,15.5863896673473,117,117
S00,D4,AUClast,500,100,1.00113464749191,0.048954485477595,0.0488509945787243,16.0195333515143,17.9251850823666,117,117
