scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
F090,B0,Cmax,500,78.2,0.882027790773381,0.0360572902460913,0.0407750198481621,11.6663987474288,13.0726699196541,117,117
F090,B0,AUClast,500,25.4,0.839150870203879,0.039692547340183,0.0472616967368273,13.1943835464641,14.7935666738002,117,117
F090,B0,AUCinf_all,500,33.6,0.846779323055717,0.0388943773367767,0.0459241371587539,12.678075875629,14.0401287660984,116.32,115.754
F090,B0,AUCinf_reliable,500,38.8,0.852841370054533,0.0412788621190863,0.0485349787948044,13.2527893257088,14.9213899988225,102.618,100.094
F090,B0,AUCinf_true,500,29.2,0.842327368490729,0.0387973458706446,0.0460284365373298,12.7544109595775,14.3722598933661,117,117
F090,B0,AUCinf_subC,500,27.2,0.840938709355634,0.0397327681456009,0.0472085630685532,13.1210611710855,14.7611753847844,117,117
F090,D2,Cmax,500,78.2,0.882027790773381,0.0360572902460913,0.0407750198481621,11.6663987474288,13.0726699196541,117,117
F090,D2,AUClast,500,24.8,0.838538290067548,0.0398561112436479,0.0474885379284046,13.2529242148743,14.8614718367371,117,117
F090,D2,AUCinf_all,500,36.4,0.847645925440757,0.0385928416493694,0.0455251492500732,12.5787450261165,13.9147378348108,116.322,115.764
F090,D2,AUCinf_reliable,500,41.2,0.856607409528816,0.0413168939637877,0.0483967730542046,13.2409585533841,14.9145882332038,99.69,98.202
F090,D2,AUCinf_true,500,29.2,0.842327368490729,0.0387973458706446,0.0460284365373298,12.7544109595775,14.3722598933661,117,117
F090,D2,AUCinf_subC,500,28,0.841818497027695,0.0393763940804882,0.0467449881703714,13.0247309939188,14.6433204898778,117,117
KE110,B0,Cmax,500,100,0.981081970097502,0.0397000285139313,0.0403641883898256,12.856037222732,14.4029993714895,117,117
KE110,B0,AUClast,500,97.4,0.948064345479616,0.044456984771324,0.0468442745570208,14.7612277837333,16.4919111244849,117,117
KE110,B0,AUCinf_all,500,98.4,0.948674954859713,0.0432898633124349,0.045600889212402,14.1485576737947,15.699482593579,116.32,116.282
KE110,B0,AUCinf_reliable,500,97.6,0.948828889824961,0.0443333066317964,0.0467894253259907,14.608752681625,16.4130691526444,102.618,102.934
KE110,B0,AUCinf_true,500,98.2,0.949021845307834,0.0433610449437892,0.0456512852763365,14.2520711083474,16.0017292565315,117,117
KE110,B0,AUCinf_subC,500,97.8,0.948600744092409,0.0441452124264055,0.0464845910125418,14.6218762251388,16.4153683378657,117,117
KE110,D2,Cmax,500,100,0.981081970097502,0.0397000285139313,0.0403641883898256,12.856037222732,14.4029993714895,117,117
KE110,D2,AUClast,500,97.2,0.947665082740338,0.0446764901321839,0.0470911141504945,14.8311243214749,16.5777036256478,117,117
KE110,D2,AUCinf_all,500,98.8,0.949328739495859,0.0429088092379137,0.0451836239328145,14.0398198574713,15.575849875556,116.322,116.292
KE110,D2,AUCinf_reliable,500,97,0.95155172945597,0.0450567726238193,0.0473506589575716,14.575637604463,16.4238696421936,99.69,100.474
KE110,D2,AUCinf_true,500,98.2,0.949021845307834,0.0433610449437892,0.0456512852763365,14.2520711083474,16.0017292565315,117,117
KE110,D2,AUCinf_subC,500,97.8,0.949143144651699,0.0438112128699584,0.0461117973575038,14.5087558860133,16.2884516304354,117,117
S00,B0,Cmax,500,100,0.998483323117074,0.0402506290023418,0.0402092902912554,13.0160267838942,14.6094832464689,117,117
S00,B0,AUClast,500,100,1.00017814669075,0.0468823078047255,0.0468273323432789,15.5465802904338,17.3919805727038,117,117
S00,B0,AUCinf_all,500,100,0.999574499558532,0.0451964200127268,0.0451989903100413,14.8950234569097,16.609926254231,116.32,116.316
S00,B0,AUCinf_reliable,500,99.8,0.998276551563093,0.0467190668390577,0.046910793699493,15.3287788110352,17.1868674197594,102.618,102.686
S00,B0,AUCinf_true,500,100,0.99977943929074,0.0456224542202169,0.0455950517761477,14.9992831688552,16.8326255854376,117,117
S00,B0,AUCinf_subC,500,100,0.999953483207405,0.0464628938424731,0.0464286387438767,15.3860418571326,17.267810860365,117,117
S00,D2,Cmax,500,100,0.998483323117074,0.0402506290023418,0.0402092902912554,13.0160267838942,14.6094832464689,117,117
S00,D2,AUClast,500,100,1.00016470898329,0.0471330298766056,0.0470761982039183,15.6261044216029,17.4684392579609,117,117
S00,D2,AUCinf_all,500,100,0.999617460139249,0.0447921521444232,0.0447989845864922,14.776201381253,16.4657910230529,116.322,116.32
S00,D2,AUCinf_reliable,500,100,1.00000292107319,0.0465342032344559,0.0466010233989004,15.2932151774443,17.2713619532186,99.69,100.156
S00,D2,AUCinf_true,500,100,0.99977943929074,0.0456224542202169,0.0455950517761477,14.9992831688552,16.8326255854376,117,117
S00,D2,AUCinf_subC,500,100,1.00006168929704,0.04607837756317,0.0460392591377015,15.2631547182347,17.1509034246279,117,117
