scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
KE110,B0,Cmax,500,99.6,0.982431524086389,0.0444706993535177,0.0451114679945103,14.548254049649,16.3565543309389,117,117
KE110,B0,AUClast,500,95.4,0.953212619164782,0.0491441970238686,0.0514857047250789,16.0829018971377,18.2905167944296,117,117
KE110,B0,AUCinf_all,500,98,0.955551198012135,0.0461624589038708,0.0482738870707479,15.0987178437296,16.8549872116385,112.658,112.18
KE110,B0,AUCinf_reliable,500,95,0.953927176163818,0.0509566421237727,0.0533464894301338,16.9418958915082,19.4294602033379,85.078,85.076
KE110,B0,AUCinf_true,500,97.4,0.953371934040666,0.0457102910501377,0.0478796761405356,14.9883968335636,17.0420634027169,117,117
KE110,B0,AUCinf_subC,500,95.4,0.95357927045378,0.0496723450625749,0.0520253036382718,16.1860289684489,18.4746564562031,117,117
KE110,Bminus,Cmax,500,99.6,0.982431524086389,0.0444706993535177,0.0451114679945103,14.548254049649,16.3565543309389,117,117
KE110,Bminus,AUClast,500,95.4,0.953349278491182,0.0490530338674085,0.0513818958286231,16.0516459338759,18.2637186688542,117,117
KE110,Bminus,AUCinf_all,500,98,0.955384787781305,0.0464068224882951,0.0485339261583502,15.1728002204527,16.9947538805464,112.646,112.172
KE110,Bminus,AUCinf_reliable,500,95.8,0.9547468107326,0.0509464747403988,0.0532825743977114,16.9470791197567,19.524776350911,84.4,84.62
KE110,Bminus,AUCinf_true,500,97.4,0.953371934040666,0.0457102910501377,0.0478796761405356,14.9883968335636,17.0420634027169,117,117
KE110,Bminus,AUCinf_subC,500,95.4,0.953627883860322,0.0496903613883221,0.0520422910308474,16.1919807382739,18.4726225296524,117,117
KE110,D1,Cmax,500,99.6,0.982431524086389,0.0444706993535177,0.0451114679945103,14.548254049649,16.3565543309389,117,117
KE110,D1,AUClast,500,95.4,0.952908115433474,0.0493278937825193,0.0516912334456574,16.1374152263183,18.3660451387483,117,117
KE110,D1,AUCinf_all,500,98.2,0.956194929866652,0.0457747603200937,0.0478526579964436,14.9710171809842,16.6971302614519,112.708,112.238
KE110,D1,AUCinf_reliable,500,94.8,0.954288461163617,0.0508014011631719,0.0532182094036231,16.733818681732,19.0528959123408,85.436,85.25
KE110,D1,AUCinf_true,500,97.4,0.953371934040666,0.0457102910501377,0.0478796761405356,14.9883968335636,17.0420634027169,117,117
KE110,D1,AUCinf_subC,500,95.6,0.953868862715821,0.04947560398949,0.051805390524238,16.1105098423734,18.3846186349917,117,117
KE110,D2,Cmax,500,99.6,0.982431524086389,0.0444706993535177,0.0451114679945103,14.548254049649,16.3565543309389,117,117
KE110,D2,AUClast,500,95.4,0.952899033038488,0.0493363131980413,0.0517008476889284,16.1406647600881,18.3666721784315,117,117
KE110,D2,AUCinf_all,500,98.2,0.956221247802626,0.0457606267153672,0.0478355629349024,14.9624263879451,16.6932304802892,112.708,112.238
KE110,D2,AUCinf_reliable,500,95.6,0.954437843995702,0.0503768833734659,0.0527959289619488,16.7286905069999,19.1325324602673,85.478,85.324
KE110,D2,AUCinf_true,500,97.4,0.953371934040666,0.0457102910501377,0.0478796761405356,14.9883968335636,17.0420634027169,117,117
KE110,D2,AUCinf_subC,500,95.6,0.953882339243956,0.0494652655521541,0.0517910789545042,16.1061860741009,18.3831323692039,117,117
KE110,D3,Cmax,500,99.6,0.982431266977772,0.0444707187870697,0.0451114822815527,14.5482376383505,16.3565543309389,117,117
KE110,D3,AUClast,500,95.2,0.952654623654862,0.0494690405875341,0.0518552705063069,16.1724630590698,18.3831908451179,117,117
KE110,D3,AUCinf_all,500,98.2,0.956779705977617,0.045304629921554,0.0473155838177461,14.9124717664165,16.6530464912746,113.606,113.086
KE110,D3,AUCinf_reliable,500,96,0.955627181971864,0.0496107396857728,0.0519377025977507,16.3970239903848,18.6313903952197,88.17,87.66
KE110,D3,AUCinf_true,500,97.4,0.953371934040666,0.0457102910501377,0.0478796761405356,14.9883968335636,17.0420634027169,117,117
KE110,D3,AUCinf_subC,500,95.2,0.953645647330136,0.0492006881250863,0.0515366603052275,16.0559527299087,18.2845355807182,117,117
KE110,D4,Cmax,500,99.6,0.982431524086389,0.0444706993535177,0.0451114679945103,14.548254049649,16.3565543309389,117,117
KE110,D4,AUClast,500,95.4,0.952956341015832,0.0493126346285671,0.0516717801158556,16.1353056316494,18.3480982114705,117,117
KE110,D4,AUCinf_all,500,98.4,0.956035089667278,0.0456964944279278,0.0477793405550578,14.9739926218452,16.6972853694792,112.708,112.232
KE110,D4,AUCinf_reliable,500,95.6,0.955645242813787,0.0503332835342983,0.0526484284187307,16.7709154113853,19.1448172331469,85.088,85.102
KE110,D4,AUCinf_true,500,97.4,0.953371934040666,0.0457102910501377,0.0478796761405356,14.9883968335636,17.0420634027169,117,117
KE110,D4,AUCinf_subC,500,95.6,0.953833559224832,0.0494374488497818,0.0517707009661235,16.116843962148,18.4128670537468,117,117
S00,B0,Cmax,500,100,1.00015964269785,0.0451110470985954,0.0449536033391305,14.7533410264536,16.6005079546117,117,117
S00,B0,AUClast,500,99.6,1.00121304284121,0.0515807125073789,0.051451087103447,16.8838861223705,19.2170708239948,117,117
S00,B0,AUCinf_all,500,99.8,1.00112679429166,0.0485411662688811,0.048462908297908,15.7739001004712,17.6059385609892,112.658,112.506
S00,B0,AUCinf_reliable,500,99.8,1.00013424193092,0.0530385902799026,0.0529545848768045,17.7463887276727,20.1538659720913,85.078,85.206
S00,B0,AUCinf_true,500,100,0.999823493109304,0.0479248011683979,0.0478692763420733,15.7186140030589,17.866463888591,117,117
S00,B0,AUCinf_subC,500,99.6,1.00164881518798,0.0518728079011923,0.0517245409695743,16.9825029312343,19.4208181958539,117,117
S00,Bminus,Cmax,500,100,1.00015964269785,0.0451110470985954,0.0449536033391305,14.7533410264536,16.6005079546117,117,117
S00,Bminus,AUClast,500,99.6,1.00120189236982,0.0514559395832529,0.0513255604185938,16.8436181087725,19.1609533024049,117,117
S00,Bminus,AUCinf_all,500,99.8,1.00128385302923,0.0488700472155341,0.0487762585987541,15.8681399466368,17.712827432629,112.646,112.496
S00,Bminus,AUCinf_reliable,500,99.8,1.00023574869234,0.0523407370226571,0.0522960234465622,17.7554530696527,20.1388464627586,84.4,84.54
S00,Bminus,AUCinf_true,500,100,0.999823493109304,0.0479248011683979,0.0478692763420733,15.7186140030589,17.866463888591,117,117
S00,Bminus,AUCinf_subC,500,99.6,1.00172896773628,0.0518733327155432,0.0517236909861043,16.9908983032911,19.3943545615858,117,117
S00,D1,Cmax,500,100,1.00015964269785,0.0451110470985954,0.0449536033391305,14.7533410264536,16.6005079546117,117,117
S00,D1,AUClast,500,99.6,1.00120931358348,0.0517905835205199,0.0516577756051717,16.9498248900917,19.3064499681627,117,117
S00,D1,AUCinf_all,500,99.8,1.00115558510621,0.0482727602059846,0.0482075648526027,15.6360109274047,17.4697252238392,112.708,112.566
S00,D1,AUCinf_reliable,500,99.8,0.999866676311042,0.0525197562836361,0.0525215880286896,17.5050400238549,20.0161385045416,85.436,85.354
S00,D1,AUCinf_true,500,100,0.999823493109304,0.0479248011683979,0.0478692763420733,15.7186140030589,17.866463888591,117,117
S00,D1,AUCinf_subC,500,99.6,1.00159292778018,0.0516470592169876,0.0515104824524301,16.8929901225474,19.3080729810181,117,117
S00,D2,Cmax,500,100,1.00015964269785,0.0451110470985954,0.0449536033391305,14.7533410264536,16.6005079546117,117,117
S00,D2,AUClast,500,99.6,1.00121260016668,0.0518014365142571,0.0516687431771445,16.9538841532748,19.3085227032703,117,117
S00,D2,AUCinf_all,500,99.8,1.00115463761296,0.0482450869181057,0.0481798691283685,15.6256670949741,17.4761321467046,112.708,112.566
S00,D2,AUCinf_reliable,500,99.8,1.00021867707865,0.052215290044523,0.0522092767261186,17.5069439159607,20.0827211948567,85.478,85.452
