scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
F090,B0,Cmax,500,75,0.884190299789605,0.0375447465014683,0.0424704120898526,12.3640511086851,13.9457581497948,117,117
F090,B0,AUClast,500,29.6,0.842205142102659,0.0407054025852377,0.0483017384287853,13.4902595759482,15.0951209803448,117,117
F090,B0,AUCinf_all,500,35.8,0.850381989380997,0.0398018157002479,0.0468112203912077,13.027927043401,14.4987599354009,115.754,114.652
F090,B0,AUCinf_reliable,500,37,0.854472502131619,0.0423742544378007,0.0494288684545994,13.8207371206897,15.4856571773002,101.956,98.816
F090,B0,AUCinf_true,500,32.4,0.844674806408926,0.0385681471935952,0.0456600510486919,12.7213094360452,14.2521196982632,117,117
F090,D2,Cmax,500,75,0.884190299789605,0.0375447465014683,0.0424704120898526,12.3640511086851,13.9457581497948,117,117
F090,D2,AUClast,500,28.8,0.841670977147741,0.040822066219803,0.0484713415428725,13.5364772340891,15.162884087413,117,117
F090,D2,AUCinf_all,500,37.8,0.851307446238645,0.0394986230464082,0.046394357941459,12.9449142587478,14.3919987764863,115.81,114.726
F090,D2,AUCinf_reliable,500,37.2,0.855439263193272,0.0416921152113518,0.0486514637690548,13.6849652176855,15.2833887646631,102.752,99.454
F090,D2,AUCinf_true,500,32.4,0.844674806408926,0.0385681471935952,0.0456600510486919,12.7213094360452,14.2521196982632,117,117
S00,B0,Cmax,500,100,1.00103206308276,0.0420626287447185,0.0420278644613373,13.8229749383473,15.5294227930474,117,117
S00,B0,AUClast,500,99.8,1.00211574157988,0.0479596534142017,0.047817120869205,15.8867974103696,17.7637695646203,117,117
S00,B0,AUCinf_all,500,100,1.00141329915314,0.0464617869873086,0.0463938694181267,15.263419523829,17.0102627439399,115.754,115.648
S00,B0,AUCinf_reliable,500,99.6,1.00247735538085,0.0487407957002489,0.0485477502137693,16.0430109815459,18.0278048734647,101.956,102.016
S00,B0,AUCinf_true,500,100,1.00119164629991,0.0453267063995046,0.0452576709214271,14.9524698869532,16.6597070164238,117,117
S00,D2,Cmax,500,100,1.00103206308276,0.0420626287447185,0.0420278644613373,13.8229749383473,15.5294227930474,117,117
S00,D2,AUClast,500,100,1.00210184831257,0.048109957939694,0.0479649607090296,15.9484997737583,17.8232876297275,117,117
S00,D2,AUCinf_all,500,100,1.00139688619722,0.0460800757882551,0.0460042020754083,15.1654681733671,16.9038518411168,115.81,115.732
S00,D2,AUCinf_reliable,500,99.8,1.00223791314136,0.0480833228750133,0.0479695593080088,15.875469772729,17.6970350252857,102.752,102.594
S00,D2,AUCinf_true,500,100,1.00119164629991,0.0453267063995046,0.0452576709214271,14.9524698869532,16.6597070164238,117,117
