scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
F090,B0,Cmax,500,54.2,0.879369906515366,0.0466358706764502,0.0528715023440342,15.562528254206,18.0914819776685,116.998,117
F090,B0,AUClast,500,16.2,0.837318918057041,0.0517182002435868,0.0618047469842437,17.5524513618513,20.1798145509628,116.998,117
F090,B0,AUCinf_all,500,24.4,0.848821361764482,0.0499187478431728,0.0587403112863903,16.6139802781485,18.8609100408123,114.5,113.276
F090,B0,AUCinf_reliable,500,29.4,0.85827051705308,0.0556324229864576,0.0646519728149205,17.982736906014,20.6416284113203,91.538,87.812
F090,B0,AUCinf_true,500,18.6,0.840196464365567,0.0498478127226498,0.0593958859320782,16.7604166255386,19.2646453452829,117,117
F090,B0,AUCinf_subC,500,16.6,0.838096563971561,0.0520471717565845,0.0621600915479169,17.5778308125431,20.2303915629432,116.998,117
F090,D2,Cmax,500,54.2,0.879363011888446,0.04663439275458,0.0528697650268595,15.562432262202,18.0914819776685,116.998,117
F090,D2,AUClast,500,15.6,0.836853388189194,0.0518634463369122,0.0620079039007245,17.6030729745804,20.2516675986075,116.998,117
F090,D2,AUCinf_all,500,26,0.849443925200367,0.0495617012242232,0.0582894175301462,16.5276556973424,18.7436618463251,114.604,113.354
F090,D2,AUCinf_reliable,500,30.2,0.860380595832122,0.055513542751778,0.0643294460616808,17.7160846122286,20.5804906533259,91.572,88.36
F090,D2,AUCinf_true,500,18.6,0.840196464365567,0.0498478127226498,0.0593958859320782,16.7604166255386,19.2646453452829,117,117
F090,D2,AUCinf_subC,500,16.6,0.838571877497249,0.0517790995962844,0.0618112837274149,17.5051523908856,20.1327636795842,116.998,117
KE110,B0,Cmax,500,97.4,0.979620529423764,0.0512390049841056,0.0521437764697552,17.118162507624,19.7292042181843,116.998,117
KE110,B0,AUClast,500,84.4,0.94890350231886,0.0576169868050832,0.0607080971485588,19.589848941924,22.410289744079,116.998,117
KE110,B0,AUCinf_all,500,88.8,0.9487579471065,0.0554297920368615,0.0584476077700926,18.4690342767387,20.9661392402006,114.5,114.332
KE110,B0,AUCinf_reliable,500,85.4,0.951527336174443,0.0598771147852748,0.0630715545953506,19.6976882643556,22.5664477340575,91.538,91.608
KE110,B0,AUCinf_true,500,86.8,0.949359808905296,0.0555491678944709,0.0585498259463959,18.6802575790244,21.318524102249,117,117
KE110,B0,AUCinf_subC,500,84.2,0.949104506636571,0.0579216574180718,0.0610356812071589,19.5833807537384,22.3906741447896,116.998,117
KE110,D2,Cmax,500,97.4,0.979613135203444,0.0512375917857681,0.0521422773305773,17.1180579090209,19.7292042181843,116.998,117
KE110,D2,AUClast,500,84.2,0.948573023045806,0.0577834168040973,0.0608986673130756,19.6494505729449,22.463690503679,116.998,117
KE110,D2,AUCinf_all,500,88.8,0.949247138681595,0.0550832121259135,0.0580870365136978,18.3809869774024,20.7967818794875,114.604,114.42
KE110,D2,AUCinf_reliable,500,86,0.952715038827616,0.061025349049958,0.0641127541315928,19.4082194750594,22.235066555955,91.572,91.746
KE110,D2,AUCinf_true,500,86.8,0.949359808905296,0.0555491678944709,0.0585498259463959,18.6802575790244,21.318524102249,117,117
KE110,D2,AUCinf_subC,500,84.8,0.949215392121993,0.0576210023156238,0.0606982890564919,19.4935044326587,22.334437549181,116.998,117
S00,B0,Cmax,500,98.2,0.998156764899755,0.0520075945861116,0.0519370155145849,17.3682668029814,20.0030092459633,116.998,117
S00,B0,AUClast,500,94.6,1.0007767996604,0.0607635796884282,0.0607124792425083,20.6376519860607,23.5625761417371,116.998,117
S00,B0,AUCinf_all,500,96.8,0.999461484197477,0.057777334893747,0.0578282980591742,19.4480865935667,22.1068297185644,114.5,114.566
S00,B0,AUCinf_reliable,500,94.4,0.998982311490614,0.0628436924350635,0.0631160508964465,20.6393973255892,23.8529656462393,91.538,91.276
S00,B0,AUCinf_true,500,96.2,1.00008688718176,0.058465252303307,0.0585020761698881,19.6713788736736,22.4716773508832,117,117
S00,B0,AUCinf_subC,500,94.6,1.00079334325886,0.0608100417750473,0.0607820130197248,20.6221364260983,23.5701680046402,116.998,117
S00,D2,Cmax,500,98.2,0.998149681496244,0.0520065666090765,0.0519359324731456,17.3681628445443,20.0030092459633,116.998,117
S00,D2,AUClast,500,94.6,1.00075678031895,0.0609567682309252,0.0608995451653613,20.7064473409757,23.6239926281184,116.998,117
S00,D2,AUCinf_all,500,97,0.999247902761105,0.0573339517043486,0.0574411936140159,19.3474063135571,22.1030510057836,114.604,114.674
S00,D2,AUCinf_reliable,500,95.6,0.998074265256619,0.061525359314335,0.0617347085230533,20.2892164773038,23.2455992457584,91.572,91.422
S00,D2,AUCinf_true,500,96.2,1.00008688718176,0.058465252303307,0.0585020761698881,19.6713788736736,22.4716773508832,117,117
S00,D2,AUCinf_subC,500,95.4,1.00074095547665,0.0604666355264095,0.0604218213800446,20.5236802694485,23.4595929240173,116.998,117
