scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
F090,B0,Cmax,500,76.2,0.88204147580852,0.0359881133349928,0.0407278781603317,12.0479559605399,13.4996527514993,117,117
F090,B0,AUClast,500,21.8,0.839150482886217,0.0399672460159796,0.0476621237686197,13.8129726650022,15.4683041156586,117,117
F090,B0,AUCinf_all,500,32.6,0.846897642959543,0.0392176660795035,0.0463720158011874,13.2727959247022,14.7556002730728,116.32,115.754
F090,B0,AUCinf_reliable,500,37.8,0.853622113948307,0.0420915638790858,0.0494830665093499,13.8612399375137,15.6572891908047,102.618,100.094
F090,B0,AUCinf_true,500,27,0.842348195277486,0.0391230722653106,0.0465003283989107,13.367685160381,14.8995360897451,117,117
F090,B0,AUCinf_subC,500,25.6,0.840941034451245,0.0400097849050725,0.047612594419129,13.7305484327559,15.4063293022148,117,117
F090,D2,Cmax,500,76.2,0.88204147580852,0.0359881133349928,0.0407278781603317,12.0479559605399,13.4996527514993,117,117
F090,D2,AUClast,500,21.2,0.838538446634801,0.0401384904303605,0.047899048224597,13.8729540411158,15.5526978405503,117,117
F090,D2,AUCinf_all,500,34.2,0.847756909166749,0.0389161929180294,0.0459698236170052,13.1721621782346,14.6697755175865,116.322,115.764
F090,D2,AUCinf_reliable,500,41.2,0.857270218431994,0.0418877713461152,0.0490532791980636,13.8349217660617,15.4775796604693,99.69,98.202
F090,D2,AUCinf_true,500,27,0.842348195277486,0.0391230722653106,0.0465003283989107,13.367685160381,14.8995360897451,117,117
F090,D2,AUCinf_subC,500,26.8,0.841819514794906,0.039648368471173,0.0471405689979752,13.6326726090875,15.2788040092017,117,117
KE110,B0,Cmax,500,100,0.981099239288832,0.0396195988548517,0.0403135947409884,13.2764603583644,14.8336207415192,117,117
KE110,B0,AUClast,500,96.4,0.948067199761318,0.0447363661360297,0.0472087154656256,15.4403751023389,17.2952299177617,117,117
KE110,B0,AUCinf_all,500,97.4,0.948648169742869,0.0436469220299387,0.0460631837762123,14.7972930653631,16.4268980178475,116.32,116.282
KE110,B0,AUCinf_reliable,500,97,0.948906720447184,0.0448794222444978,0.0474315446359346,15.2539729330719,17.0829989369102,102.618,102.934
KE110,B0,AUCinf_true,500,97.2,0.949047996698616,0.0437134053786617,0.0461059046330684,14.9242634295606,16.6164949728494,117,117
KE110,B0,AUCinf_subC,500,96.6,0.948602969298532,0.0444343594552793,0.0468567902589865,15.2901005291585,17.1976473013985,117,117
KE110,D2,Cmax,500,100,0.981099239288832,0.0396195988548517,0.0403135947409884,13.2764603583644,14.8336207415192,117,117
KE110,D2,AUClast,500,96,0.947668106709262,0.0449617633317707,0.0474627906314983,15.5118610774374,17.384618060188,117,117
KE110,D2,AUCinf_all,500,97.6,0.949300901754285,0.043272048103625,0.0456493433381459,14.68777848059,16.298902163625,116.322,116.292
KE110,D2,AUCinf_reliable,500,96.8,0.951590529477264,0.0457976606334298,0.0481649206541688,15.2079694713833,17.147051756488,99.69,100.474
KE110,D2,AUCinf_true,500,97.2,0.949047996698616,0.0437134053786617,0.0461059046330684,14.9242634295606,16.6164949728494,117,117
KE110,D2,AUCinf_subC,500,96.8,0.949145531675683,0.0441150557214436,0.0464991178926475,15.175652995937,16.9923517140897,117,117
S00,B0,Cmax,500,100,0.99849898917767,0.0401644829180482,0.0401536663018664,13.4469792758136,15.0327249604801,117,117
S00,B0,AUClast,500,100,1.00017908425967,0.0471869213934301,0.0472025883796656,16.2720640388712,18.2297782442561,117,117
S00,B0,AUCinf_all,500,100,0.999563888758967,0.045560491317387,0.0456435055132657,15.5880111334671,17.2662601972613,116.32,116.316
S00,B0,AUCinf_reliable,500,99.6,0.998229032370192,0.0472719657454905,0.0475215111276337,16.0151898858857,17.9841287141947,102.618,102.686
S00,B0,AUCinf_true,500,100,0.999806143414939,0.0460007077674855,0.046057177360116,15.7167249739321,17.4869309449821,117,117
S00,B0,AUCinf_subC,500,100,0.99995864334395,0.0467600574198008,0.046791415228871,16.0986257506781,18.0118699846005,117,117
S00,D2,Cmax,500,100,0.99849898917767,0.0401644829180482,0.0401536663018664,13.4469792758136,15.0327249604801,117,117
S00,D2,AUClast,500,100,1.00016574165473,0.0474425169120103,0.0474572272674182,16.3535506660808,18.3058310650722,117,117
S00,D2,AUCinf_all,500,100,0.999600121138764,0.0451700191385521,0.0452542985164368,15.4682013499233,17.158794179124,116.322,116.32
S00,D2,AUCinf_reliable,500,99.8,0.999939660483893,0.0472622970952703,0.0474010598382474,15.9660341406424,18.021682273847,99.69,100.156
S00,D2,AUCinf_true,500,100,0.999806143414939,0.0460007077674855,0.046057177360116,15.7167249739321,17.4869309449821,117,117
S00,D2,AUCinf_subC,500,100,1.00006540248025,0.0463953050844064,0.0464232530912639,15.9742127669424,17.8689082548297,117,117
