scenario,schedule,endpoint,n_trials,pass_rate,GMR_mean,GMR_sd,logGMR_sd,width_mean_pp,width_p95_pp,n_R_mean,n_T_mean
F090,B0,Cmax,500,75.8,0.884037212865233,0.0382356480017676,0.043175406592158,12.7703611809318,14.2665428927455,117,117
F090,B0,AUClast,500,22.4,0.841350443449656,0.045346444056981,0.0539337812724373,15.1631326134223,17.0495026345698,117,117
F090,B0,AUCinf_all,500,31,0.849019307023453,0.0437185023850308,0.0515026309998614,14.5285768912633,16.3955232788845,116.21,115.748
F090,B0,AUCinf_reliable,500,31.8,0.85537348289536,0.0456226914002307,0.0532952021144239,15.4420176720168,17.511426205091,97.93,95.334
F090,B0,AUCinf_true,500,25.8,0.843770598015728,0.0437670378640195,0.0519153122042483,14.6734785345949,16.4885092418607,117,117
F090,B0,AUCinf_subC,500,24,0.843013260622569,0.045000668015545,0.053430640220286,15.0835877851839,16.9408121822876,117,117
F090,Bminus,Cmax,500,75.8,0.884037212865233,0.0382356480017676,0.043175406592158,12.7703611809318,14.2665428927455,117,117
F090,Bminus,AUClast,500,23.2,0.84228350793966,0.0450290675221314,0.0535054131668447,15.0663450304025,16.9393036628756,117,117
F090,Bminus,AUCinf_all,500,27.8,0.84762445858042,0.0442395383649574,0.0521987864484473,14.6966811879878,16.6198132486908,116.208,115.736
F090,Bminus,AUCinf_reliable,500,29.6,0.855142758457304,0.0457108600678381,0.0533525625479776,15.7594509069736,17.8511475075923,94.168,92.594
F090,Bminus,AUCinf_true,500,25.8,0.843770598015728,0.0437670378640195,0.0519153122042483,14.6734785345949,16.4885092418607,117,117
F090,Bminus,AUCinf_subC,500,24,0.842832940350049,0.0449196310175375,0.0533345019333694,15.0945935811761,16.946315276323,117,117
F090,D1,Cmax,500,75.8,0.884037212865233,0.0382356480017676,0.043175406592158,12.7703611809318,14.2665428927455,117,117
F090,D1,AUClast,500,22,0.840924518616882,0.0454930814593272,0.0541334367035576,15.2123813419448,17.1131343455253,117,117
F090,D1,AUCinf_all,500,31.8,0.849507760876157,0.0434965274215116,0.0512075832652818,14.4628738980577,16.3044806874066,116.232,115.756
F090,D1,AUCinf_reliable,500,34.4,0.858619094704824,0.0457227700648488,0.0530906623581091,15.4661101476045,17.628593922154,94.51,93.092
F090,D1,AUCinf_true,500,25.8,0.843770598015728,0.0437670378640195,0.0519153122042483,14.6734785345949,16.4885092418607,117,117
F090,D1,AUCinf_subC,500,23.8,0.843526589543686,0.0447282129584124,0.0530687836799766,14.9953096415921,16.8263153279316,117,117
F090,D2,Cmax,500,75.8,0.884037212865233,0.0382356480017676,0.043175406592158,12.7703611809318,14.2665428927455,117,117
F090,D2,AUClast,500,21.8,0.840816923481865,0.0455330964234695,0.0541874362267002,15.2231098394988,17.1254916154605,117,117
F090,D2,AUCinf_all,500,32.2,0.849753113573063,0.0434236228913819,0.0511112630087479,14.4420208031019,16.2741618426849,116.232,115.756
F090,D2,AUCinf_reliable,500,33.2,0.858567834546822,0.0453385989971721,0.0527160765455786,15.3977664809164,17.4472748696657,95.434,93.682
F090,D2,AUCinf_true,500,25.8,0.843770598015728,0.0437670378640195,0.0519153122042483,14.6734785345949,16.4885092418607,117,117
F090,D2,AUCinf_subC,500,23.8,0.843616180155711,0.0447079828831786,0.0530434344696972,14.9896043520776,16.8471152073397,117,117
F090,D3,Cmax,500,75.8,0.884034969244018,0.0382349170929818,0.0431744700834714,12.7701933376894,14.2665428927455,117,117
F090,D3,AUClast,500,22,0.841250076535838,0.045376519010106,0.0539837853167892,15.1723581795833,17.0489125190756,117,117
F090,D3,AUCinf_all,500,29.6,0.848155008627333,0.0439951132913652,0.0518586323033186,14.5802794727807,16.4270253329042,116.538,116.172
F090,D3,AUCinf_reliable,500,31.8,0.856768297269997,0.0452450541261346,0.0525940575123424,15.5277707906999,17.5855169956619,95.99,94.774
